,time,price,volume
0,Jan 25 2020 01: +0,3.607,74
1,Jan 26 2020 01: +0,3.492,61
2,Jan 27 2020 01: +0,3.447,34
3,Jan 28 2020 01: +0,3.156,49
4,Jan 29 2020 01: +0,3.151,48
5,Jan 30 2020 01: +0,3.134,49
6,Jan 31 2020 01: +0,3.186,52
7,Feb 01 2020 01: +0,3.107,53
8,Feb 02 2020 01: +0,3.04,39
9,Feb 03 2020 01: +0,3.275,46
10,Feb 04 2020 01: +0,3.084,40
11,Feb 05 2020 01: +0,3.317,35
12,Feb 06 2020 01: +0,3.097,45
13,Feb 07 2020 01: +0,3.142,29
14,Feb 08 2020 01: +0,3.014,27
15,Feb 09 2020 01: +0,3.036,45
16,Feb 10 2020 01: +0,3.075,34
17,Feb 11 2020 01: +0,3.204,24
18,Feb 12 2020 01: +0,3.224,42
19,Feb 13 2020 01: +0,3.124,39
20,Feb 14 2020 01: +0,3.182,44
21,Feb 15 2020 01: +0,3.25,39
22,Feb 16 2020 01: +0,3.281,39
23,Feb 17 2020 01: +0,3.385,32
24,Feb 18 2020 01: +0,3.323,47
25,Feb 19 2020 01: +0,3.342,36
26,Feb 20 2020 01: +0,3.388,38
27,Feb 21 2020 01: +0,3.278,37
28,Feb 22 2020 01: +0,3.566,42
29,Feb 23 2020 01: +0,3.506,30
30,Feb 24 2020 01: +0,3.544,28
31,Feb 25 2020 01: +0,3.316,29
32,Feb 26 2020 01: +0,3.464,33
33,Feb 27 2020 01: +0,3.319,35
34,Feb 28 2020 01: +0,3.039,39
35,Feb 29 2020 01: +0,3.435,46
36,Mar 01 2020 01: +0,3.477,26
37,Mar 02 2020 01: +0,3.131,16
38,Mar 03 2020 01: +0,3.207,26
39,Mar 04 2020 01: +0,3.05,17
40,Mar 05 2020 01: +0,3.196,38
41,Mar 06 2020 01: +0,3.25,26
42,Mar 07 2020 01: +0,3.232,37
43,Mar 08 2020 01: +0,3.545,22
44,Mar 09 2020 01: +0,3.229,28
45,Mar 10 2020 01: +0,3.05,28
46,Mar 11 2020 01: +0,3.29,31
47,Mar 12 2020 01: +0,3.366,26
48,Mar 13 2020 01: +0,3.31,33
49,Mar 14 2020 01: +0,3.225,45
50,Mar 15 2020 01: +0,3.376,25
51,Mar 16 2020 01: +0,3.314,35
52,Mar 17 2020 01: +0,3.313,29
53,Mar 18 2020 01: +0,3.331,25
54,Mar 19 2020 01: +0,3.324,38
55,Mar 20 2020 01: +0,3.116,32
56,Mar 21 2020 01: +0,3.313,26
57,Mar 22 2020 01: +0,3.041,33
58,Mar 23 2020 01: +0,3.174,40
59,Mar 24 2020 01: +0,3.296,37
60,Mar 25 2020 01: +0,3.403,24
61,Mar 26 2020 01: +0,3.316,28
62,Mar 27 2020 01: +0,3.585,45
63,Mar 28 2020 01: +0,3.644,36
64,Mar 29 2020 01: +0,3.401,36
65,Mar 30 2020 01: +0,3.506,32
66,Mar 31 2020 01: +0,3.609,39
67,Apr 01 2020 01: +0,3.7,45
68,Apr 02 2020 01: +0,3.604,39
69,Apr 03 2020 01: +0,3.677,39
70,Apr 04 2020 01: +0,4.148,38
71,Apr 05 2020 01: +0,3.736,24
72,Apr 06 2020 01: +0,3.726,38
73,Apr 07 2020 01: +0,3.721,28
74,Apr 08 2020 01: +0,3.822,33
75,Apr 09 2020 01: +0,4.072,29
76,Apr 10 2020 01: +0,4.251,38
77,Apr 11 2020 01: +0,4.31,34
78,Apr 12 2020 01: +0,5.054,42
79,Apr 13 2020 01: +0,5.463,38
80,Apr 14 2020 01: +0,5.113,24
81,Apr 15 2020 01: +0,5.359,29
82,Apr 16 2020 01: +0,4.71,30
83,Apr 17 2020 01: +0,5.094,26
84,Apr 18 2020 01: +0,4.929,27
85,Apr 19 2020 01: +0,4.907,25
86,Apr 20 2020 01: +0,4.739,22
87,Apr 21 2020 01: +0,4.818,25
88,Apr 22 2020 01: +0,4.735,28
89,Apr 23 2020 01: +0,4.818,20
90,Apr 24 2020 01: +0,4.64,26
91,Apr 25 2020 01: +0,4.777,28
92,Apr 26 2020 01: +0,4.894,20
93,Apr 27 2020 01: +0,4.414,24
94,Apr 28 2020 01: +0,4.377,20
95,Apr 29 2020 01: +0,4.655,26
96,Apr 30 2020 01: +0,4.907,27
97,May 01 2020 01: +0,4.79,21
98,May 02 2020 01: +0,4.489,22
99,May 03 2020 01: +0,4.353,21
100,May 04 2020 01: +0,4.859,21
