,time,price,volume
0,Sep 24 2020 01: +0,2.649,5
1,Sep 25 2020 01: +0,1.733,44
2,Sep 26 2020 01: +0,2.182,16
3,Sep 27 2020 01: +0,1.816,25
4,Sep 28 2020 01: +0,1.884,14
5,Sep 29 2020 01: +0,1.777,15
6,Sep 30 2020 01: +0,1.578,17
7,Oct 01 2020 01: +0,1.466,32
8,Oct 02 2020 01: +0,1.691,23
9,Oct 03 2020 01: +0,1.773,15
10,Oct 04 2020 01: +0,1.601,16
11,Oct 05 2020 01: +0,1.682,19
12,Oct 06 2020 01: +0,1.77,18
13,Oct 07 2020 01: +0,1.602,11
14,Oct 08 2020 01: +0,1.34,16
15,Oct 09 2020 01: +0,1.28,35
16,Oct 10 2020 01: +0,1.576,15
17,Oct 11 2020 01: +0,1.451,19
18,Oct 12 2020 01: +0,1.419,19
19,Oct 13 2020 01: +0,1.449,22
20,Oct 14 2020 01: +0,1.632,13
21,Oct 15 2020 01: +0,1.456,19
22,Oct 16 2020 01: +0,1.296,17
23,Oct 17 2020 01: +0,1.293,21
24,Oct 18 2020 01: +0,1.502,21
25,Oct 19 2020 01: +0,1.389,18
26,Oct 20 2020 01: +0,1.348,18
27,Oct 21 2020 01: +0,1.481,12
28,Oct 22 2020 01: +0,1.413,24
29,Oct 23 2020 01: +0,1.479,24
30,Oct 24 2020 01: +0,1.59,19
31,Oct 25 2020 01: +0,1.459,26
32,Oct 26 2020 01: +0,1.51,27
33,Oct 27 2020 01: +0,1.522,15
34,Oct 28 2020 01: +0,1.491,23
35,Oct 29 2020 01: +0,1.412,22
36,Oct 30 2020 01: +0,1.438,23
37,Oct 31 2020 01: +0,1.54,19
38,Nov 01 2020 01: +0,1.618,28
39,Nov 02 2020 01: +0,1.53,18
40,Nov 03 2020 01: +0,1.425,17
41,Nov 04 2020 01: +0,1.423,19
42,Nov 05 2020 01: +0,1.531,29
43,Nov 06 2020 01: +0,1.535,35
44,Nov 07 2020 01: +0,1.545,24
45,Nov 08 2020 01: +0,1.457,13
46,Nov 09 2020 01: +0,1.51,32
47,Nov 10 2020 01: +0,1.477,29
48,Nov 11 2020 01: +0,1.462,27
49,Nov 12 2020 01: +0,1.479,28
50,Nov 13 2020 01: +0,1.454,24
51,Nov 14 2020 01: +0,1.444,49
52,Nov 15 2020 01: +0,1.419,27
53,Nov 16 2020 01: +0,1.395,31
54,Nov 17 2020 01: +0,1.34,17
55,Nov 18 2020 01: +0,1.328,36
56,Nov 19 2020 01: +0,1.408,39
57,Nov 20 2020 01: +0,1.497,51
58,Nov 21 2020 01: +0,1.529,24
59,Nov 22 2020 01: +0,1.431,28
60,Nov 23 2020 01: +0,1.443,23
61,Nov 24 2020 01: +0,1.447,26
62,Nov 25 2020 01: +0,1.442,20
63,Nov 26 2020 01: +0,1.481,25
64,Nov 27 2020 01: +0,1.4,21
65,Nov 28 2020 01: +0,1.456,39
66,Nov 29 2020 01: +0,1.449,30
67,Nov 30 2020 01: +0,1.42,24
68,Dec 01 2020 01: +0,1.51,17
69,Dec 02 2020 01: +0,1.503,27
70,Dec 03 2020 01: +0,1.571,35
71,Dec 04 2020 01: +0,1.42,28
72,Dec 05 2020 01: +0,1.515,38
73,Dec 06 2020 01: +0,1.597,36
74,Dec 07 2020 01: +0,1.437,25
75,Dec 08 2020 01: +0,1.58,17
76,Dec 09 2020 01: +0,1.523,20
77,Dec 10 2020 01: +0,1.595,19
78,Dec 11 2020 01: +0,1.421,25
79,Dec 12 2020 01: +0,1.556,17
80,Dec 13 2020 01: +0,1.607,28
81,Dec 14 2020 01: +0,1.6,32
82,Dec 15 2020 01: +0,1.583,26
83,Dec 16 2020 01: +0,1.662,31
84,Dec 17 2020 01: +0,1.608,26
85,Dec 18 2020 01: +0,1.648,21
86,Dec 19 2020 01: +0,1.59,27
87,Dec 20 2020 01: +0,1.545,29
88,Dec 21 2020 01: +0,1.512,19
89,Dec 22 2020 01: +0,1.599,22
90,Dec 23 2020 01: +0,1.492,21
91,Dec 24 2020 01: +0,1.601,27
92,Dec 25 2020 01: +0,1.837,45
93,Dec 26 2020 01: +0,1.996,25
94,Dec 27 2020 01: +0,1.972,32
95,Dec 28 2020 01: +0,2.071,17
96,Dec 29 2020 01: +0,2.032,30
97,Dec 30 2020 01: +0,2.012,32
98,Dec 31 2020 01: +0,1.964,27
99,Jan 01 2021 01: +0,1.935,27
100,Jan 02 2021 01: +0,2.019,47
101,Jan 03 2021 01: +0,2.073,30
102,Jan 04 2021 01: +0,2.098,35
103,Jan 05 2021 01: +0,2.12,30
104,Jan 06 2021 01: +0,2.207,28
105,Jan 07 2021 01: +0,2.321,27
106,Jan 08 2021 01: +0,3.372,28
107,Jan 09 2021 01: +0,2.809,32
108,Jan 10 2021 01: +0,2.722,34
109,Jan 11 2021 01: +0,3.008,27
110,Jan 12 2021 01: +0,2.87,35
111,Jan 13 2021 01: +0,3.111,43
112,Jan 14 2021 01: +0,3.161,30
113,Jan 15 2021 01: +0,3.232,48
114,Jan 16 2021 01: +0,3.4,41
115,Jan 17 2021 01: +0,3.508,45
116,Jan 18 2021 01: +0,3.512,42
117,Jan 19 2021 01: +0,3.942,30
118,Jan 20 2021 01: +0,4.022,33
119,Jan 21 2021 01: +0,4.375,32
120,Jan 22 2021 01: +0,3.916,32
121,Jan 23 2021 01: +0,4.001,29
122,Jan 24 2021 01: +0,3.93,21
123,Jan 25 2021 01: +0,4.014,25
124,Jan 26 2021 01: +0,4.281,20
125,Jan 27 2021 01: +0,4.069,36
126,Jan 28 2021 01: +0,3.668,27
127,Jan 29 2021 01: +0,3.631,28
128,Jan 30 2021 01: +0,3.943,36
129,Jan 31 2021 01: +0,3.866,28
130,Feb 01 2021 01: +0,3.798,30
131,Feb 02 2021 01: +0,3.859,29
132,Feb 03 2021 01: +0,3.861,15
133,Feb 04 2021 01: +0,3.783,24
134,Feb 05 2021 01: +0,3.696,22
135,Feb 06 2021 01: +0,3.769,25
136,Feb 07 2021 01: +0,3.837,37
137,Feb 08 2021 01: +0,3.709,21
138,Feb 09 2021 01: +0,4.034,35
139,Feb 10 2021 01: +0,4.125,30
140,Feb 11 2021 01: +0,3.904,23
141,Feb 12 2021 01: +0,3.703,23
142,Feb 13 2021 01: +0,3.681,28
143,Feb 14 2021 01: +0,3.867,33
144,Feb 15 2021 01: +0,3.884,37
145,Feb 16 2021 01: +0,4.051,34
146,Feb 17 2021 01: +0,3.611,21
147,Feb 18 2021 01: +0,3.829,33
148,Feb 19 2021 01: +0,3.946,36
149,Feb 20 2021 01: +0,3.947,36
150,Feb 21 2021 01: +0,3.788,33
151,Feb 22 2021 01: +0,3.834,22
152,Feb 23 2021 01: +0,4.073,27
153,Feb 24 2021 01: +0,3.74,29
154,Feb 25 2021 01: +0,4.289,22
155,Feb 26 2021 01: +0,4.056,22
156,Feb 27 2021 01: +0,3.805,26
157,Feb 28 2021 01: +0,3.826,27
