,time,price,volume
0,May 02 2019 01: +0,2.854,59
1,May 03 2019 01: +0,2.208,85
2,May 04 2019 01: +0,2.434,109
3,May 05 2019 01: +0,2.578,57
4,May 06 2019 01: +0,2.627,47
5,May 07 2019 01: +0,2.338,42
6,May 08 2019 01: +0,2.172,53
7,May 09 2019 01: +0,2.244,35
8,May 10 2019 01: +0,1.932,53
9,May 11 2019 01: +0,2.252,64
10,May 12 2019 01: +0,2.377,47
11,May 13 2019 01: +0,2.281,38
12,May 14 2019 01: +0,2.114,33
13,May 15 2019 01: +0,2.116,29
14,May 16 2019 01: +0,2.051,29
15,May 17 2019 01: +0,2.14,33
16,May 18 2019 01: +0,2.051,29
17,May 19 2019 01: +0,2.152,38
18,May 20 2019 01: +0,2.141,22
19,May 21 2019 01: +0,2.217,23
20,May 22 2019 01: +0,2.239,21
21,May 23 2019 01: +0,2.198,26
22,May 24 2019 01: +0,1.96,26
23,May 25 2019 01: +0,2.194,41
24,May 26 2019 01: +0,2.079,25
25,May 27 2019 01: +0,2.226,32
26,May 28 2019 01: +0,2.363,26
27,May 29 2019 01: +0,2.345,18
28,May 30 2019 01: +0,2.054,18
29,May 31 2019 01: +0,2.18,24
30,Jun 01 2019 01: +0,2.405,28
31,Jun 02 2019 01: +0,2.238,36
32,Jun 03 2019 01: +0,2.439,19
33,Jun 04 2019 01: +0,2.635,24
34,Jun 05 2019 01: +0,2.693,26
35,Jun 06 2019 01: +0,2.567,29
36,Jun 07 2019 01: +0,2.363,24
37,Jun 08 2019 01: +0,2.632,25
38,Jun 09 2019 01: +0,2.813,29
39,Jun 10 2019 01: +0,3.205,16
40,Jun 11 2019 01: +0,2.868,18
41,Jun 12 2019 01: +0,2.575,29
42,Jun 13 2019 01: +0,2.781,26
43,Jun 14 2019 01: +0,2.809,29
44,Jun 15 2019 01: +0,2.825,38
45,Jun 16 2019 01: +0,2.989,38
46,Jun 17 2019 01: +0,2.995,16
47,Jun 18 2019 01: +0,2.994,30
48,Jun 19 2019 01: +0,3.305,28
49,Jun 20 2019 01: +0,3.975,27
50,Jun 21 2019 01: +0,3.842,23
51,Jun 22 2019 01: +0,3.798,32
52,Jun 23 2019 01: +0,3.606,20
53,Jun 24 2019 01: +0,3.452,28
54,Jun 25 2019 01: +0,3.776,23
55,Jun 26 2019 01: +0,3.408,27
56,Jun 27 2019 01: +0,3.361,28
57,Jun 28 2019 01: +0,3.097,20
58,Jun 29 2019 01: +0,3.196,32
59,Jun 30 2019 01: +0,3.015,25
60,Jul 01 2019 01: +0,3.032,22
61,Jul 02 2019 01: +0,3.08,24
62,Jul 03 2019 01: +0,2.992,27
63,Jul 04 2019 01: +0,3.19,27
64,Jul 05 2019 01: +0,2.96,15
65,Jul 06 2019 01: +0,3.503,28
66,Jul 07 2019 01: +0,3.551,21
67,Jul 08 2019 01: +0,3.5,32
68,Jul 09 2019 01: +0,3.544,37
69,Jul 10 2019 01: +0,3.52,19
70,Jul 11 2019 01: +0,3.631,22
71,Jul 12 2019 01: +0,3.919,21
72,Jul 13 2019 01: +0,3.553,23
73,Jul 14 2019 01: +0,3.79,30
74,Jul 15 2019 01: +0,3.92,25
75,Jul 16 2019 01: +0,4.168,17
76,Jul 17 2019 01: +0,4.285,11
77,Jul 18 2019 01: +0,4.106,12
78,Jul 19 2019 01: +0,3.896,19
79,Jul 20 2019 01: +0,3.857,20
80,Jul 21 2019 01: +0,4.118,19
81,Jul 22 2019 01: +0,4.136,17
82,Jul 23 2019 01: +0,4.119,21
