,time,price,volume
0,Apr 20 2019 01: +0,2.133,15
1,Apr 21 2019 01: +0,1.9,9
2,Apr 22 2019 01: +0,1.89,13
3,Apr 23 2019 01: +0,2.085,19
4,Apr 24 2019 01: +0,2.09,10
5,Apr 25 2019 01: +0,1.828,18
6,Apr 26 2019 01: +0,1.603,13
7,Apr 27 2019 01: +0,1.628,9
8,Apr 28 2019 01: +0,1.781,10
9,Apr 29 2019 01: +0,1.39,4
10,Apr 30 2019 01: +0,2.381,39
11,May 01 2019 01: +0,4.777,25
12,May 02 2019 01: +0,3.787,9
13,May 03 2019 01: +0,2.226,8
14,May 04 2019 01: +0,2.181,7
15,May 05 2019 01: +0,1.585,6
16,May 06 2019 01: +0,1.432,9
17,May 07 2019 01: +0,1.408,8
18,May 08 2019 01: +0,1.299,7
19,May 09 2019 01: +0,1.303,9
20,May 10 2019 01: +0,1.13,12
21,May 11 2019 01: +0,1.065,17
22,May 12 2019 01: +0,1.125,7
23,May 13 2019 01: +0,1.193,3
24,May 14 2019 01: +0,1.215,7
25,May 15 2019 01: +0,1.162,6
26,May 16 2019 01: +0,1.222,4
27,May 17 2019 01: +0,1.066,7
28,May 18 2019 01: +0,1.149,10
29,May 19 2019 01: +0,1.083,10
30,May 20 2019 01: +0,1.2,3
31,May 21 2019 01: +0,1.187,6
32,May 22 2019 01: +0,1.142,2
33,May 23 2019 01: +0,1.113,8
34,May 24 2019 01: +0,0.997,3
35,May 25 2019 01: +0,1.103,5
36,May 26 2019 01: +0,1.164,5
37,May 27 2019 01: +0,1.23,4
38,May 28 2019 01: +0,1.023,2
39,May 29 2019 01: +0,1.109,6
40,May 30 2019 01: +0,1.18,3
41,May 31 2019 01: +0,0.957,9
42,Jun 01 2019 01: +0,1.069,2
43,Jun 02 2019 01: +0,1.131,10
44,Jun 03 2019 01: +0,0.97,2
45,Jun 04 2019 01: +0,1.152,3
46,Jun 05 2019 01: +0,1.107,3
47,Jun 06 2019 01: +0,1.112,10
48,Jun 07 2019 01: +0,1.235,5
49,Jun 08 2019 01: +0,1.213,7
50,Jun 09 2019 01: +0,1.146,9
51,Jun 10 2019 01: +0,1.181,6
52,Jun 11 2019 01: +0,1.241,4
53,Jun 12 2019 01: +0,1.104,5
54,Jun 13 2019 01: +0,1.109,11
55,Jun 14 2019 01: +0,1.201,17
56,Jun 15 2019 01: +0,1.435,10
57,Jun 16 2019 01: +0,1.354,3
58,Jun 17 2019 01: +0,1.329,10
59,Jun 18 2019 01: +0,1.342,7
60,Jun 19 2019 01: +0,1.422,6
61,Jun 20 2019 01: +0,1.249,6
62,Jun 21 2019 01: +0,1.231,10
63,Jun 22 2019 01: +0,1.35,5
64,Jun 23 2019 01: +0,1.258,5
65,Jun 24 2019 01: +0,1.247,11
66,Jun 25 2019 01: +0,1.383,4
67,Jun 26 2019 01: +0,1.104,3
68,Jun 27 2019 01: +0,1.383,5
69,Jun 28 2019 01: +0,1.251,7
70,Jun 29 2019 01: +0,1.176,10
71,Jun 30 2019 01: +0,1.217,5
72,Jul 01 2019 01: +0,1.333,4
73,Jul 02 2019 01: +0,1.305,7
74,Jul 03 2019 01: +0,1.301,6
75,Jul 04 2019 01: +0,1.265,6
76,Jul 05 2019 01: +0,1.325,6
77,Jul 06 2019 01: +0,1.584,4
78,Jul 07 2019 01: +0,1.427,11
79,Jul 08 2019 01: +0,1.349,6
80,Jul 09 2019 01: +0,1.39,6
81,Jul 10 2019 01: +0,1.317,3
82,Jul 11 2019 01: +0,1.71,13
83,Jul 12 2019 01: +0,1.515,5
84,Jul 13 2019 01: +0,1.7,3
85,Jul 14 2019 01: +0,1.761,3
86,Jul 15 2019 01: +0,1.542,3
87,Jul 16 2019 01: +0,1.793,1
88,Jul 17 2019 01: +0,1.703,5
89,Jul 18 2019 01: +0,1.577,4
90,Jul 19 2019 01: +0,1.762,4
91,Jul 20 2019 01: +0,1.363,5
92,Jul 21 2019 01: +0,1.797,3
93,Jul 22 2019 01: +0,1.496,6
94,Jul 23 2019 01: +0,1.636,10
95,Jul 24 2019 01: +0,1.709,7
96,Jul 25 2019 01: +0,1.699,5
97,Jul 26 2019 01: +0,1.498,2
98,Jul 27 2019 01: +0,1.489,4
99,Jul 28 2019 01: +0,1.688,4
100,Jul 29 2019 01: +0,1.607,2
101,Jul 30 2019 01: +0,1.503,4
102,Jul 31 2019 01: +0,1.616,2
103,Aug 01 2019 01: +0,1.51,9
104,Aug 02 2019 01: +0,1.513,6
105,Aug 03 2019 01: +0,1.558,7
106,Aug 04 2019 01: +0,1.622,6
107,Aug 05 2019 01: +0,1.675,9
108,Aug 06 2019 01: +0,1.76,6
109,Aug 07 2019 01: +0,1.84,1
110,Aug 08 2019 01: +0,1.833,4
111,Aug 09 2019 01: +0,1.784,5
112,Aug 10 2019 01: +0,1.83,7
113,Aug 11 2019 01: +0,1.783,8
114,Aug 12 2019 01: +0,1.715,5
115,Aug 13 2019 01: +0,1.709,7
116,Aug 14 2019 01: +0,1.834,6
117,Aug 15 2019 01: +0,1.952,7
118,Aug 16 2019 01: +0,1.903,5
119,Aug 17 2019 01: +0,1.698,4
120,Aug 18 2019 01: +0,1.884,1
121,Aug 19 2019 01: +0,1.485,9
122,Aug 20 2019 01: +0,1.604,5
123,Aug 21 2019 01: +0,1.475,4
124,Aug 22 2019 01: +0,1.653,2
125,Aug 23 2019 01: +0,1.485,3
126,Aug 24 2019 01: +0,1.6,4
127,Aug 25 2019 01: +0,1.767,1
128,Aug 26 2019 01: +0,1.535,4
129,Aug 27 2019 01: +0,1.752,4
