,time,price,volume
0,May 10 2019 01: +0,2.313,16
1,May 11 2019 01: +0,2.064,15
2,May 12 2019 01: +0,2.124,9
3,May 13 2019 01: +0,2.267,7
4,May 14 2019 01: +0,1.953,7
5,May 15 2019 01: +0,1.836,9
6,May 16 2019 01: +0,1.836,6
7,May 17 2019 01: +0,1.835,9
8,May 18 2019 01: +0,1.725,9
9,May 19 2019 01: +0,1.751,12
10,May 20 2019 01: +0,2.036,8
11,May 21 2019 01: +0,1.943,5
12,May 22 2019 01: +0,1.84,6
13,May 23 2019 01: +0,1.967,7
14,May 24 2019 01: +0,1.869,7
15,May 25 2019 01: +0,1.644,7
16,May 26 2019 01: +0,1.77,8
17,May 27 2019 01: +0,1.663,7
18,May 28 2019 01: +0,1.708,9
19,May 29 2019 01: +0,1.751,4
20,May 30 2019 01: +0,1.795,4
21,May 31 2019 01: +0,1.623,18
22,Jun 01 2019 01: +0,1.724,14
23,Jun 02 2019 01: +0,1.752,6
24,Jun 03 2019 01: +0,1.82,5
25,Jun 04 2019 01: +0,1.892,8
26,Jun 05 2019 01: +0,1.971,9
27,Jun 06 2019 01: +0,2.044,4
28,Jun 07 2019 01: +0,2.056,9
29,Jun 08 2019 01: +0,2.024,13
30,Jun 09 2019 01: +0,2.337,17
31,Jun 10 2019 01: +0,2.957,10
32,Jun 11 2019 01: +0,2.63,5
33,Jun 12 2019 01: +0,2.479,5
34,Jun 13 2019 01: +0,2.147,9
35,Jun 14 2019 01: +0,2.287,6
36,Jun 15 2019 01: +0,2.127,10
37,Jun 16 2019 01: +0,2.148,9
38,Jun 17 2019 01: +0,2.313,5
39,Jun 18 2019 01: +0,2.243,9
40,Jun 19 2019 01: +0,2.348,12
41,Jun 20 2019 01: +0,2.327,4
42,Jun 21 2019 01: +0,2.176,10
43,Jun 22 2019 01: +0,2.151,12
44,Jun 23 2019 01: +0,2.23,12
45,Jun 24 2019 01: +0,2.213,7
46,Jun 25 2019 01: +0,2.304,6
47,Jun 26 2019 01: +0,2.178,8
48,Jun 27 2019 01: +0,2.3,5
49,Jun 28 2019 01: +0,2.258,8
50,Jun 29 2019 01: +0,2.081,13
51,Jun 30 2019 01: +0,1.944,3
52,Jul 01 2019 01: +0,2.289,8
53,Jul 02 2019 01: +0,2.434,10
54,Jul 03 2019 01: +0,2.222,4
55,Jul 04 2019 01: +0,2.29,5
56,Jul 05 2019 01: +0,1.998,3
57,Jul 06 2019 01: +0,2.112,10
58,Jul 07 2019 01: +0,2.321,11
59,Jul 08 2019 01: +0,2.494,9
60,Jul 09 2019 01: +0,2.41,9
61,Jul 10 2019 01: +0,2.856,16
62,Jul 11 2019 01: +0,3.296,5
63,Jul 12 2019 01: +0,2.907,9
64,Jul 13 2019 01: +0,2.76,15
65,Jul 14 2019 01: +0,2.91,9
66,Jul 15 2019 01: +0,3.03,8
67,Jul 16 2019 01: +0,3.139,8
68,Jul 17 2019 01: +0,2.752,2
69,Jul 18 2019 01: +0,2.899,5
70,Jul 19 2019 01: +0,2.898,8
71,Jul 20 2019 01: +0,2.729,8
72,Jul 21 2019 01: +0,2.564,4
73,Jul 22 2019 01: +0,3.02,6
74,Jul 23 2019 01: +0,3.059,11
75,Jul 24 2019 01: +0,2.932,8
76,Jul 25 2019 01: +0,3.483,8
77,Jul 26 2019 01: +0,3.828,7
78,Jul 27 2019 01: +0,6.887,4
79,Jul 28 2019 01: +0,4.956,7
80,Jul 29 2019 01: +0,3.778,3
81,Jul 30 2019 01: +0,4.249,4
82,Jul 31 2019 01: +0,4.536,3
83,Aug 01 2019 01: +0,3.812,7
84,Aug 02 2019 01: +0,3.509,4
85,Aug 03 2019 01: +0,3.465,8
86,Aug 04 2019 01: +0,3.644,10
87,Aug 05 2019 01: +0,4.205,7
88,Aug 06 2019 01: +0,4.122,4
