,time,price,volume
0,May 16 2019 01: +0,3.4,2
1,May 17 2019 01: +0,2.08,5
2,May 18 2019 01: +0,1.933,8
3,May 19 2019 01: +0,2.454,9
4,May 20 2019 01: +0,2.77,4
5,May 21 2019 01: +0,2.75,3
6,May 22 2019 01: +0,2.649,7
7,May 23 2019 01: +0,2.313,3
8,May 24 2019 01: +0,2.156,7
9,May 25 2019 01: +0,2.667,9
10,May 26 2019 01: +0,2.469,7
11,May 27 2019 01: +0,3.911,5
12,May 28 2019 01: +0,2.512,3
13,May 29 2019 01: +0,2.462,4
14,May 30 2019 01: +0,2.42,4
15,May 31 2019 01: +0,2.586,5
16,Jun 01 2019 01: +0,3.191,12
17,Jun 02 2019 01: +0,4.651,5
18,Jun 03 2019 01: +0,4.058,9
19,Jun 04 2019 01: +0,3.783,1
20,Jun 05 2019 01: +0,3.611,2
21,Jun 06 2019 01: +0,3.695,5
22,Jun 07 2019 01: +0,3.23,2
23,Jun 08 2019 01: +0,3.057,4
24,Jun 09 2019 01: +0,3.542,6
25,Jun 10 2019 01: +0,2.892,6
26,Jun 11 2019 01: +0,3.138,5
27,Jun 12 2019 01: +0,3.003,4
28,Jun 13 2019 01: +0,3.124,5
29,Jun 14 2019 01: +0,3.135,4
30,Jun 15 2019 01: +0,3.029,10
31,Jun 16 2019 01: +0,3.226,4
32,Jun 17 2019 01: +0,3.271,7
33,Jun 18 2019 01: +0,3.018,3
34,Jun 19 2019 01: +0,3.359,2
35,Jun 20 2019 01: +0,3.276,5
36,Jun 21 2019 01: +0,3.119,5
37,Jun 22 2019 01: +0,2.787,4
38,Jun 23 2019 01: +0,3.345,8
39,Jun 24 2019 01: +0,3.51,1
40,Jun 25 2019 01: +0,3.206,4
41,Jun 26 2019 01: +0,3.294,5
42,Jun 27 2019 01: +0,3.515,2
43,Jun 28 2019 01: +0,2.974,3
44,Jun 29 2019 01: +0,2.749,2
45,Jun 30 2019 01: +0,2.897,9
46,Jul 01 2019 01: +0,3.342,5
47,Jul 02 2019 01: +0,3.31,2
48,Jul 03 2019 01: +0,2.868,2
49,Jul 04 2019 01: +0,2.878,5
50,Jul 05 2019 01: +0,2.931,2
51,Jul 06 2019 01: +0,2.872,4
52,Jul 07 2019 01: +0,3.079,9
53,Jul 08 2019 01: +0,3.06,5
54,Jul 09 2019 01: +0,3.491,8
55,Jul 10 2019 01: +0,3.385,5
56,Jul 11 2019 01: +0,3.359,5
57,Jul 12 2019 01: +0,3.392,7
58,Jul 13 2019 01: +0,3.17,5
59,Jul 14 2019 01: +0,5.967,8
60,Jul 16 2019 01: +0,3.081,1
61,Jul 17 2019 01: +0,4.027,4
62,Jul 18 2019 01: +0,3.92,2
63,Jul 19 2019 01: +0,3.633,5
64,Jul 20 2019 01: +0,3.559,5
65,Jul 21 2019 01: +0,3.72,5
66,Jul 22 2019 01: +0,3.922,2
67,Jul 23 2019 01: +0,3.775,2
68,Jul 24 2019 01: +0,4.109,3
69,Jul 25 2019 01: +0,4.002,4
70,Jul 26 2019 01: +0,3.67,4
71,Jul 27 2019 01: +0,3.821,4
72,Jul 28 2019 01: +0,4.101,7
73,Jul 29 2019 01: +0,3.9,2
74,Jul 30 2019 01: +0,3.898,4
75,Jul 31 2019 01: +0,3.968,4
76,Aug 01 2019 01: +0,3.682,2
77,Aug 02 2019 01: +0,3.965,5
78,Aug 03 2019 01: +0,1.393,1
79,Aug 04 2019 01: +0,3.866,4
80,Aug 05 2019 01: +0,4.055,2
81,Aug 06 2019 01: +0,4.068,3
82,Aug 07 2019 01: +0,5.252,1
83,Aug 09 2019 01: +0,4.41,4
84,Aug 10 2019 01: +0,4.104,4
85,Aug 11 2019 01: +0,4.159,6
86,Aug 13 2019 01: +0,3.926,6
87,Aug 14 2019 01: +0,4.147,1
88,Aug 15 2019 01: +0,4.467,5
89,Aug 16 2019 01: +0,4.112,5
90,Aug 17 2019 01: +0,4.63,5
91,Aug 18 2019 01: +0,4.74,1
92,Aug 19 2019 01: +0,4.516,7
93,Aug 20 2019 01: +0,4.758,2
94,Aug 21 2019 01: +0,3.623,3
95,Aug 22 2019 01: +0,3.64,2
96,Aug 23 2019 01: +0,4.257,2
97,Aug 24 2019 01: +0,4.137,5
98,Aug 25 2019 01: +0,4.382,4
99,Aug 26 2019 01: +0,4.848,3
