,time,price,volume
0,Feb 23 2017 01: +0,1.772,39
1,Feb 24 2017 01: +0,1.678,38
2,Feb 25 2017 01: +0,1.677,48
3,Feb 26 2017 01: +0,1.781,41
4,Feb 27 2017 01: +0,1.869,28
5,Feb 28 2017 01: +0,1.89,22
6,Mar 01 2017 01: +0,1.903,25
7,Mar 02 2017 01: +0,1.798,28
8,Mar 03 2017 01: +0,1.863,28
9,Mar 04 2017 01: +0,1.882,22
10,Mar 05 2017 01: +0,1.96,29
11,Mar 06 2017 01: +0,1.877,28
12,Mar 07 2017 01: +0,1.989,18
13,Mar 08 2017 01: +0,1.871,21
14,Mar 09 2017 01: +0,2.011,32
15,Mar 10 2017 01: +0,2.246,37
16,Mar 11 2017 01: +0,2.342,26
17,Mar 12 2017 01: +0,2.202,29
18,Mar 13 2017 01: +0,2.424,21
19,Mar 14 2017 01: +0,2.74,16
20,Mar 15 2017 01: +0,2.842,23
21,Mar 16 2017 01: +0,2.931,18
22,Mar 17 2017 01: +0,2.821,17
23,Mar 18 2017 01: +0,2.76,25
24,Mar 19 2017 01: +0,2.65,18
25,Mar 20 2017 01: +0,2.857,16
26,Mar 21 2017 01: +0,2.778,19
27,Mar 22 2017 01: +0,3.063,15
28,Mar 23 2017 01: +0,2.771,10
29,Mar 24 2017 01: +0,3.218,6
30,Mar 25 2017 01: +0,3.767,8
31,Mar 26 2017 01: +0,5.519,6
32,Mar 27 2017 01: +0,6.542,2
33,Mar 28 2017 01: +0,2.208,2
34,Mar 29 2017 01: +0,4.176,1
35,Mar 31 2017 01: +0,7.18,1
36,Apr 01 2017 01: +0,6.58,3
37,Apr 02 2017 01: +0,2.077,1
38,Apr 04 2017 01: +0,2.94,1
39,Apr 05 2017 01: +0,2.941,1
40,Apr 06 2017 01: +0,2.667,8
41,Apr 07 2017 01: +0,2.062,20
42,Apr 08 2017 01: +0,1.926,15
43,Apr 09 2017 01: +0,1.964,15
44,Apr 10 2017 01: +0,2.025,22
45,Apr 11 2017 01: +0,2.165,8
46,Apr 12 2017 01: +0,2.188,10
47,Apr 13 2017 01: +0,2.05,16
48,Apr 14 2017 01: +0,1.801,18
49,Apr 15 2017 01: +0,2.149,25
50,Apr 16 2017 01: +0,2.198,18
51,Apr 17 2017 01: +0,2.444,10
52,Apr 18 2017 01: +0,2.405,14
53,Apr 19 2017 01: +0,2.293,8
54,Apr 20 2017 01: +0,2.117,16
55,Apr 21 2017 01: +0,1.957,13
56,Apr 22 2017 01: +0,1.842,16
57,Apr 23 2017 01: +0,2.009,12
58,Apr 24 2017 01: +0,2.209,19
59,Apr 25 2017 01: +0,2.205,10
60,Apr 26 2017 01: +0,2.437,10
61,Apr 27 2017 01: +0,2.081,10
62,Apr 28 2017 01: +0,2.072,14
63,Apr 29 2017 01: +0,2.282,10
64,Apr 30 2017 01: +0,2.118,8
65,May 01 2017 01: +0,2.23,14
66,May 02 2017 01: +0,2.293,6
67,May 03 2017 01: +0,2.257,5
68,May 04 2017 01: +0,2.233,6
69,May 05 2017 01: +0,1.94,12
70,May 06 2017 01: +0,1.962,6
71,May 07 2017 01: +0,1.959,20
72,May 08 2017 01: +0,2.121,8
73,May 09 2017 01: +0,2.14,7
74,May 10 2017 01: +0,2.166,5
75,May 11 2017 01: +0,2.035,10
76,May 12 2017 01: +0,1.947,10
77,May 13 2017 01: +0,1.94,6
78,May 14 2017 01: +0,1.975,12
79,May 15 2017 01: +0,1.867,10
80,May 16 2017 01: +0,1.992,8
81,May 17 2017 01: +0,1.93,6
82,May 18 2017 01: +0,1.996,10
83,May 19 2017 01: +0,2.022,12
84,May 20 2017 01: +0,2.095,11
85,May 21 2017 01: +0,2.232,10
86,May 22 2017 01: +0,2.211,9
87,May 23 2017 01: +0,2.16,8
88,May 24 2017 01: +0,1.725,8
89,May 25 2017 01: +0,1.736,14
90,May 26 2017 01: +0,1.886,16
91,May 27 2017 01: +0,2.044,13
92,May 28 2017 01: +0,2.322,16
93,May 29 2017 01: +0,2.38,6
94,May 30 2017 01: +0,2.39,8
95,May 31 2017 01: +0,2.003,7
96,Jun 01 2017 01: +0,2.259,6
97,Jun 02 2017 01: +0,2.381,12
98,Jun 03 2017 01: +0,2.15,11
99,Jun 04 2017 01: +0,2.418,10
100,Jun 05 2017 01: +0,2.116,11
101,Jun 06 2017 01: +0,2.215,4
102,Jun 07 2017 01: +0,2.215,12
103,Jun 08 2017 01: +0,2.344,11
104,Jun 09 2017 01: +0,2.174,17
105,Jun 10 2017 01: +0,2.62,16
106,Jun 11 2017 01: +0,2.65,14
107,Jun 12 2017 01: +0,2.9,13
108,Jun 13 2017 01: +0,2.767,11
109,Jun 14 2017 01: +0,2.896,6
110,Jun 15 2017 01: +0,2.965,5
111,Jun 16 2017 01: +0,2.713,13
112,Jun 17 2017 01: +0,2.883,9
113,Jun 18 2017 01: +0,2.976,12
114,Jun 19 2017 01: +0,3.092,15
115,Jun 20 2017 01: +0,2.84,3
116,Jun 21 2017 01: +0,2.484,12
117,Jun 22 2017 01: +0,2.688,15
118,Jun 23 2017 01: +0,2.809,13
119,Jun 24 2017 01: +0,2.807,13
120,Jun 25 2017 01: +0,2.805,9
121,Jun 26 2017 01: +0,2.868,11
122,Jun 27 2017 01: +0,2.858,18
123,Jun 28 2017 01: +0,3.164,10
124,Jun 29 2017 01: +0,2.941,11
125,Jun 30 2017 01: +0,2.821,12
126,Jul 01 2017 01: +0,3.271,15
127,Jul 02 2017 01: +0,2.98,9
128,Jul 03 2017 01: +0,3.45,10
129,Jul 04 2017 01: +0,2.717,8
130,Jul 05 2017 01: +0,2.91,8
131,Jul 06 2017 01: +0,3.172,12
132,Jul 07 2017 01: +0,3.475,11
133,Jul 08 2017 01: +0,3.933,12
134,Jul 09 2017 01: +0,4.348,8
135,Jul 10 2017 01: +0,4.386,7
136,Jul 11 2017 01: +0,3.999,6
137,Jul 12 2017 01: +0,4.551,8
