,time,price,volume
0,Aug 11 2017 01: +0,2.448,7
1,Aug 12 2017 01: +0,2.129,7
2,Aug 13 2017 01: +0,5.561,15
3,Aug 14 2017 01: +0,3.242,3
4,Aug 15 2017 01: +0,2.552,5
5,Aug 16 2017 01: +0,2.44,3
6,Aug 17 2017 01: +0,2.191,5
7,Aug 18 2017 01: +0,2.085,2
8,Aug 19 2017 01: +0,1.936,7
9,Aug 20 2017 01: +0,2.57,6
10,Aug 21 2017 01: +0,2.647,4
11,Aug 22 2017 01: +0,2.447,5
12,Aug 23 2017 01: +0,2.398,2
13,Aug 24 2017 01: +0,2.177,6
14,Aug 25 2017 01: +0,2.145,6
15,Aug 26 2017 01: +0,2.145,4
16,Aug 27 2017 01: +0,2.1,3
17,Aug 28 2017 01: +0,2.138,3
18,Aug 30 2017 01: +0,1.853,6
19,Aug 31 2017 01: +0,1.668,5
20,Sep 01 2017 01: +0,1.548,6
21,Sep 02 2017 01: +0,1.787,2
22,Sep 03 2017 01: +0,1.756,4
23,Sep 04 2017 01: +0,1.89,5
24,Sep 05 2017 01: +0,2.107,4
25,Sep 06 2017 01: +0,1.753,6
26,Sep 07 2017 01: +0,1.972,8
27,Sep 08 2017 01: +0,2.242,3
28,Sep 09 2017 01: +0,2.2,10
29,Sep 10 2017 01: +0,1.656,3
30,Sep 11 2017 01: +0,2.367,3
31,Sep 12 2017 01: +0,2.027,3
32,Sep 13 2017 01: +0,1.988,2
33,Sep 14 2017 01: +0,1.697,3
34,Sep 15 2017 01: +0,2.152,4
35,Sep 16 2017 01: +0,2.088,6
36,Sep 17 2017 01: +0,2.143,3
37,Sep 18 2017 01: +0,2.24,3
38,Sep 19 2017 01: +0,1.614,2
39,Sep 20 2017 01: +0,1.868,4
40,Sep 21 2017 01: +0,1.981,1
41,Sep 22 2017 01: +0,1.937,6
42,Sep 23 2017 01: +0,2.212,4
43,Sep 24 2017 01: +0,2.207,3
44,Sep 25 2017 01: +0,2.209,4
45,Sep 27 2017 01: +0,2.149,3
46,Sep 28 2017 01: +0,1.736,3
47,Sep 29 2017 01: +0,1.996,4
48,Sep 30 2017 01: +0,1.671,3
49,Oct 01 2017 01: +0,1.56,2
50,Oct 02 2017 01: +0,1.667,6
51,Oct 03 2017 01: +0,1.775,2
52,Oct 04 2017 01: +0,1.4,1
53,Oct 05 2017 01: +0,1.902,5
54,Oct 06 2017 01: +0,1.744,5
55,Oct 07 2017 01: +0,1.89,1
56,Oct 08 2017 01: +0,1.846,4
57,Oct 09 2017 01: +0,1.773,2
58,Oct 10 2017 01: +0,1.888,6
59,Oct 11 2017 01: +0,2.081,2
60,Oct 12 2017 01: +0,2.055,2
61,Oct 13 2017 01: +0,1.709,2
62,Oct 14 2017 01: +0,1.856,4
63,Oct 15 2017 01: +0,1.709,6
64,Oct 17 2017 01: +0,1.756,5
65,Oct 18 2017 01: +0,1.865,2
66,Oct 19 2017 01: +0,1.884,2
67,Oct 21 2017 01: +0,1.663,3
68,Oct 22 2017 01: +0,1.595,2
69,Oct 23 2017 01: +0,1.678,3
70,Oct 24 2017 01: +0,1.385,2
71,Oct 25 2017 01: +0,1.478,3
72,Oct 26 2017 01: +0,1.575,4
73,Oct 27 2017 01: +0,1.67,5
74,Oct 28 2017 01: +0,1.694,3
75,Oct 29 2017 01: +0,1.559,5
76,Oct 30 2017 01: +0,1.552,7
77,Oct 31 2017 01: +0,2.026,9
78,Nov 01 2017 01: +0,1.61,2
79,Nov 02 2017 01: +0,1.7,4
80,Nov 03 2017 01: +0,2.256,6
81,Nov 04 2017 01: +0,2.286,5
82,Nov 05 2017 01: +0,2.107,6
83,Nov 06 2017 01: +0,2.29,1
84,Nov 07 2017 01: +0,2.055,4
85,Nov 08 2017 01: +0,2.215,3
86,Nov 09 2017 01: +0,2.2,6
87,Nov 10 2017 01: +0,2.031,3
88,Nov 11 2017 01: +0,1.571,4
89,Nov 12 2017 01: +0,1.602,4
90,Nov 13 2017 01: +0,1.697,5
91,Nov 14 2017 01: +0,1.72,2
92,Nov 15 2017 01: +0,1.73,1
93,Nov 16 2017 01: +0,1.514,6
94,Nov 17 2017 01: +0,1.904,5
95,Nov 18 2017 01: +0,2.119,4
96,Nov 19 2017 01: +0,2.116,3
97,Nov 20 2017 01: +0,2.128,4
98,Nov 22 2017 01: +0,1.736,2
99,Nov 23 2017 01: +0,1.739,2
100,Nov 24 2017 01: +0,2.075,3
101,Nov 25 2017 01: +0,2.106,1
102,Nov 26 2017 01: +0,1.815,9
103,Nov 27 2017 01: +0,1.484,5
104,Nov 28 2017 01: +0,2.125,2
105,Nov 29 2017 01: +0,2.102,1
106,Dec 01 2017 01: +0,2.038,3
107,Dec 02 2017 01: +0,2.053,6
108,Dec 03 2017 01: +0,1.718,2
109,Dec 04 2017 01: +0,1.413,1
110,Dec 06 2017 01: +0,2.144,4
111,Dec 07 2017 01: +0,2.141,2
112,Dec 09 2017 01: +0,2.035,2
113,Dec 10 2017 01: +0,2.084,6
114,Dec 11 2017 01: +0,2.26,4
115,Dec 12 2017 01: +0,2.308,1
116,Dec 13 2017 01: +0,2.314,2
117,Dec 14 2017 01: +0,2.415,2
