,time,price,volume
0,Apr 12 2019 01: +0,2.973,6
1,Apr 13 2019 01: +0,2.428,3
2,Apr 14 2019 01: +0,1.796,6
3,Apr 15 2019 01: +0,1.369,5
4,Apr 16 2019 01: +0,1.259,3
5,Apr 17 2019 01: +0,1.435,1
6,Apr 18 2019 01: +0,2.045,10
7,Apr 20 2019 01: +0,2.764,2
8,Apr 21 2019 01: +0,2.305,2
9,Apr 22 2019 01: +0,2.301,3
10,Apr 23 2019 01: +0,2.243,3
11,Apr 24 2019 01: +0,2.196,3
12,Apr 25 2019 01: +0,2.435,2
13,Apr 26 2019 01: +0,2.235,8
14,Apr 27 2019 01: +0,1.41,1
15,Apr 28 2019 01: +0,1.856,5
16,Apr 29 2019 01: +0,1.7,2
17,Apr 30 2019 01: +0,2.012,1
18,May 01 2019 01: +0,1.8,3
19,May 02 2019 01: +0,1.454,4
20,May 03 2019 01: +0,1.106,2
21,May 05 2019 01: +0,1.31,1
22,May 06 2019 01: +0,1.157,4
23,May 07 2019 01: +0,1.58,1
24,May 08 2019 01: +0,1.5,1
25,May 09 2019 01: +0,1.335,3
26,May 10 2019 01: +0,1.443,5
27,May 11 2019 01: +0,1.523,2
28,May 12 2019 01: +0,1.112,1
29,May 14 2019 01: +0,1.62,1
30,May 15 2019 01: +0,1.542,1
31,May 16 2019 01: +0,1.487,2
32,May 17 2019 01: +0,1.301,2
33,May 18 2019 01: +0,1.187,3
34,May 19 2019 01: +0,1.197,2
35,May 20 2019 01: +0,1.28,1
36,May 21 2019 01: +0,1.284,2
37,May 22 2019 01: +0,1.405,5
38,May 24 2019 01: +0,1.4,1
39,May 25 2019 01: +0,0.52,1
40,May 26 2019 01: +0,1.016,4
41,May 27 2019 01: +0,1.27,1
42,May 28 2019 01: +0,1.26,1
43,May 30 2019 01: +0,1.257,2
44,May 31 2019 01: +0,1.247,2
45,Jun 01 2019 01: +0,1.235,2
46,Jun 02 2019 01: +0,1.029,1
47,Jun 03 2019 01: +0,1.172,3
48,Jun 05 2019 01: +0,1.2,1
49,Jun 06 2019 01: +0,1.182,4
50,Jun 08 2019 01: +0,1.195,5
51,Jun 09 2019 01: +0,1.174,3
52,Jun 10 2019 01: +0,1.104,3
53,Jun 11 2019 01: +0,1.185,2
54,Jun 12 2019 01: +0,1.187,5
55,Jun 13 2019 01: +0,1.266,1
56,Jun 14 2019 01: +0,1.195,3
57,Jun 15 2019 01: +0,1.372,2
58,Jun 16 2019 01: +0,1.257,2
59,Jun 17 2019 01: +0,1.294,1
60,Jun 18 2019 01: +0,1.482,2
61,Jun 19 2019 01: +0,1.502,3
62,Jun 20 2019 01: +0,1.557,3
63,Jun 21 2019 01: +0,1.632,2
64,Jun 23 2019 01: +0,1.052,3
65,Jun 24 2019 01: +0,1.494,1
66,Jun 25 2019 01: +0,1.328,4
67,Jun 26 2019 01: +0,1.164,3
68,Jun 27 2019 01: +0,1.452,1
69,Jun 28 2019 01: +0,1.421,3
