,time,price,volume
0,Apr 19 2019 01: +0,5.594,1
1,Apr 20 2019 01: +0,2.86,7
2,Apr 21 2019 01: +0,2.236,15
3,Apr 23 2019 01: +0,2.398,9
4,Apr 24 2019 01: +0,2.342,3
5,Apr 25 2019 01: +0,2.004,10
6,Apr 26 2019 01: +0,2.059,9
7,Apr 27 2019 01: +0,2.168,15
8,Apr 28 2019 01: +0,2.222,10
9,Apr 29 2019 01: +0,2.021,6
10,Apr 30 2019 01: +0,1.773,6
11,May 01 2019 01: +0,1.539,3
12,May 02 2019 01: +0,1.569,8
13,May 03 2019 01: +0,1.767,7
14,May 04 2019 01: +0,1.75,7
15,May 05 2019 01: +0,1.809,5
16,May 06 2019 01: +0,1.707,8
17,May 07 2019 01: +0,1.818,8
18,May 08 2019 01: +0,1.687,5
19,May 09 2019 01: +0,1.699,4
20,May 10 2019 01: +0,1.511,9
21,May 11 2019 01: +0,1.767,6
22,May 12 2019 01: +0,1.507,6
23,May 13 2019 01: +0,1.811,3
24,May 14 2019 01: +0,1.829,5
25,May 15 2019 01: +0,1.74,6
26,May 16 2019 01: +0,1.689,5
27,May 18 2019 01: +0,1.693,9
28,May 19 2019 01: +0,1.705,5
29,May 20 2019 01: +0,1.742,2
30,May 21 2019 01: +0,1.64,8
31,May 22 2019 01: +0,1.792,3
32,May 23 2019 01: +0,1.616,4
33,May 24 2019 01: +0,1.534,5
34,May 25 2019 01: +0,1.676,3
35,May 26 2019 01: +0,1.562,6
36,May 27 2019 01: +0,1.625,3
37,May 28 2019 01: +0,1.437,3
38,May 29 2019 01: +0,1.606,4
39,May 30 2019 01: +0,1.46,2
40,May 31 2019 01: +0,1.322,9
41,Jun 01 2019 01: +0,1.346,6
42,Jun 02 2019 01: +0,1.552,10
43,Jun 03 2019 01: +0,1.715,8
44,Jun 04 2019 01: +0,1.762,3
45,Jun 05 2019 01: +0,1.508,1
46,Jun 06 2019 01: +0,1.597,8
47,Jun 07 2019 01: +0,1.632,6
48,Jun 08 2019 01: +0,1.598,8
49,Jun 09 2019 01: +0,1.414,6
50,Jun 10 2019 01: +0,1.651,5
51,Jun 11 2019 01: +0,1.76,6
52,Jun 12 2019 01: +0,1.684,4
53,Jun 13 2019 01: +0,1.579,6
54,Jun 14 2019 01: +0,1.758,9
55,Jun 15 2019 01: +0,1.773,7
56,Jun 16 2019 01: +0,1.834,5
57,Jun 17 2019 01: +0,1.846,3
58,Jun 18 2019 01: +0,1.822,4
59,Jun 19 2019 01: +0,1.824,7
60,Jun 20 2019 01: +0,2.209,10
61,Jun 21 2019 01: +0,2.602,4
62,Jun 22 2019 01: +0,2.381,4
63,Jun 23 2019 01: +0,2.008,6
64,Jun 24 2019 01: +0,1.948,2
65,Jun 25 2019 01: +0,2.145,2
66,Jun 26 2019 01: +0,1.998,3
67,Jun 27 2019 01: +0,2.124,9
68,Jun 28 2019 01: +0,2.243,3
69,Jun 29 2019 01: +0,1.954,3
70,Jun 30 2019 01: +0,1.902,9
71,Jul 01 2019 01: +0,1.836,5
72,Jul 02 2019 01: +0,1.817,2
73,Jul 03 2019 01: +0,1.811,8
74,Jul 04 2019 01: +0,1.954,8
75,Jul 05 2019 01: +0,2.093,7
76,Jul 06 2019 01: +0,2.219,7
77,Jul 07 2019 01: +0,2.84,2
78,Jul 08 2019 01: +0,2.76,8
79,Jul 09 2019 01: +0,3.548,6
80,Jul 10 2019 01: +0,2.458,8
81,Jul 11 2019 01: +0,2.702,7
82,Jul 12 2019 01: +0,3.664,4
83,Jul 13 2019 01: +0,2.738,8
84,Jul 14 2019 01: +0,2.846,6
85,Jul 15 2019 01: +0,2.488,10
86,Jul 16 2019 01: +0,2.83,3
87,Jul 17 2019 01: +0,2.82,7
88,Jul 18 2019 01: +0,2.779,1
89,Jul 19 2019 01: +0,2.377,3
90,Jul 20 2019 01: +0,2.291,7
91,Jul 21 2019 01: +0,2.353,5
92,Jul 22 2019 01: +0,2.508,4
93,Jul 23 2019 01: +0,2.331,3
94,Jul 24 2019 01: +0,2.137,7
95,Jul 25 2019 01: +0,2.129,10
96,Jul 26 2019 01: +0,2.259,7
