,time,price,volume
0,Mar 01 2019 01: +0,7.527,25
1,Mar 02 2019 01: +0,6.686,33
2,Mar 03 2019 01: +0,8.114,23
3,Mar 04 2019 01: +0,6.846,24
4,Mar 05 2019 01: +0,6.812,15
5,Mar 06 2019 01: +0,5.893,13
6,Mar 07 2019 01: +0,5.31,30
7,Mar 08 2019 01: +0,7.181,38
8,Mar 09 2019 01: +0,6.598,55
9,Mar 10 2019 01: +0,6.801,25
10,Mar 11 2019 01: +0,6.49,19
11,Mar 12 2019 01: +0,6.494,14
12,Mar 13 2019 01: +0,6.565,17
13,Mar 14 2019 01: +0,6.466,16
14,Mar 15 2019 01: +0,6.326,26
15,Mar 16 2019 01: +0,6.531,19
16,Mar 17 2019 01: +0,7.193,13
17,Mar 18 2019 01: +0,6.721,9
18,Mar 19 2019 01: +0,6.088,9
19,Mar 20 2019 01: +0,5.659,9
20,Mar 21 2019 01: +0,5.927,6
21,Mar 22 2019 01: +0,5.486,19
22,Mar 23 2019 01: +0,5.909,25
23,Mar 24 2019 01: +0,5.9,23
24,Mar 25 2019 01: +0,5.763,10
25,Mar 26 2019 01: +0,5.913,10
26,Mar 27 2019 01: +0,6.054,17
27,Mar 28 2019 01: +0,5.854,21
28,Mar 29 2019 01: +0,5.745,16
29,Mar 30 2019 01: +0,5.851,14
30,Mar 31 2019 01: +0,5.519,11
31,Apr 01 2019 01: +0,5.778,16
32,Apr 02 2019 01: +0,5.49,19
33,Apr 03 2019 01: +0,5.644,10
34,Apr 04 2019 01: +0,4.909,9
35,Apr 05 2019 01: +0,5.639,12
36,Apr 06 2019 01: +0,5.296,27
37,Apr 07 2019 01: +0,5.59,26
38,Apr 08 2019 01: +0,5.582,14
39,Apr 09 2019 01: +0,5.704,10
40,Apr 10 2019 01: +0,5.769,20
41,Apr 11 2019 01: +0,5.856,14
42,Apr 12 2019 01: +0,5.748,13
43,Apr 13 2019 01: +0,5.602,23
44,Apr 14 2019 01: +0,6.046,19
45,Apr 15 2019 01: +0,6.084,19
46,Apr 16 2019 01: +0,5.57,13
47,Apr 17 2019 01: +0,5.901,9
48,Apr 18 2019 01: +0,6.14,17
49,Apr 19 2019 01: +0,6.325,15
50,Apr 20 2019 01: +0,6.442,22
51,Apr 21 2019 01: +0,6.75,15
52,Apr 22 2019 01: +0,6.672,11
53,Apr 23 2019 01: +0,6.688,5
54,Apr 24 2019 01: +0,5.509,8
55,Apr 25 2019 01: +0,5.584,14
56,Apr 26 2019 01: +0,5.785,7
57,Apr 27 2019 01: +0,5.757,8
58,Apr 28 2019 01: +0,5.87,15
59,Apr 29 2019 01: +0,6.092,8
60,Apr 30 2019 01: +0,5.941,9
61,May 01 2019 01: +0,5.545,16
62,May 02 2019 01: +0,5.928,16
63,May 03 2019 01: +0,5.966,17
64,May 04 2019 01: +0,6.134,18
