,time,price,volume
0,Dec 15 2017 01: +0,1.825,15
1,Dec 16 2017 01: +0,2.242,10
2,Dec 17 2017 01: +0,1.992,12
3,Dec 18 2017 01: +0,2.064,6
4,Dec 19 2017 01: +0,2.108,7
5,Dec 20 2017 01: +0,1.973,10
6,Dec 21 2017 01: +0,1.993,15
7,Dec 22 2017 01: +0,1.953,17
8,Dec 23 2017 01: +0,2.049,12
9,Dec 24 2017 01: +0,1.975,9
10,Dec 25 2017 01: +0,2.111,17
11,Dec 26 2017 01: +0,2.284,18
12,Dec 27 2017 01: +0,2.288,12
13,Dec 28 2017 01: +0,2.298,9
14,Dec 29 2017 01: +0,2.277,13
15,Dec 30 2017 01: +0,2.424,19
16,Dec 31 2017 01: +0,2.253,4
17,Jan 01 2018 01: +0,2.265,5
18,Jan 02 2018 01: +0,2.299,6
19,Jan 03 2018 01: +0,2.085,11
20,Jan 04 2018 01: +0,2.112,7
21,Jan 05 2018 01: +0,2.312,11
22,Jan 06 2018 01: +0,2.593,8
23,Jan 07 2018 01: +0,2.644,13
24,Jan 08 2018 01: +0,3.012,7
25,Jan 09 2018 01: +0,3.27,7
26,Jan 10 2018 01: +0,2.501,5
27,Jan 11 2018 01: +0,2.072,5
28,Jan 12 2018 01: +0,2.281,5
29,Jan 13 2018 01: +0,2.342,13
30,Jan 14 2018 01: +0,2.363,9
31,Jan 15 2018 01: +0,2.421,12
32,Jan 16 2018 01: +0,2.574,13
33,Jan 17 2018 01: +0,2.793,7
34,Jan 18 2018 01: +0,2.683,4
35,Jan 19 2018 01: +0,2.593,8
36,Jan 20 2018 01: +0,2.54,16
37,Jan 21 2018 01: +0,2.756,2
38,Jan 22 2018 01: +0,2.166,6
39,Jan 23 2018 01: +0,2.062,3
40,Jan 24 2018 01: +0,2.287,6
41,Jan 25 2018 01: +0,2.227,3
42,Jan 26 2018 01: +0,2.262,3
43,Jan 27 2018 01: +0,2.317,9
44,Jan 28 2018 01: +0,2.223,9
45,Jan 29 2018 01: +0,2.5,1
46,Jan 30 2018 01: +0,1.956,3
47,Jan 31 2018 01: +0,2.008,1
48,Feb 01 2018 01: +0,1.858,7
49,Feb 02 2018 01: +0,2.005,6
50,Feb 03 2018 01: +0,2.078,4
51,Feb 04 2018 01: +0,2.233,11
52,Feb 05 2018 01: +0,2.129,7
53,Feb 06 2018 01: +0,2.052,2
54,Feb 07 2018 01: +0,1.853,3
55,Feb 08 2018 01: +0,1.869,8
56,Feb 09 2018 01: +0,1.973,4
57,Feb 10 2018 01: +0,2.011,5
58,Feb 11 2018 01: +0,2.076,9
59,Feb 12 2018 01: +0,2.064,9
60,Feb 13 2018 01: +0,2.152,5
61,Feb 14 2018 01: +0,2.017,4
62,Feb 15 2018 01: +0,2.494,8
63,Feb 16 2018 01: +0,2.481,3
64,Feb 17 2018 01: +0,2.184,6
65,Feb 18 2018 01: +0,2.04,18
66,Feb 19 2018 01: +0,2.223,5
67,Feb 20 2018 01: +0,2.148,7
68,Feb 21 2018 01: +0,1.86,6
69,Feb 22 2018 01: +0,1.925,7
70,Feb 23 2018 01: +0,1.85,8
71,Feb 24 2018 01: +0,2.0,7
72,Feb 25 2018 01: +0,1.846,3
73,Feb 26 2018 01: +0,1.612,4
74,Feb 27 2018 01: +0,1.744,2
75,Feb 28 2018 01: +0,1.806,12
76,Mar 01 2018 01: +0,1.833,4
77,Mar 02 2018 01: +0,1.753,7
78,Mar 03 2018 01: +0,1.824,4
79,Mar 04 2018 01: +0,1.752,2
80,Mar 05 2018 01: +0,1.686,3
81,Mar 06 2018 01: +0,1.669,7
82,Mar 07 2018 01: +0,1.757,7
83,Mar 08 2018 01: +0,1.782,3
84,Mar 09 2018 01: +0,1.576,3
85,Mar 10 2018 01: +0,1.735,4
86,Mar 11 2018 01: +0,1.517,8
87,Mar 12 2018 01: +0,1.706,3
88,Mar 13 2018 01: +0,1.801,2
89,Mar 14 2018 01: +0,1.666,4
90,Mar 15 2018 01: +0,1.59,5
91,Mar 16 2018 01: +0,1.67,1
92,Mar 17 2018 01: +0,1.57,7
93,Mar 18 2018 01: +0,1.587,6
94,Mar 19 2018 01: +0,1.573,4
95,Mar 20 2018 01: +0,1.577,4
96,Mar 21 2018 01: +0,1.53,5
97,Mar 22 2018 01: +0,1.541,3
98,Mar 23 2018 01: +0,1.466,5
99,Mar 24 2018 01: +0,1.501,4
100,Mar 25 2018 01: +0,1.613,7
101,Mar 26 2018 01: +0,1.626,4
102,Mar 27 2018 01: +0,1.198,6
103,Mar 28 2018 01: +0,1.665,2
104,Mar 29 2018 01: +0,1.536,8
105,Mar 30 2018 01: +0,1.572,3
106,Mar 31 2018 01: +0,1.713,3
107,Apr 01 2018 01: +0,1.64,4
108,Apr 02 2018 01: +0,1.615,3
109,Apr 03 2018 01: +0,1.6,2
110,Apr 04 2018 01: +0,1.4,5
111,Apr 05 2018 01: +0,1.392,6
112,Apr 06 2018 01: +0,1.498,1
113,Apr 07 2018 01: +0,1.505,14
114,Apr 08 2018 01: +0,1.53,6
115,Apr 09 2018 01: +0,1.507,5
116,Apr 10 2018 01: +0,1.478,7
117,Apr 11 2018 01: +0,1.618,6
118,Apr 12 2018 01: +0,1.538,5
119,Apr 13 2018 01: +0,1.595,3
120,Apr 14 2018 01: +0,1.634,4
121,Apr 15 2018 01: +0,1.657,7
122,Apr 16 2018 01: +0,1.579,3
123,Apr 17 2018 01: +0,1.713,3
124,Apr 18 2018 01: +0,1.707,5
125,Apr 19 2018 01: +0,1.662,5
126,Apr 21 2018 01: +0,1.671,4
127,Apr 22 2018 01: +0,1.675,10
128,Apr 23 2018 01: +0,1.77,1
129,Apr 24 2018 01: +0,1.724,5
130,Apr 25 2018 01: +0,1.628,4
131,Apr 26 2018 01: +0,2.24,1
132,Apr 27 2018 01: +0,2.012,1
133,Apr 29 2018 01: +0,1.648,9
134,Apr 30 2018 01: +0,1.713,6
135,May 01 2018 01: +0,1.47,1
136,May 02 2018 01: +0,1.78,3
137,May 03 2018 01: +0,1.942,3
138,May 04 2018 01: +0,1.831,3
139,May 05 2018 01: +0,1.882,9
140,May 06 2018 01: +0,1.905,3
141,May 07 2018 01: +0,1.937,4
142,May 08 2018 01: +0,1.52,3
