,time,price,volume
0,Nov 29 2018 01: +0,2.307,1
1,Nov 30 2018 01: +0,1.946,7
2,Dec 01 2018 01: +0,1.533,21
3,Dec 02 2018 01: +0,1.994,11
4,Dec 03 2018 01: +0,1.537,7
5,Dec 04 2018 01: +0,1.555,9
6,Dec 05 2018 01: +0,1.606,12
7,Dec 06 2018 01: +0,1.542,14
8,Dec 07 2018 01: +0,1.579,24
9,Dec 08 2018 01: +0,1.73,25
10,Dec 09 2018 01: +0,1.857,15
11,Dec 10 2018 01: +0,1.676,7
12,Dec 11 2018 01: +0,1.712,7
13,Dec 12 2018 01: +0,1.701,19
14,Dec 13 2018 01: +0,1.686,18
15,Dec 14 2018 01: +0,1.739,10
16,Dec 15 2018 01: +0,1.701,6
17,Dec 16 2018 01: +0,1.654,18
18,Dec 17 2018 01: +0,1.567,8
19,Dec 18 2018 01: +0,1.689,12
20,Dec 19 2018 01: +0,1.664,12
21,Dec 20 2018 01: +0,1.593,12
22,Dec 21 2018 01: +0,1.574,17
23,Dec 22 2018 01: +0,1.568,16
24,Dec 23 2018 01: +0,1.55,18
25,Dec 24 2018 01: +0,1.564,15
26,Dec 25 2018 01: +0,1.763,22
27,Dec 26 2018 01: +0,1.701,21
28,Dec 27 2018 01: +0,1.946,13
29,Dec 28 2018 01: +0,2.042,18
30,Dec 29 2018 01: +0,2.107,9
31,Dec 30 2018 01: +0,2.143,15
32,Dec 31 2018 01: +0,2.3,19
33,Jan 01 2019 01: +0,1.86,9
34,Jan 02 2019 01: +0,2.284,9
35,Jan 03 2019 01: +0,2.169,13
36,Jan 04 2019 01: +0,2.068,17
37,Jan 05 2019 01: +0,2.049,15
38,Jan 06 2019 01: +0,2.082,16
39,Jan 07 2019 01: +0,2.206,8
40,Jan 08 2019 01: +0,2.102,10
41,Jan 09 2019 01: +0,2.333,5
42,Jan 10 2019 01: +0,2.333,7
43,Jan 11 2019 01: +0,2.113,5
44,Jan 12 2019 01: +0,2.13,16
45,Jan 13 2019 01: +0,2.124,12
46,Jan 14 2019 01: +0,2.283,5
47,Jan 15 2019 01: +0,2.297,5
48,Jan 16 2019 01: +0,2.286,8
49,Jan 17 2019 01: +0,2.168,5
50,Jan 18 2019 01: +0,2.063,3
51,Jan 19 2019 01: +0,2.271,10
52,Jan 20 2019 01: +0,2.127,5
53,Jan 21 2019 01: +0,2.47,1
54,Jan 22 2019 01: +0,2.132,4
55,Jan 23 2019 01: +0,2.269,6
56,Jan 24 2019 01: +0,1.964,6
57,Jan 25 2019 01: +0,2.044,3
58,Jan 26 2019 01: +0,2.214,3
59,Jan 27 2019 01: +0,2.095,4
60,Jan 28 2019 01: +0,1.922,7
61,Jan 29 2019 01: +0,1.909,4
62,Jan 30 2019 01: +0,1.835,11
63,Jan 31 2019 01: +0,1.86,3
64,Feb 01 2019 01: +0,1.813,11
65,Feb 02 2019 01: +0,1.846,7
66,Feb 03 2019 01: +0,1.864,19
67,Feb 04 2019 01: +0,1.855,6
68,Feb 05 2019 01: +0,1.748,7
69,Feb 06 2019 01: +0,1.905,4
70,Feb 07 2019 01: +0,1.633,14
71,Feb 08 2019 01: +0,1.904,9
72,Feb 09 2019 01: +0,1.944,5
73,Feb 10 2019 01: +0,1.998,4
74,Feb 11 2019 01: +0,2.175,3
75,Feb 12 2019 01: +0,2.002,3
76,Feb 13 2019 01: +0,1.626,1
77,Feb 14 2019 01: +0,1.702,2
78,Feb 15 2019 01: +0,1.857,10
79,Feb 16 2019 01: +0,1.857,5
80,Feb 17 2019 01: +0,1.86,3
81,Feb 18 2019 01: +0,1.765,8
82,Feb 19 2019 01: +0,1.635,4
83,Feb 20 2019 01: +0,1.824,6
84,Feb 21 2019 01: +0,1.844,7
85,Feb 22 2019 01: +0,1.751,5
86,Feb 23 2019 01: +0,1.742,9
87,Feb 24 2019 01: +0,1.823,3
88,Feb 25 2019 01: +0,1.825,2
89,Feb 26 2019 01: +0,1.84,6
90,Feb 27 2019 01: +0,1.807,6
91,Feb 28 2019 01: +0,1.59,12
92,Mar 01 2019 01: +0,1.651,7
93,Mar 02 2019 01: +0,1.69,12
94,Mar 03 2019 01: +0,1.773,13
95,Mar 04 2019 01: +0,1.656,9
96,Mar 05 2019 01: +0,1.877,6
97,Mar 06 2019 01: +0,1.957,7
98,Mar 07 2019 01: +0,1.855,3
99,Mar 08 2019 01: +0,1.721,6
100,Mar 09 2019 01: +0,1.844,4
101,Mar 10 2019 01: +0,1.785,5
102,Mar 11 2019 01: +0,1.784,4
103,Mar 12 2019 01: +0,1.834,8
104,Mar 13 2019 01: +0,1.744,5
105,Mar 14 2019 01: +0,1.537,5
106,Mar 15 2019 01: +0,1.757,8
107,Mar 16 2019 01: +0,1.751,4
108,Mar 17 2019 01: +0,1.745,7
109,Mar 18 2019 01: +0,1.783,11
110,Mar 19 2019 01: +0,1.79,1
111,Mar 20 2019 01: +0,1.708,8
112,Mar 21 2019 01: +0,1.718,9
113,Mar 22 2019 01: +0,1.631,4
114,Mar 23 2019 01: +0,1.516,11
115,Mar 24 2019 01: +0,1.403,4
116,Mar 25 2019 01: +0,1.567,10
117,Mar 26 2019 01: +0,1.653,7
118,Mar 27 2019 01: +0,1.673,5
119,Mar 28 2019 01: +0,1.516,8
120,Mar 29 2019 01: +0,1.588,6
121,Mar 30 2019 01: +0,1.594,2
122,Mar 31 2019 01: +0,1.556,4
123,Apr 01 2019 01: +0,1.57,7
124,Apr 02 2019 01: +0,1.539,3
125,Apr 03 2019 01: +0,1.506,3
126,Apr 04 2019 01: +0,1.592,5
127,Apr 05 2019 01: +0,1.41,3
128,Apr 06 2019 01: +0,1.459,8
129,Apr 07 2019 01: +0,1.489,6
130,Apr 08 2019 01: +0,1.64,3
131,Apr 09 2019 01: +0,1.505,8
132,Apr 10 2019 01: +0,1.636,4
133,Apr 11 2019 01: +0,1.618,6
134,Apr 12 2019 01: +0,1.616,5
135,Apr 13 2019 01: +0,1.643,11
136,Apr 14 2019 01: +0,1.549,7
137,Apr 15 2019 01: +0,1.577,4
138,Apr 16 2019 01: +0,1.51,3
139,Apr 17 2019 01: +0,1.627,4
140,Apr 18 2019 01: +0,1.549,4
141,Apr 19 2019 01: +0,1.566,5
142,Apr 20 2019 01: +0,1.565,9
143,Apr 21 2019 01: +0,1.549,11
144,Apr 22 2019 01: +0,1.632,9
145,Apr 23 2019 01: +0,1.657,4
146,Apr 24 2019 01: +0,1.527,6
147,Apr 25 2019 01: +0,1.573,7
148,Apr 26 2019 01: +0,1.506,8
149,Apr 27 2019 01: +0,1.489,4
150,Apr 28 2019 01: +0,1.464,5
151,Apr 29 2019 01: +0,1.493,1
152,Apr 30 2019 01: +0,1.469,11
153,May 01 2019 01: +0,1.555,4
154,May 02 2019 01: +0,1.618,5
155,May 03 2019 01: +0,1.449,3
156,May 04 2019 01: +0,1.506,8
157,May 05 2019 01: +0,1.553,6
158,May 06 2019 01: +0,1.34,1
159,May 07 2019 01: +0,1.497,9
160,May 08 2019 01: +0,1.525,5
161,May 09 2019 01: +0,1.478,4
