,time,price,volume
0,Mar 01 2018 01: +0,1.46,31
1,Mar 02 2018 01: +0,1.532,53
2,Mar 03 2018 01: +0,1.682,45
3,Mar 04 2018 01: +0,1.857,31
4,Mar 05 2018 01: +0,1.868,24
5,Mar 06 2018 01: +0,1.803,20
6,Mar 07 2018 01: +0,1.877,30
7,Mar 08 2018 01: +0,1.741,20
8,Mar 09 2018 01: +0,1.488,35
9,Mar 10 2018 01: +0,1.681,32
10,Mar 11 2018 01: +0,1.653,27
11,Mar 12 2018 01: +0,1.666,19
12,Mar 13 2018 01: +0,1.625,13
13,Mar 14 2018 01: +0,1.587,9
14,Mar 15 2018 01: +0,1.67,17
15,Mar 16 2018 01: +0,1.613,25
16,Mar 17 2018 01: +0,1.768,26
17,Mar 18 2018 01: +0,1.588,21
18,Mar 19 2018 01: +0,1.598,11
19,Mar 20 2018 01: +0,1.425,15
20,Mar 21 2018 01: +0,1.447,12
21,Mar 22 2018 01: +0,1.666,12
22,Mar 23 2018 01: +0,1.6,9
23,Mar 24 2018 01: +0,1.556,16
24,Mar 25 2018 01: +0,1.59,21
25,Mar 26 2018 01: +0,1.672,11
26,Mar 27 2018 01: +0,1.607,21
27,Mar 28 2018 01: +0,1.531,13
28,Mar 29 2018 01: +0,1.517,28
29,Mar 30 2018 01: +0,1.627,15
30,Mar 31 2018 01: +0,1.672,18
31,Apr 01 2018 01: +0,1.739,21
32,Apr 02 2018 01: +0,1.931,15
33,Apr 03 2018 01: +0,1.63,13
34,Apr 04 2018 01: +0,1.643,16
35,Apr 05 2018 01: +0,1.728,18
36,Apr 06 2018 01: +0,1.831,20
37,Apr 07 2018 01: +0,2.083,24
38,Apr 08 2018 01: +0,2.086,30
39,Apr 09 2018 01: +0,2.061,18
40,Apr 10 2018 01: +0,2.085,20
41,Apr 11 2018 01: +0,2.163,15
42,Apr 12 2018 01: +0,2.221,19
43,Apr 13 2018 01: +0,2.32,12
44,Apr 14 2018 01: +0,2.302,12
45,Apr 15 2018 01: +0,2.171,15
46,Apr 16 2018 01: +0,2.346,12
47,Apr 17 2018 01: +0,2.364,10
48,Apr 18 2018 01: +0,2.211,13
49,Apr 19 2018 01: +0,2.283,23
50,Apr 20 2018 01: +0,2.43,20
51,Apr 21 2018 01: +0,2.302,8
52,Apr 22 2018 01: +0,2.416,18
53,Apr 23 2018 01: +0,2.425,16
54,Apr 24 2018 01: +0,2.522,14
55,Apr 25 2018 01: +0,2.378,11
56,Apr 26 2018 01: +0,2.64,22
57,Apr 27 2018 01: +0,2.361,16
58,Apr 28 2018 01: +0,2.395,8
59,Apr 29 2018 01: +0,2.306,16
60,Apr 30 2018 01: +0,2.322,13
61,May 01 2018 01: +0,2.296,7
62,May 02 2018 01: +0,2.351,13
63,May 03 2018 01: +0,2.502,11
64,May 04 2018 01: +0,2.274,13
65,May 05 2018 01: +0,2.307,12
66,May 06 2018 01: +0,2.293,12
67,May 07 2018 01: +0,2.329,17
68,May 08 2018 01: +0,2.312,13
69,May 09 2018 01: +0,2.213,12
70,May 10 2018 01: +0,2.173,13
71,May 11 2018 01: +0,2.096,10
72,May 12 2018 01: +0,2.228,11
73,May 13 2018 01: +0,2.391,14
74,May 14 2018 01: +0,2.387,14
75,May 15 2018 01: +0,2.448,16
76,May 16 2018 01: +0,2.222,5
77,May 17 2018 01: +0,2.253,7
78,May 18 2018 01: +0,2.225,11
79,May 19 2018 01: +0,2.133,15
80,May 20 2018 01: +0,2.38,9
81,May 21 2018 01: +0,2.251,13
82,May 22 2018 01: +0,2.274,17
83,May 23 2018 01: +0,2.538,7
84,May 24 2018 01: +0,1.793,2
85,May 25 2018 01: +0,2.013,11
86,May 26 2018 01: +0,2.013,9
87,May 27 2018 01: +0,2.153,12
88,May 28 2018 01: +0,2.418,15
89,May 29 2018 01: +0,2.296,8
