,time,price,volume
0,Aug 16 2018 01: +0,3.444,1
1,Aug 19 2018 01: +0,2.166,1
2,Aug 20 2018 01: +0,2.013,1
3,Aug 21 2018 01: +0,2.144,2
4,Aug 22 2018 01: +0,2.025,1
5,Aug 23 2018 01: +0,1.71,4
6,Aug 24 2018 01: +0,1.451,4
7,Aug 25 2018 01: +0,1.756,4
8,Aug 26 2018 01: +0,1.253,1
9,Aug 27 2018 01: +0,1.977,1
10,Aug 28 2018 01: +0,1.34,1
11,Aug 29 2018 01: +0,1.675,5
12,Aug 30 2018 01: +0,1.896,1
13,Sep 02 2018 01: +0,1.44,2
14,Sep 03 2018 01: +0,1.555,2
15,Sep 05 2018 01: +0,1.723,1
16,Sep 06 2018 01: +0,1.847,1
17,Sep 07 2018 01: +0,1.836,1
18,Sep 08 2018 01: +0,1.792,1
19,Sep 12 2018 01: +0,1.492,2
20,Sep 13 2018 01: +0,1.166,2
21,Sep 15 2018 01: +0,1.69,1
22,Sep 16 2018 01: +0,1.312,2
23,Sep 18 2018 01: +0,1.357,2
24,Sep 20 2018 01: +0,1.348,3
25,Sep 21 2018 01: +0,1.486,1
26,Sep 22 2018 01: +0,1.38,3
27,Sep 23 2018 01: +0,1.496,1
28,Sep 24 2018 01: +0,1.562,5
29,Sep 25 2018 01: +0,1.596,1
30,Sep 26 2018 01: +0,1.603,1
31,Sep 27 2018 01: +0,1.311,2
32,Sep 28 2018 01: +0,1.375,2
33,Sep 30 2018 01: +0,1.254,2
34,Oct 01 2018 01: +0,1.245,2
35,Oct 02 2018 01: +0,1.11,1
36,Oct 03 2018 01: +0,1.5,1
37,Oct 04 2018 01: +0,1.43,1
38,Oct 05 2018 01: +0,1.318,2
39,Oct 06 2018 01: +0,1.34,1
40,Oct 07 2018 01: +0,1.415,3
41,Oct 09 2018 01: +0,1.432,3
42,Oct 10 2018 01: +0,1.325,2
43,Oct 11 2018 01: +0,1.54,1
44,Oct 12 2018 01: +0,1.546,2
45,Oct 13 2018 01: +0,1.523,3
46,Oct 14 2018 01: +0,1.318,1
47,Oct 16 2018 01: +0,1.264,13
48,Oct 17 2018 01: +0,1.504,2
49,Oct 18 2018 01: +0,1.403,1
50,Oct 19 2018 01: +0,1.551,1
51,Oct 20 2018 01: +0,1.357,3
52,Oct 21 2018 01: +0,1.47,1
53,Oct 22 2018 01: +0,1.512,5
54,Oct 23 2018 01: +0,1.537,1
55,Oct 25 2018 01: +0,1.16,1
56,Oct 26 2018 01: +0,1.348,4
57,Oct 27 2018 01: +0,1.356,5
58,Oct 28 2018 01: +0,1.254,4
59,Oct 29 2018 01: +0,1.371,3
60,Oct 30 2018 01: +0,1.39,1
61,Oct 31 2018 01: +0,1.35,5
62,Nov 01 2018 01: +0,1.365,5
63,Nov 02 2018 01: +0,1.395,8
64,Nov 03 2018 01: +0,1.453,4
65,Nov 04 2018 01: +0,1.58,3
66,Nov 05 2018 01: +0,1.527,2
67,Nov 07 2018 01: +0,1.606,3
68,Nov 08 2018 01: +0,1.713,1
69,Nov 09 2018 01: +0,1.209,2
70,Nov 10 2018 01: +0,1.788,1
71,Nov 11 2018 01: +0,1.743,1
72,Nov 12 2018 01: +0,1.721,1
73,Nov 13 2018 01: +0,1.708,1
74,Nov 14 2018 01: +0,1.616,4
75,Nov 15 2018 01: +0,1.669,2
76,Nov 16 2018 01: +0,1.602,5
77,Nov 17 2018 01: +0,1.743,1
78,Nov 18 2018 01: +0,1.15,1
79,Nov 19 2018 01: +0,1.76,3
80,Nov 21 2018 01: +0,1.75,1
81,Nov 22 2018 01: +0,1.492,4
82,Nov 25 2018 01: +0,1.52,4
83,Nov 26 2018 01: +0,1.647,2
84,Nov 27 2018 01: +0,1.564,3
85,Nov 29 2018 01: +0,1.61,1
86,Dec 01 2018 01: +0,1.427,2
87,Dec 02 2018 01: +0,1.203,1
88,Dec 03 2018 01: +0,1.541,5
89,Dec 04 2018 01: +0,1.593,1
90,Dec 05 2018 01: +0,1.405,1
91,Dec 06 2018 01: +0,1.622,1
92,Dec 07 2018 01: +0,1.626,4
93,Dec 08 2018 01: +0,1.586,4
94,Dec 09 2018 01: +0,1.528,5
95,Dec 11 2018 01: +0,1.557,3
96,Dec 13 2018 01: +0,1.509,7
97,Dec 14 2018 01: +0,1.652,3
98,Dec 16 2018 01: +0,1.194,1
99,Dec 17 2018 01: +0,1.701,1
