,time,price,volume
0,Jan 11 2019 01: +0,2.233,27
1,Jan 12 2019 01: +0,2.245,19
2,Jan 13 2019 01: +0,2.182,35
3,Jan 14 2019 01: +0,2.159,22
4,Jan 15 2019 01: +0,2.275,23
5,Jan 16 2019 01: +0,2.123,20
6,Jan 17 2019 01: +0,2.029,25
7,Jan 18 2019 01: +0,1.987,25
8,Jan 19 2019 01: +0,2.094,21
9,Jan 20 2019 01: +0,2.042,20
10,Jan 21 2019 01: +0,1.994,17
11,Jan 22 2019 01: +0,2.048,26
12,Jan 23 2019 01: +0,1.882,25
13,Jan 24 2019 01: +0,1.74,25
14,Jan 25 2019 01: +0,1.673,34
15,Jan 26 2019 01: +0,1.809,36
16,Jan 27 2019 01: +0,1.84,34
17,Jan 28 2019 01: +0,2.107,11
18,Jan 29 2019 01: +0,1.808,13
19,Jan 30 2019 01: +0,1.84,12
20,Jan 31 2019 01: +0,1.765,18
21,Feb 01 2019 01: +0,1.668,29
22,Feb 02 2019 01: +0,1.601,23
23,Feb 03 2019 01: +0,1.713,24
24,Feb 04 2019 01: +0,1.666,16
25,Feb 05 2019 01: +0,1.582,10
26,Feb 06 2019 01: +0,1.66,25
27,Feb 07 2019 01: +0,1.684,30
28,Feb 08 2019 01: +0,1.694,21
29,Feb 09 2019 01: +0,1.678,21
30,Feb 10 2019 01: +0,1.556,24
31,Feb 11 2019 01: +0,1.708,19
32,Feb 12 2019 01: +0,1.694,16
33,Feb 13 2019 01: +0,1.735,22
34,Feb 14 2019 01: +0,1.619,18
35,Feb 15 2019 01: +0,1.707,26
36,Feb 16 2019 01: +0,1.788,20
37,Feb 17 2019 01: +0,1.643,22
38,Feb 18 2019 01: +0,1.739,23
39,Feb 19 2019 01: +0,1.843,15
40,Feb 20 2019 01: +0,1.784,12
41,Feb 21 2019 01: +0,1.842,17
42,Feb 22 2019 01: +0,1.816,13
43,Feb 23 2019 01: +0,1.641,27
44,Feb 24 2019 01: +0,1.857,17
45,Feb 25 2019 01: +0,1.758,24
46,Feb 26 2019 01: +0,1.778,11
47,Feb 27 2019 01: +0,1.743,11
48,Feb 28 2019 01: +0,1.788,13
49,Mar 01 2019 01: +0,1.693,12
50,Mar 02 2019 01: +0,1.64,20
51,Mar 03 2019 01: +0,1.674,19
52,Mar 04 2019 01: +0,1.733,15
53,Mar 05 2019 01: +0,1.653,17
54,Mar 06 2019 01: +0,1.695,21
55,Mar 07 2019 01: +0,1.719,15
56,Mar 08 2019 01: +0,1.736,18
57,Mar 09 2019 01: +0,1.702,26
58,Mar 10 2019 01: +0,1.734,19
59,Mar 11 2019 01: +0,1.919,14
60,Mar 12 2019 01: +0,1.714,14
61,Mar 13 2019 01: +0,2.004,12
62,Mar 14 2019 01: +0,1.824,6
63,Mar 15 2019 01: +0,1.797,14
64,Mar 16 2019 01: +0,1.857,15
65,Mar 17 2019 01: +0,1.642,14
66,Mar 18 2019 01: +0,1.709,8
67,Mar 19 2019 01: +0,1.762,16
68,Mar 20 2019 01: +0,1.652,10
69,Mar 21 2019 01: +0,1.774,14
70,Mar 22 2019 01: +0,1.756,12
71,Mar 23 2019 01: +0,1.496,19
72,Mar 24 2019 01: +0,1.678,12
73,Mar 25 2019 01: +0,1.56,9
74,Mar 26 2019 01: +0,1.675,9
75,Mar 27 2019 01: +0,1.598,16
76,Mar 28 2019 01: +0,1.581,16
77,Mar 29 2019 01: +0,1.544,17
78,Mar 30 2019 01: +0,1.571,9
79,Mar 31 2019 01: +0,1.524,12
80,Apr 01 2019 01: +0,1.629,11
81,Apr 02 2019 01: +0,1.507,11
82,Apr 03 2019 01: +0,1.517,12
83,Apr 04 2019 01: +0,1.524,11
84,Apr 05 2019 01: +0,1.492,20
85,Apr 06 2019 01: +0,1.581,26
86,Apr 07 2019 01: +0,1.453,16
87,Apr 08 2019 01: +0,1.578,14
88,Apr 09 2019 01: +0,1.566,9
89,Apr 10 2019 01: +0,1.536,10
90,Apr 11 2019 01: +0,1.558,9
91,Apr 12 2019 01: +0,1.489,15
92,Apr 13 2019 01: +0,1.484,26
93,Apr 14 2019 01: +0,1.477,19
94,Apr 15 2019 01: +0,1.513,18
95,Apr 16 2019 01: +0,1.5,13
96,Apr 17 2019 01: +0,1.563,9
97,Apr 18 2019 01: +0,1.49,13
98,Apr 19 2019 01: +0,1.585,15
99,Apr 20 2019 01: +0,1.581,15
100,Apr 21 2019 01: +0,1.597,13
101,Apr 22 2019 01: +0,1.579,16
102,Apr 23 2019 01: +0,1.452,5
103,Apr 24 2019 01: +0,1.502,13
104,Apr 25 2019 01: +0,1.553,9
105,Apr 26 2019 01: +0,1.5,9
106,Apr 27 2019 01: +0,1.52,10
107,Apr 28 2019 01: +0,1.506,14
108,Apr 29 2019 01: +0,1.526,17
109,Apr 30 2019 01: +0,1.495,5
110,May 01 2019 01: +0,1.482,7
111,May 02 2019 01: +0,1.465,9
112,May 03 2019 01: +0,1.518,17
113,May 04 2019 01: +0,1.502,7
114,May 05 2019 01: +0,1.543,20
115,May 06 2019 01: +0,1.487,14
116,May 07 2019 01: +0,1.508,9
117,May 08 2019 01: +0,1.518,14
118,May 09 2019 01: +0,1.468,15
119,May 10 2019 01: +0,1.502,12
120,May 11 2019 01: +0,1.517,10
121,May 12 2019 01: +0,1.571,7
122,May 13 2019 01: +0,1.422,8
123,May 14 2019 01: +0,1.497,7
124,May 15 2019 01: +0,1.461,12
