,time,price,volume
0,Mar 22 2018 01: +0,1.267,1
1,Mar 23 2018 01: +0,1.931,5
2,Mar 24 2018 01: +0,1.778,7
3,Mar 25 2018 01: +0,1.764,11
4,Mar 26 2018 01: +0,1.712,7
5,Mar 27 2018 01: +0,1.808,5
6,Mar 28 2018 01: +0,1.994,8
7,Mar 29 2018 01: +0,1.555,7
8,Mar 30 2018 01: +0,1.68,12
9,Mar 31 2018 01: +0,1.837,4
10,Apr 01 2018 01: +0,2.073,12
11,Apr 02 2018 01: +0,2.269,2
12,Apr 03 2018 01: +0,2.204,4
13,Apr 04 2018 01: +0,2.229,4
14,Apr 05 2018 01: +0,2.232,8
15,Apr 06 2018 01: +0,2.153,1
16,Apr 07 2018 01: +0,2.273,7
17,Apr 08 2018 01: +0,2.139,5
18,Apr 09 2018 01: +0,2.398,8
19,Apr 10 2018 01: +0,2.881,7
20,Apr 11 2018 01: +0,2.653,5
21,Apr 12 2018 01: +0,2.634,7
22,Apr 13 2018 01: +0,2.791,6
23,Apr 14 2018 01: +0,2.899,6
24,Apr 15 2018 01: +0,2.954,7
25,Apr 16 2018 01: +0,2.541,7
26,Apr 17 2018 01: +0,2.816,4
27,Apr 18 2018 01: +0,2.464,4
28,Apr 19 2018 01: +0,2.685,4
29,Apr 20 2018 01: +0,2.73,6
30,Apr 21 2018 01: +0,2.879,9
31,Apr 22 2018 01: +0,3.022,9
32,Apr 23 2018 01: +0,3.055,3
33,Apr 24 2018 01: +0,3.105,7
34,Apr 25 2018 01: +0,3.25,2
35,Apr 26 2018 01: +0,2.958,1
36,Apr 27 2018 01: +0,2.498,3
37,Apr 28 2018 01: +0,2.392,5
38,Apr 29 2018 01: +0,2.755,5
39,Apr 30 2018 01: +0,2.891,6
40,May 01 2018 01: +0,2.564,1
41,May 02 2018 01: +0,2.945,3
42,May 03 2018 01: +0,2.73,1
43,May 04 2018 01: +0,2.558,4
44,May 05 2018 01: +0,2.771,10
45,May 06 2018 01: +0,2.796,9
46,May 07 2018 01: +0,2.678,5
47,May 08 2018 01: +0,2.915,7
48,May 09 2018 01: +0,2.892,2
49,May 10 2018 01: +0,2.652,5
50,May 11 2018 01: +0,2.962,2
51,May 12 2018 01: +0,2.728,4
52,May 13 2018 01: +0,2.628,4
53,May 14 2018 01: +0,3.241,3
54,May 15 2018 01: +0,2.189,1
55,May 16 2018 01: +0,3.583,3
56,May 17 2018 01: +0,3.345,2
57,May 18 2018 01: +0,2.965,3
58,May 19 2018 01: +0,2.988,6
59,May 20 2018 01: +0,3.42,1
60,May 21 2018 01: +0,3.577,2
61,May 22 2018 01: +0,3.462,3
62,May 23 2018 01: +0,3.621,4
63,May 24 2018 01: +0,3.492,1
64,May 25 2018 01: +0,3.443,1
65,May 26 2018 01: +0,2.329,1
66,May 27 2018 01: +0,2.801,3
67,May 28 2018 01: +0,2.864,3
68,May 29 2018 01: +0,2.031,2
69,May 30 2018 01: +0,2.815,4
70,May 31 2018 01: +0,3.036,1
71,Jun 01 2018 01: +0,2.62,2
72,Jun 02 2018 01: +0,2.858,1
73,Jun 03 2018 01: +0,2.769,1
74,Jun 04 2018 01: +0,2.53,4
75,Jun 05 2018 01: +0,2.394,4
76,Jun 06 2018 01: +0,2.624,3
77,Jun 07 2018 01: +0,2.087,3
78,Jun 08 2018 01: +0,2.651,1
79,Jun 09 2018 01: +0,2.653,3
80,Jun 10 2018 01: +0,3.008,4
81,Jun 11 2018 01: +0,2.37,5
82,Jun 12 2018 01: +0,2.427,3
83,Jun 13 2018 01: +0,2.595,4
84,Jun 15 2018 01: +0,3.198,4
85,Jun 16 2018 01: +0,2.736,3
86,Jun 17 2018 01: +0,3.173,1
87,Jun 18 2018 01: +0,2.347,5
88,Jun 19 2018 01: +0,2.627,2
89,Jun 20 2018 01: +0,2.664,4
90,Jun 21 2018 01: +0,2.731,4
91,Jun 22 2018 01: +0,2.983,3
92,Jun 23 2018 01: +0,2.376,2
93,Jun 24 2018 01: +0,2.433,8
94,Jun 25 2018 01: +0,2.562,3
95,Jun 26 2018 01: +0,1.946,5
96,Jun 27 2018 01: +0,2.381,3
97,Jun 28 2018 01: +0,2.716,7
98,Jun 29 2018 01: +0,2.551,3
99,Jun 30 2018 01: +0,2.81,2
