,time,price,volume
0,May 31 2018 01: +0,3.47,1
1,Jun 01 2018 01: +0,3.058,1
2,Jun 03 2018 01: +0,2.391,7
3,Jun 04 2018 01: +0,2.567,1
4,Jun 05 2018 01: +0,2.469,2
5,Jun 06 2018 01: +0,2.323,4
6,Jun 07 2018 01: +0,2.999,2
7,Jun 08 2018 01: +0,3.189,3
8,Jun 09 2018 01: +0,3.113,3
9,Jun 10 2018 01: +0,2.97,2
10,Jun 11 2018 01: +0,2.818,6
11,Jun 12 2018 01: +0,3.15,1
12,Jun 13 2018 01: +0,3.123,3
13,Jun 14 2018 01: +0,3.18,1
14,Jun 15 2018 01: +0,3.162,1
15,Jun 16 2018 01: +0,2.86,7
16,Jun 17 2018 01: +0,3.249,2
17,Jun 18 2018 01: +0,3.463,3
18,Jun 19 2018 01: +0,3.72,5
19,Jun 20 2018 01: +0,5.194,4
20,Jun 21 2018 01: +0,4.02,1
21,Jun 22 2018 01: +0,3.694,7
22,Jun 23 2018 01: +0,3.968,1
23,Jun 24 2018 01: +0,2.334,3
24,Jun 25 2018 01: +0,2.754,4
25,Jun 26 2018 01: +0,3.759,5
26,Jun 27 2018 01: +0,3.494,2
27,Jun 28 2018 01: +0,4.628,1
28,Jun 29 2018 01: +0,4.506,2
29,Jun 30 2018 01: +0,4.23,6
30,Jul 01 2018 01: +0,4.99,2
31,Jul 02 2018 01: +0,3.545,2
32,Jul 03 2018 01: +0,5.2,2
33,Jul 04 2018 01: +0,2.85,2
34,Jul 05 2018 01: +0,4.851,3
35,Jul 06 2018 01: +0,4.891,2
36,Jul 07 2018 01: +0,5.094,2
37,Jul 08 2018 01: +0,5.615,2
38,Jul 10 2018 01: +0,5.807,2
39,Jul 11 2018 01: +0,5.661,3
40,Jul 12 2018 01: +0,5.162,6
41,Jul 13 2018 01: +0,5.235,4
42,Jul 14 2018 01: +0,5.48,6
43,Jul 16 2018 01: +0,6.44,1
44,Jul 17 2018 01: +0,6.44,1
45,Jul 18 2018 01: +0,5.99,1
46,Jul 19 2018 01: +0,5.93,1
47,Jul 20 2018 01: +0,4.074,3
48,Jul 21 2018 01: +0,3.93,1
49,Jul 22 2018 01: +0,4.395,2
50,Jul 23 2018 01: +0,4.49,4
51,Jul 24 2018 01: +0,5.326,2
52,Jul 28 2018 01: +0,4.68,1
53,Jul 29 2018 01: +0,4.726,1
54,Aug 02 2018 01: +0,3.899,3
55,Aug 03 2018 01: +0,3.951,3
56,Aug 04 2018 01: +0,3.711,2
57,Aug 07 2018 01: +0,3.139,2
58,Aug 08 2018 01: +0,3.416,2
59,Aug 09 2018 01: +0,3.344,3
60,Aug 10 2018 01: +0,3.204,4
61,Aug 11 2018 01: +0,2.81,4
62,Aug 12 2018 01: +0,3.3,1
63,Aug 13 2018 01: +0,2.65,1
64,Aug 14 2018 01: +0,3.27,1
65,Aug 15 2018 01: +0,3.277,3
66,Aug 16 2018 01: +0,3.3,2
67,Aug 17 2018 01: +0,3.175,3
68,Aug 18 2018 01: +0,2.662,1
69,Aug 19 2018 01: +0,3.508,1
70,Aug 20 2018 01: +0,3.69,1
71,Aug 21 2018 01: +0,3.714,1
72,Aug 25 2018 01: +0,2.775,2
73,Aug 26 2018 01: +0,3.31,1
74,Aug 31 2018 01: +0,2.333,1
75,Sep 01 2018 01: +0,2.463,1
76,Sep 04 2018 01: +0,2.492,2
77,Sep 05 2018 01: +0,2.289,1
78,Sep 07 2018 01: +0,3.166,1
79,Sep 09 2018 01: +0,2.61,1
80,Sep 10 2018 01: +0,3.067,1
81,Sep 11 2018 01: +0,2.674,9
82,Sep 12 2018 01: +0,2.446,3
83,Sep 14 2018 01: +0,2.824,2
84,Sep 15 2018 01: +0,2.94,2
85,Sep 16 2018 01: +0,2.996,1
86,Sep 19 2018 01: +0,3.15,1
87,Sep 20 2018 01: +0,2.727,3
88,Sep 21 2018 01: +0,3.004,2
89,Sep 22 2018 01: +0,2.99,1
90,Sep 24 2018 01: +0,2.929,2
91,Sep 25 2018 01: +0,2.86,1
92,Sep 26 2018 01: +0,3.01,1
93,Sep 28 2018 01: +0,2.87,1
94,Sep 29 2018 01: +0,2.107,3
95,Sep 30 2018 01: +0,2.21,3
96,Oct 02 2018 01: +0,2.282,1
97,Oct 03 2018 01: +0,2.1,1
98,Oct 04 2018 01: +0,2.31,2
99,Oct 05 2018 01: +0,2.319,1
100,Oct 07 2018 01: +0,2.93,1
101,Oct 08 2018 01: +0,2.9,1
102,Oct 09 2018 01: +0,2.91,1
103,Oct 10 2018 01: +0,2.918,1
