,time,price,volume
0,Sep 17 2020 01: +0,2.88,1
1,Sep 18 2020 01: +0,1.609,12
2,Sep 19 2020 01: +0,1.715,8
3,Sep 20 2020 01: +0,1.625,14
4,Sep 21 2020 01: +0,1.725,10
5,Sep 22 2020 01: +0,1.503,12
6,Sep 23 2020 01: +0,1.498,3
7,Sep 24 2020 01: +0,1.264,8
8,Sep 25 2020 01: +0,1.179,14
9,Sep 26 2020 01: +0,1.058,12
10,Sep 27 2020 01: +0,1.121,10
11,Sep 28 2020 01: +0,1.003,12
12,Sep 29 2020 01: +0,1.039,15
13,Sep 30 2020 01: +0,1.123,13
14,Oct 01 2020 01: +0,1.289,9
15,Oct 02 2020 01: +0,1.214,12
16,Oct 03 2020 01: +0,1.303,11
17,Oct 04 2020 01: +0,1.161,10
18,Oct 05 2020 01: +0,1.264,9
19,Oct 06 2020 01: +0,1.296,5
20,Oct 07 2020 01: +0,1.146,9
21,Oct 08 2020 01: +0,1.234,9
22,Oct 09 2020 01: +0,1.317,15
23,Oct 10 2020 01: +0,1.351,5
24,Oct 11 2020 01: +0,1.428,11
25,Oct 12 2020 01: +0,1.491,7
26,Oct 13 2020 01: +0,1.387,9
27,Oct 14 2020 01: +0,1.275,6
28,Oct 15 2020 01: +0,1.358,11
29,Oct 16 2020 01: +0,0.992,8
30,Oct 17 2020 01: +0,1.121,10
31,Oct 18 2020 01: +0,1.2,13
32,Oct 19 2020 01: +0,2.11,20
33,Oct 20 2020 01: +0,1.353,10
34,Oct 21 2020 01: +0,1.708,2
35,Oct 22 2020 01: +0,1.41,7
36,Oct 23 2020 01: +0,1.459,9
37,Oct 24 2020 01: +0,1.214,7
38,Oct 25 2020 01: +0,1.492,6
39,Oct 26 2020 01: +0,1.278,14
40,Oct 27 2020 01: +0,1.356,4
41,Oct 29 2020 01: +0,1.268,10
42,Oct 30 2020 01: +0,1.123,7
43,Oct 31 2020 01: +0,1.241,6
44,Nov 01 2020 01: +0,1.115,7
45,Nov 02 2020 01: +0,1.125,12
46,Nov 03 2020 01: +0,1.346,7
47,Nov 04 2020 01: +0,1.836,8
48,Nov 05 2020 01: +0,1.717,7
49,Nov 06 2020 01: +0,1.561,11
50,Nov 07 2020 01: +0,1.574,7
51,Nov 08 2020 01: +0,1.693,12
52,Nov 09 2020 01: +0,1.416,6
53,Nov 10 2020 01: +0,1.433,7
54,Nov 11 2020 01: +0,1.309,9
55,Nov 12 2020 01: +0,1.359,11
56,Nov 13 2020 01: +0,1.372,13
57,Nov 14 2020 01: +0,1.245,13
58,Nov 15 2020 01: +0,1.356,11
59,Nov 16 2020 01: +0,1.287,7
60,Nov 17 2020 01: +0,1.216,15
61,Nov 18 2020 01: +0,1.248,7
62,Nov 19 2020 01: +0,1.183,12
63,Nov 20 2020 01: +0,1.213,13
64,Nov 21 2020 01: +0,1.287,18
65,Nov 22 2020 01: +0,1.286,16
66,Nov 23 2020 01: +0,1.238,12
67,Nov 24 2020 01: +0,1.273,17
68,Nov 25 2020 01: +0,1.204,12
69,Nov 26 2020 01: +0,1.163,15
70,Nov 27 2020 01: +0,1.163,9
71,Nov 28 2020 01: +0,1.162,17
72,Nov 29 2020 01: +0,1.221,21
73,Nov 30 2020 01: +0,1.254,11
74,Dec 01 2020 01: +0,1.154,10
75,Dec 02 2020 01: +0,1.172,15
76,Dec 03 2020 01: +0,1.127,33
77,Dec 04 2020 01: +0,1.092,23
78,Dec 05 2020 01: +0,1.137,27
79,Dec 06 2020 01: +0,1.274,15
80,Dec 07 2020 01: +0,1.261,12
81,Dec 08 2020 01: +0,1.194,15
82,Dec 09 2020 01: +0,1.179,17
83,Dec 10 2020 01: +0,1.225,14
84,Dec 11 2020 01: +0,1.229,15
85,Dec 12 2020 01: +0,1.268,20
86,Dec 13 2020 01: +0,1.299,17
87,Dec 14 2020 01: +0,1.238,16
88,Dec 15 2020 01: +0,1.268,12
89,Dec 16 2020 01: +0,1.098,12
90,Dec 17 2020 01: +0,1.215,11
91,Dec 18 2020 01: +0,1.262,16
92,Dec 19 2020 01: +0,1.255,12
93,Dec 20 2020 01: +0,1.047,39
94,Dec 21 2020 01: +0,0.871,30
95,Dec 22 2020 01: +0,0.867,18
96,Dec 23 2020 01: +0,0.929,15
97,Dec 24 2020 01: +0,0.951,13
98,Dec 25 2020 01: +0,1.149,27
99,Dec 26 2020 01: +0,1.245,24
100,Dec 27 2020 01: +0,1.221,15
101,Dec 28 2020 01: +0,1.256,10
102,Dec 29 2020 01: +0,1.211,12
103,Dec 30 2020 01: +0,1.056,19
104,Dec 31 2020 01: +0,1.145,16
105,Jan 01 2021 01: +0,1.269,19
106,Jan 02 2021 01: +0,1.296,16
107,Jan 03 2021 01: +0,1.248,16
108,Jan 04 2021 01: +0,1.185,25
109,Jan 05 2021 01: +0,1.233,14
110,Jan 06 2021 01: +0,1.235,24
111,Jan 07 2021 01: +0,1.255,24
112,Jan 08 2021 01: +0,1.458,36
113,Jan 09 2021 01: +0,1.522,25
114,Jan 10 2021 01: +0,1.893,27
115,Jan 11 2021 01: +0,1.868,27
116,Jan 12 2021 01: +0,1.702,33
117,Jan 13 2021 01: +0,1.706,32
118,Jan 14 2021 01: +0,1.868,32
119,Jan 15 2021 01: +0,1.999,32
120,Jan 16 2021 01: +0,2.115,23
121,Jan 17 2021 01: +0,1.982,33
122,Jan 18 2021 01: +0,2.059,31
123,Jan 19 2021 01: +0,2.038,16
124,Jan 20 2021 01: +0,2.172,30
125,Jan 21 2021 01: +0,2.193,29
126,Jan 22 2021 01: +0,2.242,32
127,Jan 23 2021 01: +0,2.194,21
128,Jan 24 2021 01: +0,2.048,23
129,Jan 25 2021 01: +0,2.119,20
130,Jan 26 2021 01: +0,2.218,19
131,Jan 27 2021 01: +0,2.174,24
132,Jan 28 2021 01: +0,2.137,29
133,Jan 29 2021 01: +0,2.051,33
134,Jan 30 2021 01: +0,2.267,21
135,Jan 31 2021 01: +0,2.219,24
136,Feb 01 2021 01: +0,2.214,17
137,Feb 02 2021 01: +0,2.2,13
138,Feb 03 2021 01: +0,2.292,18
139,Feb 04 2021 01: +0,2.435,24
140,Feb 05 2021 01: +0,2.354,25
141,Feb 06 2021 01: +0,2.399,21
142,Feb 07 2021 01: +0,2.265,15
143,Feb 08 2021 01: +0,2.324,17
144,Feb 09 2021 01: +0,2.307,19
145,Feb 10 2021 01: +0,2.285,22
146,Feb 11 2021 01: +0,2.269,14
147,Feb 12 2021 01: +0,2.385,15
148,Feb 13 2021 01: +0,2.206,14
149,Feb 14 2021 01: +0,2.171,19
150,Feb 15 2021 01: +0,2.142,21
151,Feb 16 2021 01: +0,2.312,17
152,Feb 17 2021 01: +0,2.273,13
153,Feb 18 2021 01: +0,2.25,16
154,Feb 19 2021 01: +0,2.226,23
155,Feb 20 2021 01: +0,2.214,12
156,Feb 21 2021 01: +0,2.183,9
157,Feb 22 2021 01: +0,2.298,10
158,Feb 23 2021 01: +0,2.202,9
159,Feb 24 2021 01: +0,2.019,12
160,Feb 25 2021 01: +0,2.154,10
161,Feb 26 2021 01: +0,2.066,7
162,Feb 27 2021 01: +0,2.109,16
163,Feb 28 2021 01: +0,2.069,16
164,Mar 01 2021 01: +0,2.04,9
165,Mar 02 2021 01: +0,2.01,11
166,Mar 03 2021 01: +0,2.176,11
167,Mar 04 2021 01: +0,2.153,13
168,Mar 05 2021 01: +0,2.249,16
169,Mar 06 2021 01: +0,2.133,18
170,Mar 07 2021 01: +0,2.201,25
171,Mar 08 2021 01: +0,2.181,11
172,Mar 09 2021 01: +0,2.19,8
173,Mar 10 2021 01: +0,2.078,12
174,Mar 11 2021 01: +0,2.003,24
175,Mar 12 2021 01: +0,2.069,23
176,Mar 13 2021 01: +0,2.065,9
177,Mar 14 2021 01: +0,1.811,9
178,Mar 15 2021 01: +0,2.013,14
179,Mar 16 2021 01: +0,2.04,14
180,Mar 17 2021 01: +0,1.911,8
181,Mar 18 2021 01: +0,1.911,15
182,Mar 19 2021 01: +0,1.926,14
183,Mar 20 2021 01: +0,1.823,12
184,Mar 21 2021 01: +0,2.044,18
185,Mar 22 2021 01: +0,1.917,15
186,Mar 23 2021 01: +0,2.03,5
