,time,price,volume
0,Oct 19 2017 01: +0,2.324,4
1,Oct 20 2017 01: +0,2.303,11
2,Oct 21 2017 01: +0,2.358,9
3,Oct 22 2017 01: +0,2.591,4
4,Oct 23 2017 01: +0,2.855,3
5,Oct 24 2017 01: +0,2.285,4
6,Oct 25 2017 01: +0,2.165,2
7,Oct 26 2017 01: +0,2.128,6
8,Oct 27 2017 01: +0,2.07,10
9,Oct 28 2017 01: +0,2.223,13
10,Oct 29 2017 01: +0,2.028,5
11,Oct 30 2017 01: +0,2.085,7
12,Oct 31 2017 01: +0,2.619,7
13,Nov 01 2017 01: +0,2.723,7
14,Nov 02 2017 01: +0,2.76,3
15,Nov 03 2017 01: +0,2.557,8
16,Nov 04 2017 01: +0,2.616,11
17,Nov 05 2017 01: +0,2.544,12
18,Nov 06 2017 01: +0,2.726,3
19,Nov 07 2017 01: +0,2.995,4
20,Nov 08 2017 01: +0,2.539,2
21,Nov 09 2017 01: +0,2.687,8
22,Nov 10 2017 01: +0,2.441,5
23,Nov 11 2017 01: +0,2.515,2
24,Nov 12 2017 01: +0,2.739,7
25,Nov 13 2017 01: +0,2.679,2
26,Nov 14 2017 01: +0,2.855,3
27,Nov 15 2017 01: +0,2.727,2
28,Nov 16 2017 01: +0,3.13,1
29,Nov 17 2017 01: +0,2.777,5
30,Nov 18 2017 01: +0,2.196,1
31,Nov 19 2017 01: +0,2.733,7
32,Nov 20 2017 01: +0,2.867,3
33,Nov 21 2017 01: +0,2.87,1
34,Nov 22 2017 01: +0,2.662,4
35,Nov 23 2017 01: +0,2.243,4
36,Nov 24 2017 01: +0,2.01,4
37,Nov 25 2017 01: +0,2.544,3
38,Nov 26 2017 01: +0,2.346,9
39,Nov 27 2017 01: +0,3.034,3
40,Nov 29 2017 01: +0,2.91,1
41,Nov 30 2017 01: +0,2.727,9
42,Dec 01 2017 01: +0,2.867,6
43,Dec 02 2017 01: +0,2.452,5
44,Dec 03 2017 01: +0,2.877,5
45,Dec 04 2017 01: +0,2.5,6
46,Dec 05 2017 01: +0,2.938,5
47,Dec 06 2017 01: +0,2.989,2
48,Dec 07 2017 01: +0,3.157,3
49,Dec 08 2017 01: +0,2.998,7
50,Dec 09 2017 01: +0,3.377,6
51,Dec 10 2017 01: +0,3.538,4
52,Dec 11 2017 01: +0,3.768,7
53,Dec 12 2017 01: +0,3.508,1
54,Dec 13 2017 01: +0,3.977,2
55,Dec 14 2017 01: +0,3.94,2
56,Dec 15 2017 01: +0,3.639,2
57,Dec 16 2017 01: +0,3.611,4
58,Dec 17 2017 01: +0,3.557,3
59,Dec 18 2017 01: +0,3.766,3
60,Dec 19 2017 01: +0,5.15,1
61,Dec 20 2017 01: +0,3.259,1
62,Dec 21 2017 01: +0,2.954,7
63,Dec 22 2017 01: +0,3.498,6
64,Dec 23 2017 01: +0,3.638,3
65,Dec 24 2017 01: +0,3.474,6
66,Dec 25 2017 01: +0,3.265,5
67,Dec 26 2017 01: +0,4.252,5
68,Dec 27 2017 01: +0,4.231,5
69,Dec 28 2017 01: +0,4.183,8
70,Dec 29 2017 01: +0,4.708,5
71,Dec 30 2017 01: +0,4.069,4
72,Dec 31 2017 01: +0,2.659,2
73,Jan 01 2018 01: +0,3.496,9
74,Jan 02 2018 01: +0,3.08,3
75,Jan 03 2018 01: +0,2.879,3
76,Jan 04 2018 01: +0,3.186,4
77,Jan 05 2018 01: +0,3.296,4
78,Jan 06 2018 01: +0,3.522,4
79,Jan 07 2018 01: +0,3.66,2
80,Jan 08 2018 01: +0,3.206,4
81,Jan 09 2018 01: +0,3.69,2
82,Jan 10 2018 01: +0,4.04,3
83,Jan 11 2018 01: +0,3.76,2
84,Jan 12 2018 01: +0,3.185,7
85,Jan 13 2018 01: +0,3.446,8
86,Jan 14 2018 01: +0,4.004,2
87,Jan 15 2018 01: +0,3.93,2
88,Jan 16 2018 01: +0,3.987,5
89,Jan 17 2018 01: +0,3.939,1
90,Jan 18 2018 01: +0,3.847,6
91,Jan 19 2018 01: +0,4.8,2
92,Jan 20 2018 01: +0,4.733,3
93,Jan 21 2018 01: +0,4.219,1
94,Jan 22 2018 01: +0,2.568,1
95,Jan 23 2018 01: +0,3.258,2
96,Jan 24 2018 01: +0,2.784,2
97,Jan 25 2018 01: +0,3.582,2
98,Jan 26 2018 01: +0,2.694,3
99,Jan 27 2018 01: +0,2.998,3
100,Jan 28 2018 01: +0,3.263,5
101,Jan 29 2018 01: +0,3.37,2
102,Jan 30 2018 01: +0,3.935,1
