,time,price,volume
0,Jun 22 2018 01: +0,2.093,5
1,Jun 23 2018 01: +0,2.242,22
2,Jun 24 2018 01: +0,2.26,10
3,Jun 25 2018 01: +0,2.179,16
4,Jun 26 2018 01: +0,2.148,14
5,Jun 27 2018 01: +0,2.096,13
6,Jun 28 2018 01: +0,2.121,17
7,Jun 29 2018 01: +0,2.22,21
8,Jun 30 2018 01: +0,2.194,15
9,Jul 01 2018 01: +0,2.33,15
10,Jul 02 2018 01: +0,2.481,9
11,Jul 03 2018 01: +0,2.566,12
12,Jul 04 2018 01: +0,3.096,7
13,Jul 05 2018 01: +0,2.593,12
14,Jul 06 2018 01: +0,2.509,16
15,Jul 07 2018 01: +0,2.512,17
16,Jul 08 2018 01: +0,2.633,13
17,Jul 09 2018 01: +0,2.796,9
18,Jul 10 2018 01: +0,2.526,4
19,Jul 11 2018 01: +0,2.907,7
20,Jul 12 2018 01: +0,2.738,6
21,Jul 13 2018 01: +0,2.565,13
22,Jul 14 2018 01: +0,2.559,15
23,Jul 15 2018 01: +0,2.654,8
24,Jul 16 2018 01: +0,2.606,9
25,Jul 17 2018 01: +0,2.285,7
26,Jul 18 2018 01: +0,2.501,11
27,Jul 19 2018 01: +0,2.423,16
28,Jul 20 2018 01: +0,2.446,15
29,Jul 21 2018 01: +0,2.437,10
30,Jul 22 2018 01: +0,2.43,11
31,Jul 23 2018 01: +0,2.547,10
32,Jul 24 2018 01: +0,2.67,7
33,Jul 25 2018 01: +0,2.733,4
34,Jul 26 2018 01: +0,2.437,10
35,Jul 27 2018 01: +0,2.471,9
36,Jul 28 2018 01: +0,2.53,10
37,Jul 29 2018 01: +0,2.574,5
38,Jul 30 2018 01: +0,2.329,6
39,Jul 31 2018 01: +0,2.672,5
40,Aug 01 2018 01: +0,2.462,13
41,Aug 02 2018 01: +0,2.498,12
42,Aug 03 2018 01: +0,2.673,9
43,Aug 04 2018 01: +0,2.726,11
44,Aug 05 2018 01: +0,2.853,10
45,Aug 06 2018 01: +0,2.6,9
46,Aug 07 2018 01: +0,2.458,5
47,Aug 08 2018 01: +0,2.559,9
48,Aug 09 2018 01: +0,2.607,6
49,Aug 10 2018 01: +0,2.344,9
50,Aug 11 2018 01: +0,2.56,5
51,Aug 12 2018 01: +0,2.326,9
52,Aug 13 2018 01: +0,2.549,8
53,Aug 14 2018 01: +0,2.516,5
54,Aug 15 2018 01: +0,2.499,4
55,Aug 16 2018 01: +0,2.486,7
56,Aug 17 2018 01: +0,2.609,11
57,Aug 18 2018 01: +0,2.335,3
58,Aug 19 2018 01: +0,2.514,6
59,Aug 20 2018 01: +0,2.579,5
60,Aug 21 2018 01: +0,2.531,2
61,Aug 22 2018 01: +0,2.827,4
62,Aug 23 2018 01: +0,2.642,3
63,Aug 24 2018 01: +0,2.616,7
64,Aug 25 2018 01: +0,2.914,4
65,Aug 26 2018 01: +0,2.953,3
66,Aug 27 2018 01: +0,2.515,3
67,Aug 28 2018 01: +0,2.601,6
68,Aug 29 2018 01: +0,2.543,4
69,Aug 30 2018 01: +0,2.45,8
70,Aug 31 2018 01: +0,2.194,4
71,Sep 01 2018 01: +0,2.459,3
