,time,price,volume
0,Sep 05 2019 01: +0,2.714,8
1,Sep 06 2019 01: +0,2.237,27
2,Sep 07 2019 01: +0,2.038,21
3,Sep 08 2019 01: +0,1.811,18
4,Sep 09 2019 01: +0,1.838,11
5,Sep 10 2019 01: +0,1.617,22
6,Sep 11 2019 01: +0,1.565,15
7,Sep 12 2019 01: +0,1.603,24
8,Sep 13 2019 01: +0,1.536,20
9,Sep 14 2019 01: +0,1.46,23
10,Sep 15 2019 01: +0,1.497,8
11,Sep 16 2019 01: +0,1.483,20
12,Sep 17 2019 01: +0,1.445,17
13,Sep 18 2019 01: +0,1.467,18
14,Sep 19 2019 01: +0,1.593,7
15,Sep 20 2019 01: +0,1.367,18
16,Sep 21 2019 01: +0,1.445,21
17,Sep 22 2019 01: +0,1.422,11
18,Sep 23 2019 01: +0,1.337,14
19,Sep 24 2019 01: +0,1.295,9
20,Sep 25 2019 01: +0,1.373,18
21,Sep 26 2019 01: +0,1.389,12
22,Sep 27 2019 01: +0,1.313,12
23,Sep 28 2019 01: +0,1.348,21
24,Sep 29 2019 01: +0,1.347,24
25,Sep 30 2019 01: +0,1.454,15
26,Oct 01 2019 01: +0,1.414,9
27,Oct 02 2019 01: +0,1.297,16
28,Oct 03 2019 01: +0,1.261,14
29,Oct 04 2019 01: +0,1.241,16
30,Oct 05 2019 01: +0,1.195,10
31,Oct 06 2019 01: +0,1.318,24
32,Oct 07 2019 01: +0,1.371,21
33,Oct 08 2019 01: +0,1.262,16
34,Oct 09 2019 01: +0,1.312,16
35,Oct 10 2019 01: +0,1.38,27
36,Oct 11 2019 01: +0,1.363,17
37,Oct 12 2019 01: +0,1.373,18
38,Oct 13 2019 01: +0,1.202,28
39,Oct 14 2019 01: +0,1.376,13
40,Oct 15 2019 01: +0,1.589,68
41,Oct 16 2019 01: +0,2.007,19
42,Oct 17 2019 01: +0,1.554,23
43,Oct 18 2019 01: +0,1.462,36
44,Oct 19 2019 01: +0,1.548,39
45,Oct 20 2019 01: +0,1.589,14
46,Oct 21 2019 01: +0,1.539,8
47,Oct 22 2019 01: +0,1.517,15
48,Oct 23 2019 01: +0,1.496,26
49,Oct 24 2019 01: +0,1.554,17
50,Oct 25 2019 01: +0,1.424,11
51,Oct 26 2019 01: +0,1.558,16
52,Oct 27 2019 01: +0,1.535,18
53,Oct 28 2019 01: +0,1.519,26
54,Oct 29 2019 01: +0,1.434,11
55,Oct 30 2019 01: +0,1.441,7
56,Oct 31 2019 01: +0,1.308,12
57,Nov 01 2019 01: +0,1.314,9
58,Nov 02 2019 01: +0,1.381,15
59,Nov 03 2019 01: +0,1.361,18
60,Nov 04 2019 01: +0,1.434,12
61,Nov 05 2019 01: +0,1.454,8
62,Nov 06 2019 01: +0,1.444,13
63,Nov 07 2019 01: +0,1.481,21
64,Nov 08 2019 01: +0,1.371,16
65,Nov 09 2019 01: +0,1.384,17
66,Nov 10 2019 01: +0,1.37,9
67,Nov 11 2019 01: +0,1.338,13
68,Nov 12 2019 01: +0,1.27,13
69,Nov 13 2019 01: +0,1.285,13
70,Nov 14 2019 01: +0,1.321,17
71,Nov 15 2019 01: +0,1.269,18
72,Nov 16 2019 01: +0,1.29,11
73,Nov 17 2019 01: +0,1.359,14
74,Nov 18 2019 01: +0,1.424,10
75,Nov 19 2019 01: +0,1.336,10
76,Nov 20 2019 01: +0,1.297,13
77,Nov 21 2019 01: +0,1.283,10
78,Nov 22 2019 01: +0,1.201,19
79,Nov 23 2019 01: +0,1.211,24
80,Nov 24 2019 01: +0,1.168,33
81,Nov 25 2019 01: +0,1.169,10
82,Nov 26 2019 01: +0,1.184,24
83,Nov 27 2019 01: +0,1.27,6
84,Nov 28 2019 01: +0,1.197,24
85,Nov 29 2019 01: +0,1.264,20
86,Nov 30 2019 01: +0,1.276,13
87,Dec 01 2019 01: +0,1.333,7
88,Dec 02 2019 01: +0,1.361,9
89,Dec 03 2019 01: +0,1.393,11
90,Dec 04 2019 01: +0,1.282,9
91,Dec 05 2019 01: +0,1.304,18
92,Dec 06 2019 01: +0,1.331,8
93,Dec 07 2019 01: +0,1.331,6
94,Dec 08 2019 01: +0,1.254,11
95,Dec 09 2019 01: +0,1.291,19
96,Dec 10 2019 01: +0,1.345,17
97,Dec 11 2019 01: +0,1.411,12
98,Dec 12 2019 01: +0,1.426,14
99,Dec 13 2019 01: +0,1.314,18
100,Dec 14 2019 01: +0,1.268,13
101,Dec 15 2019 01: +0,1.281,13
102,Dec 16 2019 01: +0,1.219,6
103,Dec 17 2019 01: +0,1.276,16
104,Dec 18 2019 01: +0,1.41,15
105,Dec 19 2019 01: +0,1.394,14
106,Dec 20 2019 01: +0,1.231,12
107,Dec 21 2019 01: +0,1.175,16
108,Dec 22 2019 01: +0,1.268,20
109,Dec 23 2019 01: +0,1.336,17
110,Dec 24 2019 01: +0,1.294,20
111,Dec 25 2019 01: +0,1.398,19
112,Dec 26 2019 01: +0,1.46,16
113,Dec 27 2019 01: +0,1.599,4
114,Dec 28 2019 01: +0,1.549,21
115,Dec 29 2019 01: +0,1.571,12
116,Dec 30 2019 01: +0,1.587,9
117,Dec 31 2019 01: +0,1.621,21
118,Jan 01 2020 01: +0,1.707,8
119,Jan 02 2020 01: +0,1.749,17
120,Jan 03 2020 01: +0,1.609,13
121,Jan 04 2020 01: +0,1.665,7
122,Jan 05 2020 01: +0,1.816,10
123,Jan 06 2020 01: +0,1.792,8
124,Jan 07 2020 01: +0,1.815,8
125,Jan 08 2020 01: +0,1.769,7
126,Jan 09 2020 01: +0,1.826,4
127,Jan 10 2020 01: +0,1.656,7
128,Jan 11 2020 01: +0,1.658,12
129,Jan 12 2020 01: +0,1.7,9
130,Jan 13 2020 01: +0,1.492,8
131,Jan 14 2020 01: +0,1.75,10
132,Jan 15 2020 01: +0,1.762,7
133,Jan 16 2020 01: +0,1.87,5
134,Jan 17 2020 01: +0,1.74,6
135,Jan 18 2020 01: +0,1.688,11
136,Jan 19 2020 01: +0,1.641,15
137,Jan 20 2020 01: +0,1.692,7
138,Jan 21 2020 01: +0,1.673,11
139,Jan 22 2020 01: +0,1.683,10
140,Jan 23 2020 01: +0,1.674,12
141,Jan 24 2020 01: +0,1.677,19
142,Jan 25 2020 01: +0,1.849,9
143,Jan 26 2020 01: +0,1.6,14
144,Jan 27 2020 01: +0,1.65,10
145,Jan 28 2020 01: +0,1.594,13
146,Jan 29 2020 01: +0,1.718,7
147,Jan 30 2020 01: +0,1.665,8
148,Jan 31 2020 01: +0,1.654,8
149,Feb 01 2020 01: +0,1.625,14
150,Feb 02 2020 01: +0,1.603,15
151,Feb 03 2020 01: +0,1.681,23
152,Feb 04 2020 01: +0,1.568,9
153,Feb 05 2020 01: +0,1.451,32
154,Feb 06 2020 01: +0,1.621,11
155,Feb 07 2020 01: +0,1.714,8
156,Feb 08 2020 01: +0,1.571,9
157,Feb 09 2020 01: +0,1.478,9
158,Feb 10 2020 01: +0,1.674,12
159,Feb 11 2020 01: +0,1.558,9
160,Feb 12 2020 01: +0,1.604,14
161,Feb 13 2020 01: +0,1.604,11
162,Feb 14 2020 01: +0,1.503,12
163,Feb 15 2020 01: +0,1.632,26
164,Feb 16 2020 01: +0,1.616,9
165,Feb 17 2020 01: +0,1.551,5
166,Feb 18 2020 01: +0,1.543,12
167,Feb 19 2020 01: +0,1.503,16
168,Feb 20 2020 01: +0,1.605,10
169,Feb 21 2020 01: +0,1.536,7
170,Feb 22 2020 01: +0,1.609,13
171,Feb 23 2020 01: +0,1.555,14
172,Feb 24 2020 01: +0,1.411,9
173,Feb 25 2020 01: +0,1.474,11
174,Feb 26 2020 01: +0,1.539,11
175,Feb 27 2020 01: +0,1.661,10
176,Feb 28 2020 01: +0,1.525,11
177,Feb 29 2020 01: +0,1.647,8
178,Mar 01 2020 01: +0,1.666,13
179,Mar 02 2020 01: +0,1.617,8
180,Mar 03 2020 01: +0,1.69,6
181,Mar 04 2020 01: +0,1.49,6
182,Mar 05 2020 01: +0,1.521,14
183,Mar 06 2020 01: +0,1.535,6
184,Mar 07 2020 01: +0,1.532,8
185,Mar 08 2020 01: +0,1.506,9
186,Mar 09 2020 01: +0,1.586,11
187,Mar 10 2020 01: +0,1.575,15
