,time,price,volume
0,Mar 15 2017 01: +0,2.23,1
1,Mar 16 2017 01: +0,1.619,26
2,Mar 17 2017 01: +0,1.458,31
3,Mar 18 2017 01: +0,1.376,45
4,Mar 19 2017 01: +0,1.236,43
5,Mar 20 2017 01: +0,1.195,60
6,Mar 21 2017 01: +0,1.194,51
7,Mar 22 2017 01: +0,1.25,38
8,Mar 23 2017 01: +0,1.228,41
9,Mar 24 2017 01: +0,1.609,12
10,Mar 25 2017 01: +0,1.69,11
11,Mar 26 2017 01: +0,1.745,14
12,Mar 27 2017 01: +0,1.834,15
13,Mar 28 2017 01: +0,1.85,6
14,Mar 29 2017 01: +0,1.899,12
15,Mar 30 2017 01: +0,2.008,11
16,Mar 31 2017 01: +0,2.009,3
17,Apr 01 2017 01: +0,2.009,9
18,Apr 02 2017 01: +0,2.128,7
19,Apr 03 2017 01: +0,2.235,2
20,Apr 04 2017 01: +0,2.279,2
21,Apr 05 2017 01: +0,2.444,2
22,Apr 06 2017 01: +0,1.71,17
23,Apr 07 2017 01: +0,1.055,52
24,Apr 08 2017 01: +0,1.052,41
25,Apr 09 2017 01: +0,1.061,31
26,Apr 10 2017 01: +0,1.191,36
27,Apr 11 2017 01: +0,1.079,28
28,Apr 12 2017 01: +0,1.067,29
29,Apr 13 2017 01: +0,1.084,41
30,Apr 14 2017 01: +0,1.032,49
31,Apr 15 2017 01: +0,1.185,28
32,Apr 16 2017 01: +0,1.181,34
33,Apr 17 2017 01: +0,1.18,28
34,Apr 18 2017 01: +0,1.206,25
35,Apr 19 2017 01: +0,1.112,24
36,Apr 20 2017 01: +0,1.141,26
37,Apr 21 2017 01: +0,1.085,32
38,Apr 22 2017 01: +0,1.092,41
39,Apr 23 2017 01: +0,1.135,35
40,Apr 24 2017 01: +0,1.14,20
41,Apr 25 2017 01: +0,1.131,25
42,Apr 26 2017 01: +0,1.098,16
43,Apr 27 2017 01: +0,1.118,28
44,Apr 28 2017 01: +0,1.154,20
45,Apr 29 2017 01: +0,1.146,26
46,Apr 30 2017 01: +0,1.174,22
47,May 01 2017 01: +0,1.181,28
48,May 02 2017 01: +0,1.112,19
49,May 03 2017 01: +0,1.069,20
50,May 04 2017 01: +0,1.074,17
51,May 05 2017 01: +0,1.118,22
52,May 06 2017 01: +0,1.09,26
53,May 07 2017 01: +0,1.1,26
54,May 08 2017 01: +0,1.086,17
55,May 09 2017 01: +0,1.106,17
56,May 10 2017 01: +0,0.992,17
57,May 11 2017 01: +0,1.109,14
58,May 12 2017 01: +0,1.108,20
59,May 13 2017 01: +0,1.109,20
60,May 14 2017 01: +0,1.025,21
61,May 15 2017 01: +0,1.018,15
62,May 16 2017 01: +0,1.091,21
63,May 17 2017 01: +0,1.074,14
64,May 18 2017 01: +0,1.061,21
65,May 19 2017 01: +0,1.09,24
66,May 20 2017 01: +0,1.068,31
67,May 21 2017 01: +0,1.153,24
68,May 22 2017 01: +0,1.163,19
69,May 23 2017 01: +0,1.08,12
70,May 24 2017 01: +0,1.064,24
71,May 25 2017 01: +0,1.035,19
72,May 26 2017 01: +0,1.023,18
73,May 27 2017 01: +0,1.067,26
74,May 28 2017 01: +0,1.045,22
75,May 29 2017 01: +0,1.032,31
76,May 30 2017 01: +0,1.096,16
77,May 31 2017 01: +0,1.093,13
78,Jun 01 2017 01: +0,1.101,9
79,Jun 02 2017 01: +0,1.092,18
80,Jun 03 2017 01: +0,1.147,26
81,Jun 04 2017 01: +0,1.137,20
82,Jun 05 2017 01: +0,1.191,21
83,Jun 06 2017 01: +0,1.143,17
84,Jun 07 2017 01: +0,1.237,23
85,Jun 08 2017 01: +0,1.24,21
86,Jun 09 2017 01: +0,1.147,13
87,Jun 10 2017 01: +0,1.241,20
88,Jun 11 2017 01: +0,1.189,13
89,Jun 12 2017 01: +0,1.262,17
90,Jun 13 2017 01: +0,1.166,14
91,Jun 14 2017 01: +0,1.2,13
92,Jun 15 2017 01: +0,1.184,18
93,Jun 16 2017 01: +0,1.21,23
94,Jun 17 2017 01: +0,1.185,14
95,Jun 18 2017 01: +0,1.084,18
96,Jun 19 2017 01: +0,1.096,20
97,Jun 20 2017 01: +0,1.148,14
98,Jun 21 2017 01: +0,1.092,15
99,Jun 22 2017 01: +0,1.101,22
100,Jun 23 2017 01: +0,0.991,21
101,Jun 24 2017 01: +0,1.112,23
102,Jun 25 2017 01: +0,1.062,14
103,Jun 26 2017 01: +0,1.05,21
104,Jun 27 2017 01: +0,1.079,19
105,Jun 28 2017 01: +0,1.104,14
106,Jun 29 2017 01: +0,1.06,21
107,Jun 30 2017 01: +0,1.15,22
108,Jul 01 2017 01: +0,1.201,17
109,Jul 02 2017 01: +0,1.171,17
110,Jul 03 2017 01: +0,1.16,15
111,Jul 04 2017 01: +0,1.122,19
112,Jul 05 2017 01: +0,1.186,18
113,Jul 06 2017 01: +0,1.15,20
114,Jul 07 2017 01: +0,1.254,15
115,Jul 08 2017 01: +0,1.253,16
116,Jul 09 2017 01: +0,1.321,16
117,Jul 10 2017 01: +0,1.416,16
118,Jul 11 2017 01: +0,1.45,17
119,Jul 12 2017 01: +0,1.274,6
120,Jul 13 2017 01: +0,1.273,9
121,Jul 14 2017 01: +0,1.41,18
122,Jul 15 2017 01: +0,1.596,22
123,Jul 16 2017 01: +0,1.553,14
124,Jul 17 2017 01: +0,1.639,19
125,Jul 18 2017 01: +0,1.599,12
126,Jul 19 2017 01: +0,1.722,7
127,Jul 20 2017 01: +0,1.685,12
128,Jul 21 2017 01: +0,1.498,9
129,Jul 22 2017 01: +0,1.599,14
130,Jul 23 2017 01: +0,1.408,8
131,Jul 24 2017 01: +0,1.6,15
132,Jul 25 2017 01: +0,1.715,10
133,Jul 26 2017 01: +0,1.403,10
134,Jul 27 2017 01: +0,1.454,12
135,Jul 28 2017 01: +0,1.53,8
136,Jul 29 2017 01: +0,1.304,12
137,Jul 30 2017 01: +0,1.513,13
138,Jul 31 2017 01: +0,1.334,14
139,Aug 01 2017 01: +0,1.391,13
140,Aug 02 2017 01: +0,1.314,18
141,Aug 03 2017 01: +0,1.315,17
142,Aug 04 2017 01: +0,1.265,14
143,Aug 05 2017 01: +0,1.267,14
144,Aug 06 2017 01: +0,1.303,27
145,Aug 07 2017 01: +0,1.355,9
146,Aug 08 2017 01: +0,1.326,20
147,Aug 09 2017 01: +0,1.212,12
148,Aug 10 2017 01: +0,1.23,19
149,Aug 11 2017 01: +0,1.326,8
150,Aug 12 2017 01: +0,1.302,14
151,Aug 13 2017 01: +0,1.19,13
152,Aug 14 2017 01: +0,1.217,18
153,Aug 15 2017 01: +0,1.162,10
154,Aug 16 2017 01: +0,1.283,16
155,Aug 17 2017 01: +0,1.217,7
156,Aug 18 2017 01: +0,1.285,9
157,Aug 19 2017 01: +0,1.283,16
158,Aug 20 2017 01: +0,1.263,16
159,Aug 21 2017 01: +0,1.259,17
160,Aug 22 2017 01: +0,1.241,18
161,Aug 23 2017 01: +0,1.183,17
162,Aug 24 2017 01: +0,1.221,21
163,Aug 25 2017 01: +0,1.156,16
164,Aug 26 2017 01: +0,1.298,14
165,Aug 27 2017 01: +0,1.285,13
166,Aug 28 2017 01: +0,1.467,11
167,Aug 29 2017 01: +0,1.453,6
168,Aug 30 2017 01: +0,1.435,18
169,Aug 31 2017 01: +0,1.362,11
170,Sep 01 2017 01: +0,1.315,16
171,Sep 02 2017 01: +0,1.426,15
172,Sep 03 2017 01: +0,1.457,8
173,Sep 04 2017 01: +0,1.389,9
174,Sep 05 2017 01: +0,1.527,11
175,Sep 06 2017 01: +0,1.425,7
176,Sep 07 2017 01: +0,1.235,9
177,Sep 08 2017 01: +0,1.259,8
178,Sep 09 2017 01: +0,1.396,20
179,Sep 10 2017 01: +0,1.394,11
180,Sep 11 2017 01: +0,1.223,7
181,Sep 12 2017 01: +0,1.359,10
182,Sep 13 2017 01: +0,1.461,9
183,Sep 14 2017 01: +0,1.52,4
184,Sep 15 2017 01: +0,1.451,7
