,time,price,volume
0,Dec 10 2016 01: +0,12.19,2
1,Dec 14 2016 01: +0,6.365,1
2,Dec 15 2016 01: +0,4.459,4
3,Dec 16 2016 01: +0,3.595,7
4,Dec 17 2016 01: +0,3.817,4
5,Dec 18 2016 01: +0,3.363,1
6,Dec 19 2016 01: +0,2.948,6
7,Dec 20 2016 01: +0,3.814,2
8,Dec 21 2016 01: +0,3.006,4
9,Dec 22 2016 01: +0,3.944,5
10,Dec 23 2016 01: +0,3.425,4
11,Dec 24 2016 01: +0,4.0,4
12,Dec 25 2016 01: +0,4.037,4
13,Dec 26 2016 01: +0,3.15,6
14,Dec 27 2016 01: +0,3.146,4
15,Dec 28 2016 01: +0,4.108,3
16,Dec 29 2016 01: +0,3.846,6
17,Dec 30 2016 01: +0,4.113,8
18,Dec 31 2016 01: +0,4.986,4
19,Jan 01 2017 01: +0,5.253,1
20,Jan 02 2017 01: +0,3.024,5
21,Jan 03 2017 01: +0,2.16,1
22,Jan 04 2017 01: +0,3.702,5
23,Jan 05 2017 01: +0,3.533,5
24,Jan 06 2017 01: +0,3.84,5
25,Jan 07 2017 01: +0,3.746,5
26,Jan 08 2017 01: +0,3.56,5
27,Jan 09 2017 01: +0,3.618,9
28,Jan 10 2017 01: +0,2.943,4
29,Jan 11 2017 01: +0,4.061,6
30,Jan 12 2017 01: +0,4.361,9
31,Jan 13 2017 01: +0,5.364,5
32,Jan 14 2017 01: +0,5.634,4
33,Jan 15 2017 01: +0,5.213,6
34,Jan 16 2017 01: +0,5.172,4
35,Jan 17 2017 01: +0,4.974,9
36,Jan 18 2017 01: +0,4.977,3
37,Jan 19 2017 01: +0,4.838,5
38,Jan 20 2017 01: +0,4.837,5
39,Jan 21 2017 01: +0,5.028,5
40,Jan 22 2017 01: +0,3.593,6
41,Jan 23 2017 01: +0,4.515,6
42,Jan 24 2017 01: +0,4.465,3
43,Jan 26 2017 01: +0,3.712,6
44,Jan 27 2017 01: +0,3.789,7
45,Jan 28 2017 01: +0,4.009,11
46,Jan 29 2017 01: +0,3.775,8
47,Jan 30 2017 01: +0,4.321,6
48,Jan 31 2017 01: +0,3.85,5
49,Feb 01 2017 01: +0,3.702,4
50,Feb 02 2017 01: +0,4.357,15
51,Feb 03 2017 01: +0,4.726,12
52,Feb 04 2017 01: +0,4.851,6
53,Feb 05 2017 01: +0,4.642,10
54,Feb 06 2017 01: +0,4.607,8
55,Feb 07 2017 01: +0,4.518,5
56,Feb 08 2017 01: +0,3.633,4
57,Feb 09 2017 01: +0,3.719,7
58,Feb 10 2017 01: +0,3.886,9
59,Feb 11 2017 01: +0,4.075,7
60,Feb 12 2017 01: +0,4.323,7
61,Feb 13 2017 01: +0,4.449,3
62,Feb 14 2017 01: +0,3.55,1
63,Feb 15 2017 01: +0,3.657,8
64,Feb 16 2017 01: +0,4.03,7
65,Feb 17 2017 01: +0,4.072,5
66,Feb 18 2017 01: +0,4.2,6
67,Feb 19 2017 01: +0,4.258,7
