,time,price,volume
0,Sep 28 2018 01: +0,3.245,36
1,Sep 29 2018 01: +0,3.071,63
2,Sep 30 2018 01: +0,2.727,42
3,Oct 01 2018 01: +0,2.461,38
4,Oct 02 2018 01: +0,2.631,43
5,Oct 03 2018 01: +0,2.633,36
6,Oct 04 2018 01: +0,2.548,60
7,Oct 05 2018 01: +0,2.698,37
8,Oct 06 2018 01: +0,3.346,70
9,Oct 07 2018 01: +0,3.461,51
10,Oct 08 2018 01: +0,3.236,33
11,Oct 09 2018 01: +0,3.116,19
12,Oct 10 2018 01: +0,3.051,26
13,Oct 11 2018 01: +0,3.007,23
14,Oct 12 2018 01: +0,2.661,22
15,Oct 13 2018 01: +0,2.62,49
16,Oct 14 2018 01: +0,2.931,37
17,Oct 15 2018 01: +0,2.781,23
18,Oct 16 2018 01: +0,2.822,25
19,Oct 17 2018 01: +0,2.841,31
20,Oct 18 2018 01: +0,2.854,31
21,Oct 19 2018 01: +0,2.619,54
22,Oct 20 2018 01: +0,2.453,48
23,Oct 21 2018 01: +0,2.906,36
24,Oct 22 2018 01: +0,2.837,20
25,Oct 23 2018 01: +0,2.678,20
26,Oct 24 2018 01: +0,2.981,22
27,Oct 25 2018 01: +0,2.882,10
28,Oct 26 2018 01: +0,2.866,17
29,Oct 27 2018 01: +0,2.577,27
30,Oct 28 2018 01: +0,2.678,17
31,Oct 29 2018 01: +0,2.716,17
32,Oct 30 2018 01: +0,2.608,18
33,Oct 31 2018 01: +0,2.438,20
34,Nov 01 2018 01: +0,2.644,29
35,Nov 02 2018 01: +0,3.039,36
36,Nov 03 2018 01: +0,3.535,42
37,Nov 04 2018 01: +0,3.63,34
38,Nov 05 2018 01: +0,3.798,37
39,Nov 06 2018 01: +0,3.432,11
40,Nov 07 2018 01: +0,3.322,12
41,Nov 08 2018 01: +0,3.303,18
42,Nov 09 2018 01: +0,3.486,13
43,Nov 10 2018 01: +0,3.259,20
44,Nov 11 2018 01: +0,3.369,20
45,Nov 12 2018 01: +0,3.409,20
46,Nov 13 2018 01: +0,3.32,15
47,Nov 14 2018 01: +0,3.199,15
48,Nov 15 2018 01: +0,3.432,24
49,Nov 16 2018 01: +0,3.339,17
50,Nov 17 2018 01: +0,3.583,24
51,Nov 18 2018 01: +0,3.866,24
52,Nov 19 2018 01: +0,3.685,11
53,Nov 20 2018 01: +0,4.118,18
54,Nov 21 2018 01: +0,4.439,11
55,Nov 22 2018 01: +0,4.14,12
56,Nov 23 2018 01: +0,3.76,12
57,Nov 24 2018 01: +0,3.856,12
58,Nov 25 2018 01: +0,4.153,11
59,Nov 26 2018 01: +0,3.915,10
