,time,price,volume
0,Apr 06 2017 01: +0,1.648,10
1,Apr 07 2017 01: +0,1.591,72
2,Apr 08 2017 01: +0,1.682,47
3,Apr 09 2017 01: +0,1.659,53
4,Apr 10 2017 01: +0,1.629,49
5,Apr 11 2017 01: +0,1.608,38
6,Apr 12 2017 01: +0,1.759,40
7,Apr 13 2017 01: +0,1.825,59
8,Apr 14 2017 01: +0,1.735,57
9,Apr 15 2017 01: +0,1.813,41
10,Apr 16 2017 01: +0,1.937,45
11,Apr 17 2017 01: +0,1.986,29
12,Apr 18 2017 01: +0,1.879,35
13,Apr 19 2017 01: +0,1.798,36
14,Apr 20 2017 01: +0,1.727,41
15,Apr 21 2017 01: +0,1.742,41
16,Apr 22 2017 01: +0,1.736,51
17,Apr 23 2017 01: +0,1.798,31
18,Apr 24 2017 01: +0,1.8,39
19,Apr 25 2017 01: +0,1.816,18
20,Apr 26 2017 01: +0,1.775,20
21,Apr 27 2017 01: +0,1.758,24
22,Apr 28 2017 01: +0,1.668,41
23,Apr 29 2017 01: +0,1.805,39
24,Apr 30 2017 01: +0,1.847,31
25,May 01 2017 01: +0,1.859,28
26,May 02 2017 01: +0,1.703,18
27,May 03 2017 01: +0,1.749,18
28,May 04 2017 01: +0,1.629,23
29,May 05 2017 01: +0,1.671,32
30,May 06 2017 01: +0,1.781,40
31,May 07 2017 01: +0,1.922,37
32,May 08 2017 01: +0,1.755,19
33,May 09 2017 01: +0,1.823,25
34,May 10 2017 01: +0,1.843,28
35,May 11 2017 01: +0,1.899,23
36,May 12 2017 01: +0,1.898,21
37,May 13 2017 01: +0,1.818,33
38,May 14 2017 01: +0,1.81,28
39,May 15 2017 01: +0,1.717,27
40,May 16 2017 01: +0,1.897,37
41,May 17 2017 01: +0,1.771,23
42,May 18 2017 01: +0,1.892,28
43,May 19 2017 01: +0,2.013,32
44,May 20 2017 01: +0,2.012,32
45,May 21 2017 01: +0,1.927,24
46,May 22 2017 01: +0,1.924,21
47,May 23 2017 01: +0,1.978,13
48,May 24 2017 01: +0,1.581,27
49,May 25 2017 01: +0,1.573,36
50,May 26 2017 01: +0,1.806,23
51,May 27 2017 01: +0,1.769,33
52,May 28 2017 01: +0,1.814,29
53,May 29 2017 01: +0,1.745,25
54,May 30 2017 01: +0,1.862,31
55,May 31 2017 01: +0,1.944,17
56,Jun 01 2017 01: +0,1.833,24
57,Jun 02 2017 01: +0,2.076,29
58,Jun 03 2017 01: +0,2.033,38
59,Jun 04 2017 01: +0,2.207,32
60,Jun 05 2017 01: +0,2.069,23
61,Jun 06 2017 01: +0,2.155,27
62,Jun 07 2017 01: +0,2.264,20
63,Jun 08 2017 01: +0,1.952,21
64,Jun 09 2017 01: +0,2.065,32
65,Jun 10 2017 01: +0,2.158,39
66,Jun 11 2017 01: +0,2.108,22
67,Jun 12 2017 01: +0,2.048,16
68,Jun 13 2017 01: +0,2.226,18
69,Jun 14 2017 01: +0,2.411,20
70,Jun 15 2017 01: +0,2.219,15
71,Jun 16 2017 01: +0,2.152,25
72,Jun 17 2017 01: +0,1.771,23
73,Jun 18 2017 01: +0,1.998,25
74,Jun 19 2017 01: +0,1.824,16
75,Jun 20 2017 01: +0,1.923,19
76,Jun 21 2017 01: +0,1.713,19
77,Jun 22 2017 01: +0,1.761,20
78,Jun 23 2017 01: +0,1.57,22
79,Jun 24 2017 01: +0,1.529,40
80,Jun 25 2017 01: +0,1.888,19
81,Jun 26 2017 01: +0,1.742,29
82,Jun 27 2017 01: +0,1.897,22
83,Jun 28 2017 01: +0,1.915,19
84,Jun 29 2017 01: +0,1.733,22
85,Jun 30 2017 01: +0,1.802,15
86,Jul 01 2017 01: +0,1.73,26
87,Jul 02 2017 01: +0,1.694,19
88,Jul 03 2017 01: +0,1.727,28
89,Jul 04 2017 01: +0,1.803,20
90,Jul 05 2017 01: +0,1.693,21
91,Jul 06 2017 01: +0,1.601,26
92,Jul 07 2017 01: +0,1.829,19
93,Jul 08 2017 01: +0,1.748,25
94,Jul 09 2017 01: +0,1.688,25
95,Jul 10 2017 01: +0,1.707,22
96,Jul 11 2017 01: +0,1.829,14
97,Jul 12 2017 01: +0,1.79,20
98,Jul 13 2017 01: +0,1.892,21
99,Jul 14 2017 01: +0,1.877,17
100,Jul 15 2017 01: +0,1.931,14
101,Jul 16 2017 01: +0,1.799,21
