,time,price,volume
0,Dec 03 2016 01: +0,15.392,4
1,Dec 04 2016 01: +0,21.27,1
2,Dec 05 2016 01: +0,25.11,2
3,Dec 06 2016 01: +0,22.698,3
4,Dec 07 2016 01: +0,21.576,2
5,Dec 08 2016 01: +0,11.172,14
6,Dec 09 2016 01: +0,11.085,16
7,Dec 10 2016 01: +0,12.153,25
8,Dec 11 2016 01: +0,12.798,16
9,Dec 12 2016 01: +0,10.862,14
10,Dec 13 2016 01: +0,11.92,13
11,Dec 14 2016 01: +0,11.741,10
12,Dec 15 2016 01: +0,10.046,12
13,Dec 16 2016 01: +0,10.713,22
14,Dec 17 2016 01: +0,11.349,13
15,Dec 18 2016 01: +0,9.592,16
16,Dec 19 2016 01: +0,10.257,16
17,Dec 20 2016 01: +0,11.264,10
18,Dec 21 2016 01: +0,10.83,8
19,Dec 22 2016 01: +0,10.774,16
20,Dec 23 2016 01: +0,9.59,16
21,Dec 24 2016 01: +0,10.842,22
22,Dec 25 2016 01: +0,12.298,28
23,Dec 26 2016 01: +0,11.432,16
24,Dec 27 2016 01: +0,10.9,24
25,Dec 28 2016 01: +0,11.02,9
26,Dec 29 2016 01: +0,10.972,24
27,Dec 30 2016 01: +0,11.109,14
28,Dec 31 2016 01: +0,11.169,12
29,Jan 01 2017 01: +0,10.497,30
30,Jan 02 2017 01: +0,9.88,14
31,Jan 03 2017 01: +0,9.483,24
32,Jan 04 2017 01: +0,10.312,19
33,Jan 05 2017 01: +0,11.35,34
34,Jan 06 2017 01: +0,12.833,21
35,Jan 07 2017 01: +0,12.519,34
36,Jan 08 2017 01: +0,14.214,25
37,Jan 09 2017 01: +0,15.488,21
38,Jan 10 2017 01: +0,14.365,14
39,Jan 11 2017 01: +0,14.584,16
40,Jan 12 2017 01: +0,14.836,31
41,Jan 13 2017 01: +0,14.977,22
42,Jan 14 2017 01: +0,14.943,25
43,Jan 15 2017 01: +0,13.306,23
44,Jan 16 2017 01: +0,14.964,28
45,Jan 17 2017 01: +0,17.064,13
46,Jan 18 2017 01: +0,15.044,14
47,Jan 19 2017 01: +0,15.657,21
48,Jan 20 2017 01: +0,15.86,15
49,Jan 21 2017 01: +0,14.63,12
50,Jan 22 2017 01: +0,14.128,12
51,Jan 23 2017 01: +0,13.868,11
52,Jan 24 2017 01: +0,12.561,17
53,Jan 25 2017 01: +0,13.355,10
54,Jan 26 2017 01: +0,14.194,17
55,Jan 27 2017 01: +0,12.948,15
56,Jan 28 2017 01: +0,15.298,31
57,Jan 29 2017 01: +0,16.731,19
58,Jan 30 2017 01: +0,14.77,15
59,Jan 31 2017 01: +0,14.265,18
60,Feb 01 2017 01: +0,13.518,26
61,Feb 02 2017 01: +0,13.78,19
62,Feb 03 2017 01: +0,15.103,15
63,Feb 04 2017 01: +0,15.13,12
64,Feb 05 2017 01: +0,13.611,15
65,Feb 06 2017 01: +0,13.553,16
66,Feb 07 2017 01: +0,13.435,9
67,Feb 08 2017 01: +0,15.895,11
