,time,price,volume
0,Nov 29 2018 01: +0,3.785,4
1,Nov 30 2018 01: +0,2.848,11
2,Dec 01 2018 01: +0,2.759,9
3,Dec 02 2018 01: +0,3.024,11
4,Dec 03 2018 01: +0,2.859,9
5,Dec 04 2018 01: +0,2.856,4
6,Dec 05 2018 01: +0,2.924,9
7,Dec 06 2018 01: +0,2.698,12
8,Dec 07 2018 01: +0,2.617,8
9,Dec 08 2018 01: +0,2.713,3
10,Dec 09 2018 01: +0,2.497,8
11,Dec 10 2018 01: +0,2.356,6
12,Dec 11 2018 01: +0,2.565,7
13,Dec 12 2018 01: +0,2.559,6
14,Dec 13 2018 01: +0,2.511,6
15,Dec 14 2018 01: +0,2.298,10
16,Dec 15 2018 01: +0,2.221,7
17,Dec 16 2018 01: +0,2.165,12
18,Dec 17 2018 01: +0,2.226,13
19,Dec 18 2018 01: +0,2.262,7
20,Dec 19 2018 01: +0,2.147,3
21,Dec 20 2018 01: +0,2.154,10
22,Dec 21 2018 01: +0,1.958,12
23,Dec 22 2018 01: +0,1.871,13
24,Dec 23 2018 01: +0,1.955,5
25,Dec 24 2018 01: +0,1.839,13
26,Dec 25 2018 01: +0,1.965,9
27,Dec 26 2018 01: +0,2.051,17
28,Dec 27 2018 01: +0,2.085,12
29,Dec 28 2018 01: +0,2.139,7
30,Dec 29 2018 01: +0,2.073,6
31,Dec 30 2018 01: +0,1.895,12
32,Dec 31 2018 01: +0,1.97,21
33,Jan 01 2019 01: +0,2.123,9
34,Jan 02 2019 01: +0,2.252,10
35,Jan 03 2019 01: +0,2.433,9
36,Jan 04 2019 01: +0,2.318,12
37,Jan 05 2019 01: +0,2.695,9
38,Jan 06 2019 01: +0,2.84,7
39,Jan 07 2019 01: +0,2.598,9
40,Jan 08 2019 01: +0,2.383,4
41,Jan 09 2019 01: +0,2.297,13
42,Jan 10 2019 01: +0,2.38,13
43,Jan 11 2019 01: +0,2.24,16
44,Jan 12 2019 01: +0,2.263,14
45,Jan 13 2019 01: +0,2.286,10
46,Jan 14 2019 01: +0,1.992,6
47,Jan 15 2019 01: +0,2.25,4
48,Jan 16 2019 01: +0,2.209,6
49,Jan 17 2019 01: +0,2.197,3
50,Jan 18 2019 01: +0,2.164,9
51,Jan 19 2019 01: +0,2.227,11
52,Jan 20 2019 01: +0,2.218,7
53,Jan 21 2019 01: +0,2.184,6
54,Jan 22 2019 01: +0,2.173,7
55,Jan 23 2019 01: +0,2.153,4
56,Jan 24 2019 01: +0,1.986,7
57,Jan 25 2019 01: +0,1.941,13
58,Jan 26 2019 01: +0,2.111,11
59,Jan 27 2019 01: +0,2.188,10
60,Jan 28 2019 01: +0,2.14,7
