,time,price,volume
0,Mar 02 2017 01: +0,1.78,12
1,Mar 03 2017 01: +0,1.665,12
2,Mar 04 2017 01: +0,1.541,14
3,Mar 05 2017 01: +0,1.625,20
4,Mar 06 2017 01: +0,1.562,15
5,Mar 07 2017 01: +0,1.586,10
6,Mar 08 2017 01: +0,1.594,10
7,Mar 09 2017 01: +0,1.497,18
8,Mar 10 2017 01: +0,1.441,15
9,Mar 11 2017 01: +0,1.622,16
10,Mar 12 2017 01: +0,1.564,18
11,Mar 13 2017 01: +0,1.65,10
12,Mar 14 2017 01: +0,1.606,7
13,Mar 15 2017 01: +0,1.647,9
14,Mar 16 2017 01: +0,1.559,8
15,Mar 17 2017 01: +0,1.488,17
16,Mar 18 2017 01: +0,1.531,11
17,Mar 19 2017 01: +0,1.606,10
18,Mar 20 2017 01: +0,1.489,6
19,Mar 21 2017 01: +0,1.493,14
20,Mar 22 2017 01: +0,1.458,10
21,Mar 23 2017 01: +0,1.532,12
22,Mar 24 2017 01: +0,1.682,7
23,Mar 25 2017 01: +0,1.727,6
24,Mar 26 2017 01: +0,1.801,7
25,Mar 27 2017 01: +0,1.907,2
26,Mar 28 2017 01: +0,2.027,3
27,Mar 29 2017 01: +0,2.04,1
28,Mar 30 2017 01: +0,2.154,4
29,Mar 31 2017 01: +0,2.414,2
30,Apr 01 2017 01: +0,3.19,1
31,Apr 04 2017 01: +0,1.554,1
32,Apr 06 2017 01: +0,2.002,4
33,Apr 07 2017 01: +0,1.3,15
34,Apr 08 2017 01: +0,1.051,11
35,Apr 09 2017 01: +0,1.012,12
36,Apr 10 2017 01: +0,1.05,6
37,Apr 11 2017 01: +0,1.05,10
38,Apr 12 2017 01: +0,1.098,8
39,Apr 13 2017 01: +0,1.22,11
40,Apr 14 2017 01: +0,1.148,8
41,Apr 15 2017 01: +0,1.138,11
42,Apr 16 2017 01: +0,1.106,6
43,Apr 17 2017 01: +0,1.144,6
44,Apr 18 2017 01: +0,1.197,14
45,Apr 19 2017 01: +0,1.214,6
46,Apr 20 2017 01: +0,1.168,8
47,Apr 21 2017 01: +0,1.096,6
48,Apr 22 2017 01: +0,1.087,29
49,Apr 23 2017 01: +0,1.04,23
50,Apr 24 2017 01: +0,1.012,18
51,Apr 25 2017 01: +0,1.237,5
52,Apr 26 2017 01: +0,1.29,6
53,Apr 27 2017 01: +0,1.341,3
54,Apr 28 2017 01: +0,1.238,4
55,Apr 29 2017 01: +0,1.127,5
56,Apr 30 2017 01: +0,1.183,5
57,May 01 2017 01: +0,1.115,7
58,May 02 2017 01: +0,1.021,11
59,May 03 2017 01: +0,1.048,11
60,May 04 2017 01: +0,1.018,8
61,May 05 2017 01: +0,1.044,11
62,May 06 2017 01: +0,1.181,5
63,May 07 2017 01: +0,1.1,6
64,May 08 2017 01: +0,0.94,8
65,May 09 2017 01: +0,1.024,6
66,May 10 2017 01: +0,1.162,4
67,May 11 2017 01: +0,1.099,5
68,May 12 2017 01: +0,1.093,5
69,May 13 2017 01: +0,1.029,9
70,May 14 2017 01: +0,1.042,6
71,May 15 2017 01: +0,0.994,7
72,May 16 2017 01: +0,0.997,6
73,May 17 2017 01: +0,1.112,3
74,May 18 2017 01: +0,0.905,6
75,May 19 2017 01: +0,0.972,7
76,May 20 2017 01: +0,1.11,8
77,May 21 2017 01: +0,1.065,4
78,May 22 2017 01: +0,1.183,8
79,May 23 2017 01: +0,1.086,2
80,May 24 2017 01: +0,1.049,7
81,May 25 2017 01: +0,1.002,5
82,May 26 2017 01: +0,0.977,7
83,May 27 2017 01: +0,0.938,8
84,May 28 2017 01: +0,1.019,6
85,May 29 2017 01: +0,0.945,8
86,May 30 2017 01: +0,1.027,2
87,May 31 2017 01: +0,0.852,4
88,Jun 01 2017 01: +0,1.021,9
89,Jun 02 2017 01: +0,1.062,5
90,Jun 03 2017 01: +0,0.931,8
91,Jun 04 2017 01: +0,0.884,5
92,Jun 05 2017 01: +0,1.0,7
93,Jun 06 2017 01: +0,1.012,4
94,Jun 07 2017 01: +0,1.026,4
95,Jun 08 2017 01: +0,0.978,5
96,Jun 09 2017 01: +0,0.903,5
97,Jun 10 2017 01: +0,1.012,3
98,Jun 11 2017 01: +0,1.049,4
99,Jun 12 2017 01: +0,1.092,8
100,Jun 13 2017 01: +0,1.055,1
101,Jun 14 2017 01: +0,1.033,5
102,Jun 15 2017 01: +0,1.017,6
103,Jun 16 2017 01: +0,0.997,6
104,Jun 17 2017 01: +0,1.088,4
105,Jun 18 2017 01: +0,0.992,6
106,Jun 19 2017 01: +0,1.124,6
107,Jun 20 2017 01: +0,0.945,5
108,Jun 21 2017 01: +0,0.899,6
109,Jun 22 2017 01: +0,0.852,2
110,Jun 23 2017 01: +0,0.859,4
111,Jun 24 2017 01: +0,0.832,8
112,Jun 25 2017 01: +0,0.873,5
113,Jun 26 2017 01: +0,0.807,5
114,Jun 27 2017 01: +0,0.877,6
