,time,price,volume
0,Feb 24 2017 01: +0,55.001,1
1,Feb 25 2017 01: +0,6.691,1
2,Feb 27 2017 01: +0,8.48,1
3,Feb 28 2017 01: +0,21.173,1
4,Mar 01 2017 01: +0,28.54,1
5,Mar 02 2017 01: +0,1.93,274
6,Mar 03 2017 01: +0,2.011,269
7,Mar 04 2017 01: +0,2.182,242
8,Mar 05 2017 01: +0,2.29,204
9,Mar 06 2017 01: +0,2.31,129
10,Mar 07 2017 01: +0,2.169,124
11,Mar 08 2017 01: +0,2.15,103
12,Mar 09 2017 01: +0,2.131,157
13,Mar 10 2017 01: +0,2.178,164
14,Mar 11 2017 01: +0,2.239,170
15,Mar 12 2017 01: +0,2.261,131
16,Mar 13 2017 01: +0,2.283,109
17,Mar 14 2017 01: +0,2.43,94
18,Mar 15 2017 01: +0,2.51,67
19,Mar 16 2017 01: +0,2.308,103
20,Mar 17 2017 01: +0,2.376,106
21,Mar 18 2017 01: +0,2.517,118
22,Mar 19 2017 01: +0,2.471,105
23,Mar 20 2017 01: +0,2.471,95
24,Mar 21 2017 01: +0,2.523,71
25,Mar 22 2017 01: +0,2.495,58
26,Mar 23 2017 01: +0,2.438,59
27,Mar 24 2017 01: +0,3.028,33
28,Mar 25 2017 01: +0,4.368,27
29,Mar 26 2017 01: +0,3.59,7
30,Mar 27 2017 01: +0,6.914,3
31,Mar 28 2017 01: +0,4.991,4
32,Mar 30 2017 01: +0,6.309,5
33,Apr 01 2017 01: +0,11.47,4
34,Apr 02 2017 01: +0,5.189,5
35,Apr 03 2017 01: +0,10.53,2
36,Apr 04 2017 01: +0,2.588,1
37,Apr 05 2017 01: +0,2.81,1
38,Apr 06 2017 01: +0,5.163,32
39,Apr 07 2017 01: +0,1.736,136
40,Apr 08 2017 01: +0,1.637,107
41,Apr 09 2017 01: +0,1.757,86
42,Apr 10 2017 01: +0,1.617,73
43,Apr 11 2017 01: +0,1.775,61
44,Apr 12 2017 01: +0,1.721,55
45,Apr 13 2017 01: +0,1.613,105
46,Apr 14 2017 01: +0,1.704,87
47,Apr 15 2017 01: +0,1.81,88
48,Apr 16 2017 01: +0,1.842,77
49,Apr 17 2017 01: +0,1.838,74
50,Apr 18 2017 01: +0,1.826,56
51,Apr 19 2017 01: +0,1.677,63
52,Apr 20 2017 01: +0,1.65,62
53,Apr 21 2017 01: +0,1.639,60
54,Apr 22 2017 01: +0,1.705,105
55,Apr 23 2017 01: +0,1.763,65
56,Apr 24 2017 01: +0,1.583,56
57,Apr 25 2017 01: +0,1.6,60
58,Apr 26 2017 01: +0,1.703,49
59,Apr 27 2017 01: +0,1.569,66
60,Apr 28 2017 01: +0,1.739,57
61,Apr 29 2017 01: +0,1.616,69
62,Apr 30 2017 01: +0,1.716,65
63,May 01 2017 01: +0,1.777,55
64,May 02 2017 01: +0,1.574,32
65,May 03 2017 01: +0,1.604,45
66,May 04 2017 01: +0,1.552,53
67,May 05 2017 01: +0,1.593,71
68,May 06 2017 01: +0,1.481,42
69,May 07 2017 01: +0,1.438,64
70,May 08 2017 01: +0,1.541,53
71,May 09 2017 01: +0,1.428,39
72,May 10 2017 01: +0,1.431,42
73,May 11 2017 01: +0,1.441,44
74,May 12 2017 01: +0,1.459,46
75,May 13 2017 01: +0,1.578,56
76,May 14 2017 01: +0,1.558,61
77,May 15 2017 01: +0,1.661,54
78,May 16 2017 01: +0,1.609,45
79,May 17 2017 01: +0,1.535,45
80,May 18 2017 01: +0,1.635,43
81,May 19 2017 01: +0,1.515,43
82,May 20 2017 01: +0,1.642,70
83,May 21 2017 01: +0,1.829,63
84,May 22 2017 01: +0,1.712,42
85,May 23 2017 01: +0,1.71,50
86,May 24 2017 01: +0,1.413,77
87,May 25 2017 01: +0,1.263,69
88,May 26 2017 01: +0,1.5,59
89,May 27 2017 01: +0,1.476,46
90,May 28 2017 01: +0,1.321,68
91,May 29 2017 01: +0,1.436,50
92,May 30 2017 01: +0,1.457,44
93,May 31 2017 01: +0,1.411,47
94,Jun 01 2017 01: +0,1.487,60
95,Jun 02 2017 01: +0,1.443,58
96,Jun 03 2017 01: +0,1.475,62
97,Jun 04 2017 01: +0,1.487,55
98,Jun 05 2017 01: +0,1.519,64
99,Jun 06 2017 01: +0,1.627,38
100,Jun 07 2017 01: +0,1.625,35
101,Jun 08 2017 01: +0,1.617,48
102,Jun 09 2017 01: +0,1.67,58
103,Jun 10 2017 01: +0,1.675,47
104,Jun 11 2017 01: +0,1.665,56
105,Jun 12 2017 01: +0,1.522,53
106,Jun 13 2017 01: +0,1.522,43
107,Jun 14 2017 01: +0,1.566,49
108,Jun 15 2017 01: +0,1.591,47
109,Jun 16 2017 01: +0,1.475,42
110,Jun 17 2017 01: +0,1.512,49
111,Jun 18 2017 01: +0,1.452,48
112,Jun 19 2017 01: +0,1.425,43
113,Jun 20 2017 01: +0,1.298,52
114,Jun 21 2017 01: +0,1.332,45
115,Jun 22 2017 01: +0,1.204,47
116,Jun 23 2017 01: +0,1.23,61
117,Jun 24 2017 01: +0,1.128,63
118,Jun 25 2017 01: +0,1.157,54
119,Jun 26 2017 01: +0,1.228,50
120,Jun 27 2017 01: +0,1.246,58
121,Jun 28 2017 01: +0,1.356,43
122,Jun 29 2017 01: +0,1.378,48
123,Jun 30 2017 01: +0,1.349,45
124,Jul 01 2017 01: +0,1.433,49
125,Jul 02 2017 01: +0,1.215,44
126,Jul 03 2017 01: +0,1.17,49
127,Jul 04 2017 01: +0,1.27,48
128,Jul 05 2017 01: +0,1.216,44
129,Jul 06 2017 01: +0,1.301,57
130,Jul 07 2017 01: +0,1.176,34
131,Jul 08 2017 01: +0,1.142,36
132,Jul 09 2017 01: +0,1.202,62
133,Jul 10 2017 01: +0,1.11,41
134,Jul 11 2017 01: +0,1.161,38
135,Jul 12 2017 01: +0,1.216,42
136,Jul 13 2017 01: +0,1.163,48
137,Jul 14 2017 01: +0,1.224,34
138,Jul 15 2017 01: +0,1.285,55
139,Jul 16 2017 01: +0,1.258,44
140,Jul 17 2017 01: +0,1.253,40
141,Jul 18 2017 01: +0,1.242,27
