,time,price,volume
0,May 26 2017 01: +0,1.684,2
1,May 27 2017 01: +0,2.01,3
2,May 28 2017 01: +0,1.783,7
3,May 29 2017 01: +0,1.62,3
4,May 30 2017 01: +0,1.775,3
5,May 31 2017 01: +0,1.631,6
6,Jun 01 2017 01: +0,1.278,4
7,Jun 02 2017 01: +0,1.503,9
8,Jun 03 2017 01: +0,1.521,8
9,Jun 04 2017 01: +0,1.477,5
10,Jun 05 2017 01: +0,1.271,8
11,Jun 06 2017 01: +0,1.297,3
12,Jun 07 2017 01: +0,1.382,6
13,Jun 08 2017 01: +0,1.402,5
14,Jun 09 2017 01: +0,1.392,7
15,Jun 10 2017 01: +0,1.32,7
16,Jun 11 2017 01: +0,1.322,5
17,Jun 12 2017 01: +0,1.266,4
18,Jun 13 2017 01: +0,1.206,6
19,Jun 14 2017 01: +0,1.212,5
20,Jun 15 2017 01: +0,1.178,7
21,Jun 16 2017 01: +0,1.179,4
22,Jun 17 2017 01: +0,1.191,9
23,Jun 18 2017 01: +0,1.242,7
24,Jun 19 2017 01: +0,1.367,9
25,Jun 20 2017 01: +0,1.259,4
26,Jun 21 2017 01: +0,1.252,5
27,Jun 22 2017 01: +0,1.55,1
28,Jun 23 2017 01: +0,1.569,4
29,Jun 24 2017 01: +0,1.339,6
30,Jun 26 2017 01: +0,1.339,4
31,Jun 27 2017 01: +0,1.281,5
32,Jun 28 2017 01: +0,1.213,2
33,Jun 29 2017 01: +0,1.47,1
34,Jun 30 2017 01: +0,1.282,7
35,Jul 01 2017 01: +0,1.347,3
36,Jul 02 2017 01: +0,1.184,5
37,Jul 03 2017 01: +0,1.55,2
38,Jul 04 2017 01: +0,1.517,2
39,Jul 05 2017 01: +0,1.151,3
40,Jul 06 2017 01: +0,1.025,3
41,Jul 07 2017 01: +0,1.176,5
42,Jul 08 2017 01: +0,1.418,6
43,Jul 09 2017 01: +0,1.141,3
44,Jul 10 2017 01: +0,1.198,5
45,Jul 11 2017 01: +0,1.457,2
46,Jul 12 2017 01: +0,1.463,3
47,Jul 13 2017 01: +0,1.337,5
48,Jul 14 2017 01: +0,1.328,6
49,Jul 15 2017 01: +0,1.342,5
50,Jul 16 2017 01: +0,1.32,4
51,Jul 17 2017 01: +0,1.208,5
52,Jul 18 2017 01: +0,1.295,4
53,Jul 19 2017 01: +0,0.79,2
54,Jul 20 2017 01: +0,1.167,2
55,Jul 21 2017 01: +0,1.144,3
56,Jul 22 2017 01: +0,1.173,3
57,Jul 23 2017 01: +0,1.099,12
58,Jul 24 2017 01: +0,1.325,5
59,Jul 25 2017 01: +0,1.236,3
60,Jul 26 2017 01: +0,1.087,3
61,Jul 27 2017 01: +0,1.046,6
62,Jul 28 2017 01: +0,1.161,1
63,Jul 29 2017 01: +0,1.215,6
64,Jul 30 2017 01: +0,1.171,6
65,Jul 31 2017 01: +0,1.228,2
66,Aug 01 2017 01: +0,1.34,1
67,Aug 02 2017 01: +0,1.254,5
68,Aug 03 2017 01: +0,1.317,2
69,Aug 04 2017 01: +0,1.168,7
