,time,price,volume
0,Aug 24 2017 01: +0,2.57,1
1,Aug 25 2017 01: +0,2.31,4
2,Aug 26 2017 01: +0,1.533,3
3,Aug 27 2017 01: +0,1.545,3
4,Aug 28 2017 01: +0,1.259,3
5,Aug 29 2017 01: +0,1.338,3
6,Aug 30 2017 01: +0,1.541,6
7,Aug 31 2017 01: +0,1.359,6
8,Sep 01 2017 01: +0,2.284,18
9,Sep 02 2017 01: +0,1.796,5
10,Sep 03 2017 01: +0,2.537,2
11,Sep 04 2017 01: +0,2.229,2
12,Sep 05 2017 01: +0,2.269,1
13,Sep 06 2017 01: +0,1.379,1
14,Sep 07 2017 01: +0,0.995,2
15,Sep 08 2017 01: +0,1.78,1
16,Sep 09 2017 01: +0,1.634,4
17,Sep 10 2017 01: +0,1.6,1
18,Sep 11 2017 01: +0,1.754,3
19,Sep 12 2017 01: +0,2.129,3
20,Sep 13 2017 01: +0,2.339,5
21,Sep 14 2017 01: +0,2.722,2
22,Sep 16 2017 01: +0,1.08,1
23,Sep 17 2017 01: +0,3.206,4
24,Sep 18 2017 01: +0,2.663,4
25,Sep 20 2017 01: +0,1.853,2
26,Sep 21 2017 01: +0,1.619,5
27,Sep 22 2017 01: +0,1.774,1
28,Sep 23 2017 01: +0,1.633,3
29,Sep 24 2017 01: +0,1.91,4
30,Sep 25 2017 01: +0,1.754,4
31,Sep 26 2017 01: +0,1.743,1
32,Sep 28 2017 01: +0,1.247,3
33,Sep 29 2017 01: +0,1.87,7
34,Sep 30 2017 01: +0,2.346,1
35,Oct 02 2017 01: +0,1.751,3
36,Oct 03 2017 01: +0,1.34,1
37,Oct 04 2017 01: +0,1.356,2
38,Oct 05 2017 01: +0,1.62,1
39,Oct 06 2017 01: +0,1.394,11
40,Oct 08 2017 01: +0,2.1,2
41,Oct 11 2017 01: +0,1.729,4
42,Oct 14 2017 01: +0,1.84,1
43,Oct 15 2017 01: +0,1.499,4
44,Oct 16 2017 01: +0,1.153,5
45,Oct 17 2017 01: +0,1.455,2
46,Oct 19 2017 01: +0,1.069,3
47,Oct 20 2017 01: +0,1.135,1
48,Oct 21 2017 01: +0,1.126,2
49,Oct 22 2017 01: +0,1.004,1
50,Oct 23 2017 01: +0,1.108,2
51,Oct 24 2017 01: +0,1.021,4
52,Oct 25 2017 01: +0,1.088,2
53,Oct 26 2017 01: +0,1.086,4
54,Oct 27 2017 01: +0,1.063,4
55,Oct 28 2017 01: +0,1.028,3
56,Oct 29 2017 01: +0,1.096,5
57,Oct 30 2017 01: +0,1.143,4
58,Oct 31 2017 01: +0,1.193,3
59,Nov 02 2017 01: +0,1.428,3
60,Nov 03 2017 01: +0,1.247,2
61,Nov 04 2017 01: +0,1.327,2
62,Nov 05 2017 01: +0,1.347,3
63,Nov 08 2017 01: +0,1.38,1
64,Nov 09 2017 01: +0,1.153,2
65,Nov 10 2017 01: +0,1.109,2
66,Nov 11 2017 01: +0,1.165,1
67,Nov 12 2017 01: +0,1.025,5
68,Nov 13 2017 01: +0,1.206,2
69,Nov 14 2017 01: +0,1.206,2
70,Nov 15 2017 01: +0,1.201,3
71,Nov 16 2017 01: +0,1.131,5
72,Nov 17 2017 01: +0,1.393,2
73,Nov 18 2017 01: +0,1.432,2
74,Nov 20 2017 01: +0,1.34,1
75,Nov 21 2017 01: +0,1.33,1
76,Nov 22 2017 01: +0,1.324,2
77,Nov 23 2017 01: +0,1.099,4
78,Nov 24 2017 01: +0,1.305,2
79,Nov 25 2017 01: +0,0.975,3
80,Nov 26 2017 01: +0,1.206,4
81,Nov 27 2017 01: +0,1.3,1
82,Nov 29 2017 01: +0,1.337,3
83,Nov 30 2017 01: +0,1.38,1
84,Dec 01 2017 01: +0,1.377,1
85,Dec 02 2017 01: +0,1.362,3
86,Dec 03 2017 01: +0,1.091,1
87,Dec 04 2017 01: +0,1.526,1
88,Dec 07 2017 01: +0,1.192,2
89,Dec 08 2017 01: +0,1.166,3
90,Dec 09 2017 01: +0,1.425,2
91,Dec 10 2017 01: +0,1.423,5
92,Dec 11 2017 01: +0,1.622,4
93,Dec 12 2017 01: +0,1.778,2
94,Dec 13 2017 01: +0,2.22,1
95,Dec 14 2017 01: +0,1.656,2
96,Dec 15 2017 01: +0,1.582,2
97,Dec 19 2017 01: +0,1.651,2
98,Dec 20 2017 01: +0,1.299,1
99,Dec 21 2017 01: +0,1.004,2
100,Dec 22 2017 01: +0,1.49,1
