,time,price,volume
0,Jan 06 2017 01: +0,21.028,1
1,Jan 07 2017 01: +0,15.999,4
2,Jan 08 2017 01: +0,10.35,1
3,Jan 09 2017 01: +0,12.603,1
4,Jan 10 2017 01: +0,7.556,3
5,Jan 11 2017 01: +0,5.794,6
6,Jan 12 2017 01: +0,1.371,143
7,Jan 13 2017 01: +0,1.353,202
8,Jan 14 2017 01: +0,1.4,176
9,Jan 15 2017 01: +0,1.468,166
10,Jan 16 2017 01: +0,1.543,129
11,Jan 17 2017 01: +0,1.636,94
12,Jan 18 2017 01: +0,1.434,118
13,Jan 19 2017 01: +0,1.445,126
14,Jan 20 2017 01: +0,1.639,92
15,Jan 21 2017 01: +0,1.607,75
16,Jan 22 2017 01: +0,1.565,87
17,Jan 23 2017 01: +0,1.524,48
18,Jan 24 2017 01: +0,1.593,39
19,Jan 25 2017 01: +0,1.468,50
20,Jan 26 2017 01: +0,1.471,73
21,Jan 27 2017 01: +0,1.643,85
22,Jan 28 2017 01: +0,1.874,99
23,Jan 29 2017 01: +0,1.829,83
24,Jan 30 2017 01: +0,1.8,52
25,Jan 31 2017 01: +0,1.79,58
26,Feb 01 2017 01: +0,1.61,58
27,Feb 02 2017 01: +0,1.641,72
28,Feb 03 2017 01: +0,1.746,72
29,Feb 04 2017 01: +0,1.733,69
30,Feb 05 2017 01: +0,1.554,67
31,Feb 06 2017 01: +0,1.667,57
32,Feb 07 2017 01: +0,1.663,59
33,Feb 08 2017 01: +0,1.697,47
34,Feb 09 2017 01: +0,1.791,64
35,Feb 10 2017 01: +0,1.833,73
36,Feb 11 2017 01: +0,1.854,70
37,Feb 12 2017 01: +0,1.973,72
38,Feb 13 2017 01: +0,1.959,48
39,Feb 14 2017 01: +0,1.937,47
40,Feb 15 2017 01: +0,1.935,48
41,Feb 16 2017 01: +0,1.836,50
42,Feb 17 2017 01: +0,1.749,54
43,Feb 18 2017 01: +0,1.796,63
44,Feb 19 2017 01: +0,1.902,62
45,Feb 20 2017 01: +0,1.808,43
46,Feb 21 2017 01: +0,1.878,47
47,Feb 22 2017 01: +0,1.799,35
48,Feb 23 2017 01: +0,1.665,61
49,Feb 24 2017 01: +0,1.518,61
50,Feb 25 2017 01: +0,1.606,60
51,Feb 26 2017 01: +0,1.585,47
52,Feb 27 2017 01: +0,1.443,33
53,Feb 28 2017 01: +0,1.394,38
54,Mar 01 2017 01: +0,1.389,41
55,Mar 02 2017 01: +0,1.334,44
56,Mar 03 2017 01: +0,1.379,51
57,Mar 04 2017 01: +0,1.445,46
58,Mar 05 2017 01: +0,1.524,55
59,Mar 06 2017 01: +0,1.513,50
60,Mar 07 2017 01: +0,1.511,45
61,Mar 08 2017 01: +0,1.436,40
62,Mar 09 2017 01: +0,1.524,45
63,Mar 10 2017 01: +0,1.425,46
64,Mar 11 2017 01: +0,1.372,46
65,Mar 12 2017 01: +0,1.414,62
66,Mar 13 2017 01: +0,1.448,38
67,Mar 14 2017 01: +0,1.471,38
68,Mar 15 2017 01: +0,1.458,28
69,Mar 16 2017 01: +0,1.422,41
70,Mar 17 2017 01: +0,1.356,51
71,Mar 18 2017 01: +0,1.427,46
72,Mar 19 2017 01: +0,1.367,44
73,Mar 20 2017 01: +0,1.332,32
74,Mar 21 2017 01: +0,1.37,33
75,Mar 22 2017 01: +0,1.351,25
76,Mar 23 2017 01: +0,1.281,44
77,Mar 24 2017 01: +0,1.302,51
78,Mar 25 2017 01: +0,1.325,52
79,Mar 26 2017 01: +0,1.336,45
80,Mar 27 2017 01: +0,1.311,26
81,Mar 28 2017 01: +0,1.306,33
82,Mar 29 2017 01: +0,1.246,29
83,Mar 30 2017 01: +0,1.167,38
84,Mar 31 2017 01: +0,1.107,40
85,Apr 01 2017 01: +0,1.114,35
86,Apr 02 2017 01: +0,1.156,45
87,Apr 03 2017 01: +0,1.158,34
88,Apr 04 2017 01: +0,1.129,29
89,Apr 05 2017 01: +0,1.051,31
90,Apr 06 2017 01: +0,1.118,38
91,Apr 07 2017 01: +0,1.1,27
92,Apr 08 2017 01: +0,1.031,38
93,Apr 09 2017 01: +0,1.045,50
94,Apr 10 2017 01: +0,1.042,20
95,Apr 11 2017 01: +0,1.028,36
96,Apr 12 2017 01: +0,1.052,32
97,Apr 13 2017 01: +0,1.042,49
98,Apr 14 2017 01: +0,1.064,46
99,Apr 15 2017 01: +0,1.098,54
100,Apr 16 2017 01: +0,1.13,32
101,Apr 17 2017 01: +0,1.124,39
102,Apr 18 2017 01: +0,1.111,27
103,Apr 19 2017 01: +0,1.054,34
104,Apr 20 2017 01: +0,1.098,40
105,Apr 21 2017 01: +0,1.08,36
106,Apr 22 2017 01: +0,1.129,42
107,Apr 23 2017 01: +0,1.062,38
108,Apr 24 2017 01: +0,1.172,30
109,Apr 25 2017 01: +0,1.106,24
110,Apr 26 2017 01: +0,1.102,21
111,Apr 27 2017 01: +0,1.05,23
112,Apr 28 2017 01: +0,1.062,27
113,Apr 29 2017 01: +0,1.076,32
114,Apr 30 2017 01: +0,1.044,42
115,May 01 2017 01: +0,1.011,42
