,time,price,volume
0,Jun 28 2019 01: +0,2.25,25
1,Jun 29 2019 01: +0,2.356,213
2,Jun 30 2019 01: +0,2.506,147
3,Jul 01 2019 01: +0,2.372,175
4,Jul 02 2019 01: +0,2.254,197
5,Jul 03 2019 01: +0,2.222,190
6,Jul 04 2019 01: +0,2.233,222
7,Jul 05 2019 01: +0,2.045,159
8,Jul 06 2019 01: +0,2.108,169
9,Jul 07 2019 01: +0,2.105,159
10,Jul 08 2019 01: +0,2.111,147
11,Jul 09 2019 01: +0,2.25,171
12,Jul 10 2019 01: +0,2.29,136
13,Jul 11 2019 01: +0,2.404,123
14,Jul 12 2019 01: +0,2.364,104
15,Jul 13 2019 01: +0,2.474,162
16,Jul 14 2019 01: +0,2.518,131
17,Jul 15 2019 01: +0,2.519,108
18,Jul 16 2019 01: +0,2.532,95
19,Jul 17 2019 01: +0,2.454,111
20,Jul 18 2019 01: +0,2.543,102
21,Jul 19 2019 01: +0,2.532,126
22,Jul 20 2019 01: +0,2.648,128
23,Jul 21 2019 01: +0,2.58,68
24,Jul 22 2019 01: +0,2.596,106
25,Jul 23 2019 01: +0,2.525,76
26,Jul 24 2019 01: +0,2.62,98
27,Jul 25 2019 01: +0,2.581,115
28,Jul 26 2019 01: +0,2.206,113
29,Jul 27 2019 01: +0,2.273,101
30,Jul 28 2019 01: +0,2.282,94
31,Jul 29 2019 01: +0,2.336,58
32,Jul 30 2019 01: +0,2.256,66
33,Jul 31 2019 01: +0,2.281,81
34,Aug 01 2019 01: +0,2.226,94
35,Aug 02 2019 01: +0,2.245,92
36,Aug 03 2019 01: +0,2.272,77
37,Aug 04 2019 01: +0,2.381,60
38,Aug 05 2019 01: +0,2.299,70
39,Aug 06 2019 01: +0,2.366,72
40,Aug 07 2019 01: +0,2.369,84
41,Aug 08 2019 01: +0,2.403,68
42,Aug 09 2019 01: +0,2.22,65
43,Aug 10 2019 01: +0,2.226,73
44,Aug 11 2019 01: +0,2.268,51
45,Aug 12 2019 01: +0,2.23,62
46,Aug 13 2019 01: +0,2.249,49
47,Aug 14 2019 01: +0,2.123,68
48,Aug 15 2019 01: +0,2.071,75
49,Aug 16 2019 01: +0,2.104,72
50,Aug 17 2019 01: +0,2.1,62
51,Aug 18 2019 01: +0,2.088,56
52,Aug 19 2019 01: +0,2.127,67
53,Aug 20 2019 01: +0,1.988,45
54,Aug 21 2019 01: +0,2.086,51
55,Aug 22 2019 01: +0,2.018,49
56,Aug 23 2019 01: +0,1.992,48
57,Aug 24 2019 01: +0,1.863,87
58,Aug 25 2019 01: +0,1.882,80
59,Aug 26 2019 01: +0,1.913,38
60,Aug 27 2019 01: +0,1.835,47
61,Aug 28 2019 01: +0,1.83,47
62,Aug 29 2019 01: +0,1.797,64
63,Aug 30 2019 01: +0,1.778,56
64,Aug 31 2019 01: +0,1.793,59
65,Sep 01 2019 01: +0,1.703,57
66,Sep 02 2019 01: +0,1.798,76
67,Sep 03 2019 01: +0,1.702,60
