,time,price,volume
0,May 31 2018 01: +0,2.449,2
1,Jun 01 2018 01: +0,2.387,24
2,Jun 02 2018 01: +0,3.483,22
3,Jun 03 2018 01: +0,3.237,15
4,Jun 04 2018 01: +0,3.011,10
5,Jun 05 2018 01: +0,2.656,15
6,Jun 06 2018 01: +0,2.458,12
7,Jun 07 2018 01: +0,2.287,19
8,Jun 08 2018 01: +0,2.358,20
9,Jun 09 2018 01: +0,2.228,17
10,Jun 10 2018 01: +0,2.408,26
11,Jun 11 2018 01: +0,2.626,14
12,Jun 12 2018 01: +0,2.607,25
13,Jun 13 2018 01: +0,2.867,14
14,Jun 14 2018 01: +0,2.621,17
15,Jun 15 2018 01: +0,3.031,13
16,Jun 16 2018 01: +0,2.876,14
17,Jun 17 2018 01: +0,3.061,18
18,Jun 18 2018 01: +0,2.853,12
19,Jun 19 2018 01: +0,2.805,15
20,Jun 20 2018 01: +0,2.63,16
21,Jun 21 2018 01: +0,2.882,17
22,Jun 22 2018 01: +0,2.644,24
23,Jun 23 2018 01: +0,2.921,12
24,Jun 24 2018 01: +0,2.886,17
25,Jun 25 2018 01: +0,2.843,17
26,Jun 26 2018 01: +0,2.858,14
27,Jun 27 2018 01: +0,2.847,9
28,Jun 28 2018 01: +0,2.841,13
29,Jun 29 2018 01: +0,2.782,13
30,Jun 30 2018 01: +0,2.816,23
31,Jul 01 2018 01: +0,3.03,19
32,Jul 02 2018 01: +0,2.884,16
33,Jul 03 2018 01: +0,2.969,13
34,Jul 04 2018 01: +0,3.014,14
35,Jul 05 2018 01: +0,2.999,24
36,Jul 06 2018 01: +0,2.974,16
37,Jul 07 2018 01: +0,2.978,16
38,Jul 08 2018 01: +0,3.227,21
39,Jul 09 2018 01: +0,3.246,21
40,Jul 10 2018 01: +0,3.719,17
41,Jul 11 2018 01: +0,3.994,14
42,Jul 12 2018 01: +0,4.002,17
43,Jul 13 2018 01: +0,3.552,8
44,Jul 14 2018 01: +0,3.615,17
45,Jul 15 2018 01: +0,3.583,11
46,Jul 16 2018 01: +0,4.068,8
47,Jul 17 2018 01: +0,3.687,16
48,Jul 18 2018 01: +0,3.834,15
49,Jul 19 2018 01: +0,3.895,11
50,Jul 20 2018 01: +0,4.089,11
51,Jul 21 2018 01: +0,3.764,17
52,Jul 22 2018 01: +0,3.869,7
53,Jul 23 2018 01: +0,3.71,9
54,Jul 24 2018 01: +0,3.634,14
55,Jul 25 2018 01: +0,3.696,17
56,Jul 26 2018 01: +0,3.966,13
57,Jul 27 2018 01: +0,3.571,9
58,Jul 28 2018 01: +0,3.665,12
59,Jul 29 2018 01: +0,4.047,8
60,Jul 30 2018 01: +0,3.985,10
61,Jul 31 2018 01: +0,3.871,13
62,Aug 01 2018 01: +0,4.18,9
63,Aug 02 2018 01: +0,3.676,11
64,Aug 03 2018 01: +0,3.986,11
65,Aug 04 2018 01: +0,3.94,15
66,Aug 05 2018 01: +0,3.994,18
67,Aug 06 2018 01: +0,4.091,26
68,Aug 07 2018 01: +0,3.925,17
69,Aug 08 2018 01: +0,3.91,13
70,Aug 09 2018 01: +0,3.982,13
71,Aug 10 2018 01: +0,3.95,19
72,Aug 11 2018 01: +0,4.233,13
73,Aug 12 2018 01: +0,4.32,14
74,Aug 13 2018 01: +0,4.279,12
75,Aug 14 2018 01: +0,4.074,14
76,Aug 15 2018 01: +0,4.229,8
77,Aug 16 2018 01: +0,3.943,11
78,Aug 17 2018 01: +0,3.635,11
79,Aug 18 2018 01: +0,3.928,9
80,Aug 19 2018 01: +0,3.946,9
81,Aug 20 2018 01: +0,3.99,13
82,Aug 21 2018 01: +0,3.666,7
83,Aug 22 2018 01: +0,3.658,11
84,Aug 23 2018 01: +0,3.768,12
85,Aug 24 2018 01: +0,3.902,8
86,Aug 25 2018 01: +0,3.686,13
87,Aug 26 2018 01: +0,3.752,8
88,Aug 27 2018 01: +0,3.729,10
89,Aug 28 2018 01: +0,3.404,12
90,Aug 29 2018 01: +0,3.567,9
91,Aug 30 2018 01: +0,3.542,10
92,Aug 31 2018 01: +0,3.585,9
93,Sep 01 2018 01: +0,3.276,11
94,Sep 02 2018 01: +0,3.643,12
95,Sep 03 2018 01: +0,3.646,15
96,Sep 04 2018 01: +0,3.216,7
97,Sep 05 2018 01: +0,3.112,8
