,time,price,volume
0,Aug 16 2019 01: +0,2.16,25
1,Aug 17 2019 01: +0,1.993,28
2,Aug 18 2019 01: +0,1.817,19
3,Aug 19 2019 01: +0,1.654,26
4,Aug 20 2019 01: +0,1.486,40
5,Aug 21 2019 01: +0,1.572,38
6,Aug 22 2019 01: +0,1.496,35
7,Aug 23 2019 01: +0,1.419,36
8,Aug 24 2019 01: +0,1.424,20
9,Aug 25 2019 01: +0,1.529,25
10,Aug 26 2019 01: +0,1.579,29
11,Aug 27 2019 01: +0,1.435,18
12,Aug 28 2019 01: +0,1.435,24
13,Aug 29 2019 01: +0,1.407,28
14,Aug 30 2019 01: +0,1.344,28
15,Aug 31 2019 01: +0,1.371,32
16,Sep 01 2019 01: +0,1.396,25
17,Sep 02 2019 01: +0,1.495,31
18,Sep 03 2019 01: +0,1.467,19
19,Sep 04 2019 01: +0,1.454,16
20,Sep 05 2019 01: +0,1.418,27
21,Sep 06 2019 01: +0,1.422,27
22,Sep 07 2019 01: +0,1.469,29
23,Sep 08 2019 01: +0,1.363,31
24,Sep 09 2019 01: +0,1.356,19
25,Sep 10 2019 01: +0,1.248,22
26,Sep 11 2019 01: +0,1.238,16
27,Sep 12 2019 01: +0,1.321,26
28,Sep 13 2019 01: +0,1.307,33
29,Sep 14 2019 01: +0,1.292,27
30,Sep 15 2019 01: +0,1.369,18
31,Sep 16 2019 01: +0,1.31,25
32,Sep 17 2019 01: +0,1.369,15
33,Sep 18 2019 01: +0,1.34,16
34,Sep 19 2019 01: +0,1.328,18
35,Sep 20 2019 01: +0,1.235,27
36,Sep 21 2019 01: +0,1.303,22
37,Sep 22 2019 01: +0,1.242,23
38,Sep 23 2019 01: +0,1.277,18
39,Sep 24 2019 01: +0,1.239,19
40,Sep 25 2019 01: +0,1.25,24
41,Sep 26 2019 01: +0,1.244,19
42,Sep 27 2019 01: +0,1.228,31
43,Sep 28 2019 01: +0,1.187,49
44,Sep 29 2019 01: +0,1.27,25
45,Sep 30 2019 01: +0,1.282,15
46,Oct 01 2019 01: +0,1.267,24
47,Oct 02 2019 01: +0,1.214,21
48,Oct 03 2019 01: +0,1.205,17
49,Oct 04 2019 01: +0,1.189,29
50,Oct 05 2019 01: +0,1.351,27
51,Oct 06 2019 01: +0,1.373,22
52,Oct 07 2019 01: +0,1.451,11
53,Oct 08 2019 01: +0,1.213,20
54,Oct 09 2019 01: +0,1.235,11
55,Oct 10 2019 01: +0,1.281,15
56,Oct 11 2019 01: +0,1.26,23
57,Oct 12 2019 01: +0,1.159,35
58,Oct 13 2019 01: +0,1.17,32
59,Oct 14 2019 01: +0,1.244,31
60,Oct 15 2019 01: +0,1.208,15
61,Oct 16 2019 01: +0,1.193,22
62,Oct 17 2019 01: +0,1.271,19
63,Oct 18 2019 01: +0,1.249,32
64,Oct 19 2019 01: +0,1.158,31
65,Oct 20 2019 01: +0,1.155,39
66,Oct 21 2019 01: +0,1.217,25
67,Oct 22 2019 01: +0,1.192,22
68,Oct 23 2019 01: +0,1.197,22
69,Oct 24 2019 01: +0,1.166,15
70,Oct 25 2019 01: +0,1.153,26
71,Oct 26 2019 01: +0,1.146,23
72,Oct 27 2019 01: +0,1.214,24
73,Oct 28 2019 01: +0,1.188,17
74,Oct 29 2019 01: +0,1.18,19
75,Oct 30 2019 01: +0,1.168,13
76,Oct 31 2019 01: +0,1.116,22
77,Nov 01 2019 01: +0,1.173,29
78,Nov 02 2019 01: +0,1.152,24
79,Nov 03 2019 01: +0,1.229,19
80,Nov 04 2019 01: +0,1.25,11
81,Nov 05 2019 01: +0,1.153,15
82,Nov 06 2019 01: +0,1.307,13
83,Nov 07 2019 01: +0,1.301,11
84,Nov 08 2019 01: +0,1.246,21
85,Nov 09 2019 01: +0,1.292,18
86,Nov 10 2019 01: +0,1.245,21
87,Nov 11 2019 01: +0,1.179,14
88,Nov 12 2019 01: +0,1.25,19
89,Nov 13 2019 01: +0,1.224,15
90,Nov 14 2019 01: +0,1.173,24
91,Nov 15 2019 01: +0,1.254,26
92,Nov 16 2019 01: +0,1.399,22
93,Nov 17 2019 01: +0,1.386,20
94,Nov 18 2019 01: +0,1.372,21
95,Nov 19 2019 01: +0,1.234,20
96,Nov 20 2019 01: +0,1.181,22
97,Nov 21 2019 01: +0,1.313,22
98,Nov 22 2019 01: +0,1.341,25
99,Nov 23 2019 01: +0,1.34,22
100,Nov 24 2019 01: +0,1.311,16
101,Nov 25 2019 01: +0,1.297,23
102,Nov 26 2019 01: +0,1.301,20
103,Nov 27 2019 01: +0,1.271,21
104,Nov 28 2019 01: +0,1.144,22
105,Nov 29 2019 01: +0,1.223,25
106,Nov 30 2019 01: +0,1.245,26
107,Dec 01 2019 01: +0,1.219,19
108,Dec 02 2019 01: +0,1.224,19
109,Dec 03 2019 01: +0,1.264,19
110,Dec 04 2019 01: +0,1.357,11
111,Dec 05 2019 01: +0,1.535,9
112,Dec 06 2019 01: +0,1.271,22
113,Dec 07 2019 01: +0,1.389,26
114,Dec 08 2019 01: +0,1.442,23
115,Dec 09 2019 01: +0,1.382,21
116,Dec 10 2019 01: +0,1.461,25
