,time,price,volume
0,Dec 26 2019 01: +0,5.187,21
1,Dec 27 2019 01: +0,3.306,36
2,Dec 28 2019 01: +0,3.334,62
3,Dec 29 2019 01: +0,3.364,60
4,Dec 30 2019 01: +0,3.084,43
5,Dec 31 2019 01: +0,2.943,54
6,Jan 01 2020 01: +0,2.908,64
7,Jan 02 2020 01: +0,2.86,108
8,Jan 03 2020 01: +0,2.793,83
9,Jan 04 2020 01: +0,2.82,64
10,Jan 05 2020 01: +0,2.598,73
11,Jan 06 2020 01: +0,2.779,66
12,Jan 07 2020 01: +0,2.793,55
13,Jan 08 2020 01: +0,2.98,76
14,Jan 09 2020 01: +0,2.753,39
15,Jan 10 2020 01: +0,2.839,55
16,Jan 11 2020 01: +0,2.777,47
17,Jan 12 2020 01: +0,2.632,51
18,Jan 13 2020 01: +0,2.551,34
19,Jan 14 2020 01: +0,2.511,34
20,Jan 15 2020 01: +0,2.547,42
21,Jan 16 2020 01: +0,2.674,34
22,Jan 17 2020 01: +0,2.583,39
23,Jan 18 2020 01: +0,2.49,47
24,Jan 19 2020 01: +0,2.609,47
25,Jan 20 2020 01: +0,2.442,37
26,Jan 21 2020 01: +0,2.369,38
27,Jan 22 2020 01: +0,2.292,32
28,Jan 23 2020 01: +0,2.414,46
29,Jan 24 2020 01: +0,2.422,62
30,Jan 25 2020 01: +0,2.439,62
31,Jan 26 2020 01: +0,2.183,53
32,Jan 27 2020 01: +0,2.659,45
33,Jan 28 2020 01: +0,2.31,24
34,Jan 29 2020 01: +0,2.399,40
35,Jan 30 2020 01: +0,2.425,36
36,Jan 31 2020 01: +0,2.306,42
37,Feb 01 2020 01: +0,2.425,60
38,Feb 02 2020 01: +0,2.395,45
39,Feb 03 2020 01: +0,2.422,39
40,Feb 04 2020 01: +0,2.377,31
41,Feb 05 2020 01: +0,2.418,35
42,Feb 06 2020 01: +0,2.351,43
43,Feb 07 2020 01: +0,2.401,54
44,Feb 08 2020 01: +0,2.523,46
45,Feb 09 2020 01: +0,2.484,53
46,Feb 10 2020 01: +0,2.445,43
47,Feb 11 2020 01: +0,2.539,39
48,Feb 12 2020 01: +0,2.6,35
49,Feb 13 2020 01: +0,2.608,47
50,Feb 14 2020 01: +0,2.552,55
51,Feb 15 2020 01: +0,2.751,53
52,Feb 16 2020 01: +0,2.68,41
53,Feb 17 2020 01: +0,2.866,43
54,Feb 18 2020 01: +0,2.861,42
55,Feb 19 2020 01: +0,2.766,45
56,Feb 20 2020 01: +0,2.665,36
57,Feb 21 2020 01: +0,2.55,33
58,Feb 22 2020 01: +0,2.548,53
59,Feb 23 2020 01: +0,2.603,51
60,Feb 24 2020 01: +0,2.679,23
61,Feb 25 2020 01: +0,2.485,32
62,Feb 26 2020 01: +0,2.571,61
63,Feb 27 2020 01: +0,2.595,32
64,Feb 28 2020 01: +0,2.277,57
65,Feb 29 2020 01: +0,2.457,57
66,Mar 01 2020 01: +0,2.507,27
67,Mar 02 2020 01: +0,2.45,24
68,Mar 03 2020 01: +0,2.452,25
69,Mar 04 2020 01: +0,2.562,35
70,Mar 05 2020 01: +0,2.499,32
71,Mar 06 2020 01: +0,2.431,39
72,Mar 07 2020 01: +0,2.541,50
73,Mar 08 2020 01: +0,2.877,37
74,Mar 09 2020 01: +0,2.848,32
75,Mar 10 2020 01: +0,2.492,23
76,Mar 11 2020 01: +0,2.584,28
77,Mar 12 2020 01: +0,2.511,32
78,Mar 13 2020 01: +0,2.58,38
79,Mar 14 2020 01: +0,2.611,44
80,Mar 15 2020 01: +0,2.431,31
81,Mar 16 2020 01: +0,2.504,47
82,Mar 17 2020 01: +0,2.492,27
83,Mar 18 2020 01: +0,2.548,35
84,Mar 19 2020 01: +0,2.467,42
85,Mar 20 2020 01: +0,2.503,58
86,Mar 21 2020 01: +0,2.464,36
87,Mar 22 2020 01: +0,2.434,61
88,Mar 23 2020 01: +0,2.357,33
89,Mar 24 2020 01: +0,2.297,45
90,Mar 25 2020 01: +0,2.437,53
91,Mar 26 2020 01: +0,2.205,46
92,Mar 27 2020 01: +0,2.313,45
93,Mar 28 2020 01: +0,2.297,41
94,Mar 29 2020 01: +0,2.36,34
95,Mar 30 2020 01: +0,2.34,53
96,Mar 31 2020 01: +0,2.337,53
97,Apr 01 2020 01: +0,2.309,54
98,Apr 02 2020 01: +0,2.32,39
99,Apr 03 2020 01: +0,2.357,58
100,Apr 04 2020 01: +0,2.402,42
101,Apr 05 2020 01: +0,2.629,50
102,Apr 06 2020 01: +0,2.495,44
103,Apr 07 2020 01: +0,2.569,68
104,Apr 08 2020 01: +0,2.521,35
105,Apr 09 2020 01: +0,2.654,53
106,Apr 10 2020 01: +0,2.642,45
107,Apr 11 2020 01: +0,2.699,42
108,Apr 12 2020 01: +0,2.611,52
109,Apr 13 2020 01: +0,2.66,48
110,Apr 14 2020 01: +0,2.683,66
111,Apr 15 2020 01: +0,2.602,33
112,Apr 16 2020 01: +0,2.687,40
113,Apr 17 2020 01: +0,2.676,34
114,Apr 18 2020 01: +0,2.559,41
115,Apr 19 2020 01: +0,2.616,37
116,Apr 20 2020 01: +0,2.57,36
117,Apr 21 2020 01: +0,2.586,45
118,Apr 22 2020 01: +0,2.499,44
119,Apr 23 2020 01: +0,2.439,35
120,Apr 24 2020 01: +0,2.64,40
121,Apr 25 2020 01: +0,2.543,45
122,Apr 26 2020 01: +0,2.425,42
123,Apr 27 2020 01: +0,2.436,30
124,Apr 28 2020 01: +0,2.445,35
125,Apr 29 2020 01: +0,2.393,45
126,Apr 30 2020 01: +0,2.531,46
127,May 01 2020 01: +0,2.194,55
128,May 02 2020 01: +0,2.232,25
129,May 03 2020 01: +0,2.128,45
130,May 04 2020 01: +0,2.231,39
131,May 05 2020 01: +0,2.35,35
132,May 06 2020 01: +0,2.334,30
133,May 07 2020 01: +0,2.312,39
134,May 08 2020 01: +0,2.371,42
135,May 09 2020 01: +0,2.439,51
136,May 10 2020 01: +0,2.492,46
137,May 11 2020 01: +0,2.661,33
138,May 12 2020 01: +0,2.626,37
139,May 13 2020 01: +0,2.666,31
140,May 14 2020 01: +0,2.569,30
141,May 15 2020 01: +0,2.6,35
142,May 16 2020 01: +0,2.657,51
143,May 17 2020 01: +0,2.644,36
144,May 18 2020 01: +0,2.603,19
145,May 19 2020 01: +0,2.516,45
146,May 20 2020 01: +0,2.747,35
147,May 21 2020 01: +0,2.692,32
148,May 22 2020 01: +0,2.723,34
149,May 23 2020 01: +0,2.815,46
150,May 24 2020 01: +0,2.848,29
151,May 25 2020 01: +0,2.827,32
152,May 26 2020 01: +0,2.862,29
153,May 27 2020 01: +0,2.808,35
154,May 28 2020 01: +0,2.705,45
155,May 29 2020 01: +0,2.851,38
156,May 30 2020 01: +0,2.716,29
157,May 31 2020 01: +0,2.814,29
158,Jun 01 2020 01: +0,2.877,28
159,Jun 02 2020 01: +0,2.714,30
160,Jun 03 2020 01: +0,2.824,26
161,Jun 04 2020 01: +0,2.78,26
162,Jun 05 2020 01: +0,2.72,23
163,Jun 06 2020 01: +0,2.68,33
164,Jun 07 2020 01: +0,2.763,29
165,Jun 08 2020 01: +0,2.68,26
166,Jun 09 2020 01: +0,2.716,22
167,Jun 10 2020 01: +0,2.679,36
168,Jun 11 2020 01: +0,2.61,29
169,Jun 12 2020 01: +0,2.338,35
170,Jun 13 2020 01: +0,2.346,45
171,Jun 14 2020 01: +0,2.303,30
172,Jun 15 2020 01: +0,2.348,22
173,Jun 16 2020 01: +0,2.406,15
174,Jun 17 2020 01: +0,2.191,30
175,Jun 18 2020 01: +0,2.175,25
176,Jun 19 2020 01: +0,2.241,31
177,Jun 20 2020 01: +0,2.184,29
178,Jun 21 2020 01: +0,2.16,38
179,Jun 22 2020 01: +0,2.18,21
180,Jun 23 2020 01: +0,2.115,24
181,Jun 24 2020 01: +0,2.149,25
182,Jun 25 2020 01: +0,2.028,24
183,Jun 26 2020 01: +0,1.914,27
184,Jun 27 2020 01: +0,1.886,28
185,Jun 28 2020 01: +0,1.997,32
186,Jun 29 2020 01: +0,2.023,28
187,Jun 30 2020 01: +0,2.025,32
188,Jul 01 2020 01: +0,1.903,18
189,Jul 02 2020 01: +0,2.009,34
190,Jul 03 2020 01: +0,2.15,41
191,Jul 04 2020 01: +0,2.199,32
192,Jul 05 2020 01: +0,2.238,39
193,Jul 06 2020 01: +0,2.172,44
194,Jul 07 2020 01: +0,2.352,35
195,Jul 08 2020 01: +0,2.386,39
196,Jul 09 2020 01: +0,2.384,45
197,Jul 10 2020 01: +0,2.216,29
198,Jul 11 2020 01: +0,2.405,39
199,Jul 12 2020 01: +0,2.548,40
200,Jul 13 2020 01: +0,2.42,36
201,Jul 14 2020 01: +0,2.328,37
202,Jul 15 2020 01: +0,2.136,29
203,Jul 16 2020 01: +0,2.213,29
204,Jul 17 2020 01: +0,2.232,34
205,Jul 18 2020 01: +0,2.488,33
206,Jul 19 2020 01: +0,2.501,22
207,Jul 20 2020 01: +0,2.507,30
208,Jul 21 2020 01: +0,2.49,25
209,Jul 22 2020 01: +0,2.512,32
210,Jul 23 2020 01: +0,2.391,34
211,Jul 24 2020 01: +0,2.44,41
212,Jul 25 2020 01: +0,2.386,36
213,Jul 26 2020 01: +0,2.345,23
214,Jul 27 2020 01: +0,2.458,25
215,Jul 28 2020 01: +0,2.436,26
216,Jul 29 2020 01: +0,2.332,20
217,Jul 30 2020 01: +0,2.229,31
218,Jul 31 2020 01: +0,2.311,28
219,Aug 01 2020 01: +0,2.206,38
220,Aug 02 2020 01: +0,2.304,24
221,Aug 03 2020 01: +0,2.228,24
222,Aug 04 2020 01: +0,2.156,24
223,Aug 05 2020 01: +0,2.153,29
224,Aug 06 2020 01: +0,2.14,30
225,Aug 07 2020 01: +0,2.166,22
226,Aug 08 2020 01: +0,2.177,39
227,Aug 09 2020 01: +0,2.145,50
228,Aug 10 2020 01: +0,2.073,51
229,Aug 11 2020 01: +0,2.024,48
230,Aug 12 2020 01: +0,2.035,41
231,Aug 13 2020 01: +0,2.045,45
232,Aug 14 2020 01: +0,1.939,42
233,Aug 15 2020 01: +0,2.026,32
234,Aug 16 2020 01: +0,2.006,29
235,Aug 17 2020 01: +0,2.018,34
236,Aug 18 2020 01: +0,1.905,31
237,Aug 19 2020 01: +0,1.904,31
238,Aug 20 2020 01: +0,1.903,30
239,Aug 21 2020 01: +0,1.903,38
240,Aug 22 2020 01: +0,1.878,30
241,Aug 23 2020 01: +0,1.858,41
242,Aug 24 2020 01: +0,1.935,35
243,Aug 25 2020 01: +0,1.924,52
244,Aug 26 2020 01: +0,1.892,32
245,Aug 27 2020 01: +0,2.005,37
246,Aug 28 2020 01: +0,1.865,33
247,Aug 29 2020 01: +0,1.944,27
248,Aug 30 2020 01: +0,1.876,22
249,Aug 31 2020 01: +0,1.831,22
250,Sep 01 2020 01: +0,1.837,22
251,Sep 02 2020 01: +0,1.967,24
252,Sep 03 2020 01: +0,2.054,26
253,Sep 04 2020 01: +0,1.978,27
254,Sep 05 2020 01: +0,1.978,34
255,Sep 06 2020 01: +0,1.999,37
256,Sep 07 2020 01: +0,2.011,36
257,Sep 08 2020 01: +0,1.91,30
258,Sep 09 2020 01: +0,1.866,24
259,Sep 10 2020 01: +0,1.964,19
260,Sep 11 2020 01: +0,1.968,37
261,Sep 12 2020 01: +0,1.937,44
262,Sep 13 2020 01: +0,1.833,25
263,Sep 14 2020 01: +0,1.767,20
264,Sep 15 2020 01: +0,1.709,25
265,Sep 16 2020 01: +0,1.795,22
266,Sep 17 2020 01: +0,1.824,23
267,Sep 18 2020 01: +0,1.799,36
268,Sep 19 2020 01: +0,1.846,26
269,Sep 20 2020 01: +0,1.891,34
270,Sep 21 2020 01: +0,1.911,22
271,Sep 22 2020 01: +0,1.878,26
272,Sep 23 2020 01: +0,1.812,25
273,Sep 24 2020 01: +0,1.84,21
274,Sep 25 2020 01: +0,1.769,29
275,Sep 26 2020 01: +0,1.745,31
276,Sep 27 2020 01: +0,1.776,36
277,Sep 28 2020 01: +0,1.727,18
278,Sep 29 2020 01: +0,1.701,21
279,Sep 30 2020 01: +0,1.746,25
280,Oct 01 2020 01: +0,1.639,29
281,Oct 02 2020 01: +0,1.74,22
282,Oct 03 2020 01: +0,1.664,39
283,Oct 04 2020 01: +0,1.552,24
284,Oct 05 2020 01: +0,1.638,40
285,Oct 06 2020 01: +0,1.631,33
286,Oct 07 2020 01: +0,1.552,44
287,Oct 08 2020 01: +0,1.49,26
288,Oct 09 2020 01: +0,1.467,38
289,Oct 10 2020 01: +0,1.612,44
290,Oct 11 2020 01: +0,1.551,41
291,Oct 12 2020 01: +0,1.576,24
292,Oct 13 2020 01: +0,1.613,33
293,Oct 14 2020 01: +0,1.56,25
294,Oct 15 2020 01: +0,1.683,18
295,Oct 16 2020 01: +0,1.648,41
296,Oct 17 2020 01: +0,1.594,28
297,Oct 18 2020 01: +0,1.559,28
298,Oct 19 2020 01: +0,1.628,31
299,Oct 20 2020 01: +0,1.652,33
300,Oct 21 2020 01: +0,1.671,29
301,Oct 22 2020 01: +0,1.706,32
302,Oct 23 2020 01: +0,1.717,31
303,Oct 24 2020 01: +0,1.713,28
304,Oct 25 2020 01: +0,1.709,27
305,Oct 26 2020 01: +0,1.665,33
306,Oct 27 2020 01: +0,1.751,41
307,Oct 28 2020 01: +0,1.673,40
308,Oct 29 2020 01: +0,1.719,36
309,Oct 30 2020 01: +0,1.658,29
310,Oct 31 2020 01: +0,1.663,40
311,Nov 01 2020 01: +0,1.59,36
312,Nov 02 2020 01: +0,1.625,27
313,Nov 03 2020 01: +0,1.669,28
314,Nov 04 2020 01: +0,1.713,39
315,Nov 05 2020 01: +0,1.803,32
316,Nov 06 2020 01: +0,1.815,34
317,Nov 07 2020 01: +0,1.873,64
318,Nov 08 2020 01: +0,1.896,43
319,Nov 09 2020 01: +0,2.012,40
320,Nov 10 2020 01: +0,1.932,38
321,Nov 11 2020 01: +0,2.001,36
322,Nov 12 2020 01: +0,2.001,26
323,Nov 13 2020 01: +0,2.034,36
324,Nov 14 2020 01: +0,2.223,43
325,Nov 15 2020 01: +0,2.338,22
326,Nov 16 2020 01: +0,2.294,18
327,Nov 17 2020 01: +0,2.122,20
328,Nov 18 2020 01: +0,1.993,18
329,Nov 19 2020 01: +0,2.086,29
330,Nov 20 2020 01: +0,1.981,31
331,Nov 21 2020 01: +0,2.12,35
332,Nov 22 2020 01: +0,2.147,29
333,Nov 23 2020 01: +0,2.353,22
334,Nov 24 2020 01: +0,2.219,24
335,Nov 25 2020 01: +0,2.236,28
336,Nov 26 2020 01: +0,2.159,35
337,Nov 27 2020 01: +0,2.064,21
338,Nov 28 2020 01: +0,2.185,32
339,Nov 29 2020 01: +0,2.028,34
340,Nov 30 2020 01: +0,2.066,33
341,Dec 01 2020 01: +0,2.176,34
342,Dec 02 2020 01: +0,2.353,35
343,Dec 03 2020 01: +0,2.333,26
344,Dec 04 2020 01: +0,2.201,67
345,Dec 05 2020 01: +0,2.238,35
346,Dec 06 2020 01: +0,2.295,40
347,Dec 07 2020 01: +0,2.269,31
348,Dec 08 2020 01: +0,2.152,30
349,Dec 09 2020 01: +0,2.291,26
350,Dec 10 2020 01: +0,2.151,28
351,Dec 11 2020 01: +0,2.143,29
352,Dec 12 2020 01: +0,2.232,35
353,Dec 13 2020 01: +0,2.315,32
354,Dec 14 2020 01: +0,2.395,37
355,Dec 15 2020 01: +0,2.374,28
356,Dec 16 2020 01: +0,2.521,35
357,Dec 17 2020 01: +0,2.62,46
358,Dec 18 2020 01: +0,2.694,31
359,Dec 19 2020 01: +0,2.401,36
360,Dec 20 2020 01: +0,2.521,40
361,Dec 21 2020 01: +0,2.682,39
362,Dec 22 2020 01: +0,2.665,51
