,time,price,volume
0,Mar 29 2018 01: +0,2.206,3
1,Mar 30 2018 01: +0,2.381,5
2,Mar 31 2018 01: +0,2.017,18
3,Apr 01 2018 01: +0,2.076,11
4,Apr 02 2018 01: +0,2.185,18
5,Apr 03 2018 01: +0,2.234,10
6,Apr 04 2018 01: +0,2.332,13
7,Apr 05 2018 01: +0,2.108,8
8,Apr 06 2018 01: +0,2.295,14
9,Apr 07 2018 01: +0,2.222,10
10,Apr 08 2018 01: +0,2.295,11
11,Apr 09 2018 01: +0,2.317,16
12,Apr 10 2018 01: +0,2.34,11
13,Apr 11 2018 01: +0,2.486,12
14,Apr 12 2018 01: +0,2.955,4
15,Apr 13 2018 01: +0,2.708,11
16,Apr 14 2018 01: +0,2.818,15
17,Apr 15 2018 01: +0,2.869,14
18,Apr 16 2018 01: +0,2.475,7
19,Apr 17 2018 01: +0,2.619,7
20,Apr 18 2018 01: +0,2.819,10
21,Apr 19 2018 01: +0,2.811,4
22,Apr 20 2018 01: +0,2.803,11
23,Apr 21 2018 01: +0,2.765,11
24,Apr 22 2018 01: +0,2.846,17
25,Apr 23 2018 01: +0,2.824,12
26,Apr 24 2018 01: +0,3.649,11
27,Apr 25 2018 01: +0,3.743,5
28,Apr 26 2018 01: +0,3.195,6
29,Apr 27 2018 01: +0,3.417,5
30,Apr 28 2018 01: +0,2.955,11
31,Apr 29 2018 01: +0,3.056,18
32,Apr 30 2018 01: +0,2.847,8
33,May 01 2018 01: +0,2.768,6
34,May 02 2018 01: +0,3.006,6
35,May 03 2018 01: +0,3.359,4
36,May 04 2018 01: +0,3.108,7
37,May 05 2018 01: +0,3.441,12
38,May 06 2018 01: +0,3.09,9
39,May 07 2018 01: +0,3.305,6
40,May 08 2018 01: +0,3.245,4
41,May 09 2018 01: +0,3.29,7
42,May 10 2018 01: +0,3.541,7
43,May 11 2018 01: +0,3.448,6
44,May 12 2018 01: +0,3.181,10
45,May 13 2018 01: +0,3.664,6
46,May 14 2018 01: +0,3.325,4
47,May 15 2018 01: +0,3.348,3
48,May 16 2018 01: +0,2.913,4
49,May 17 2018 01: +0,3.374,3
50,May 18 2018 01: +0,3.356,9
51,May 19 2018 01: +0,3.307,5
52,May 20 2018 01: +0,3.277,6
53,May 21 2018 01: +0,3.623,4
54,May 22 2018 01: +0,3.444,5
55,May 23 2018 01: +0,3.531,3
56,May 24 2018 01: +0,3.199,6
57,May 25 2018 01: +0,3.377,4
58,May 26 2018 01: +0,3.375,8
59,May 27 2018 01: +0,2.778,3
60,May 28 2018 01: +0,2.827,7
61,May 29 2018 01: +0,2.624,5
62,May 30 2018 01: +0,2.958,6
63,May 31 2018 01: +0,3.263,6
64,Jun 01 2018 01: +0,3.449,4
65,Jun 02 2018 01: +0,2.937,9
66,Jun 03 2018 01: +0,3.458,6
67,Jun 04 2018 01: +0,3.553,10
68,Jun 05 2018 01: +0,3.245,4
69,Jun 06 2018 01: +0,2.711,2
70,Jun 07 2018 01: +0,3.334,2
71,Jun 08 2018 01: +0,3.127,5
72,Jun 09 2018 01: +0,3.082,5
73,Jun 10 2018 01: +0,3.146,4
74,Jun 11 2018 01: +0,2.891,7
75,Jun 12 2018 01: +0,3.085,3
76,Jun 13 2018 01: +0,3.371,4
77,Jun 14 2018 01: +0,3.204,5
78,Jun 15 2018 01: +0,3.371,6
79,Jun 16 2018 01: +0,3.034,3
80,Jun 17 2018 01: +0,3.397,11
81,Jun 18 2018 01: +0,3.728,5
82,Jun 19 2018 01: +0,4.011,4
83,Jun 20 2018 01: +0,3.44,7
84,Jun 21 2018 01: +0,3.503,10
85,Jun 22 2018 01: +0,7.188,6
86,Jun 23 2018 01: +0,3.925,9
87,Jun 24 2018 01: +0,4.361,6
88,Jun 25 2018 01: +0,3.664,2
89,Jun 26 2018 01: +0,3.485,4
90,Jun 27 2018 01: +0,3.778,6
91,Jun 28 2018 01: +0,3.264,6
92,Jun 29 2018 01: +0,3.446,9
93,Jun 30 2018 01: +0,3.405,2
94,Jul 01 2018 01: +0,3.593,4
95,Jul 02 2018 01: +0,3.248,5
96,Jul 03 2018 01: +0,3.395,3
97,Jul 04 2018 01: +0,3.457,3
98,Jul 05 2018 01: +0,3.121,15
99,Jul 06 2018 01: +0,3.372,2
100,Jul 07 2018 01: +0,3.361,6
101,Jul 08 2018 01: +0,3.182,7
102,Jul 09 2018 01: +0,3.926,9
103,Jul 10 2018 01: +0,4.75,9
104,Jul 11 2018 01: +0,4.902,5
105,Jul 12 2018 01: +0,4.636,2
106,Jul 13 2018 01: +0,4.177,5
107,Jul 14 2018 01: +0,3.978,10
108,Jul 15 2018 01: +0,4.113,10
109,Jul 16 2018 01: +0,3.648,2
110,Jul 17 2018 01: +0,3.681,8
111,Jul 18 2018 01: +0,3.894,4
112,Jul 19 2018 01: +0,3.908,7
113,Jul 20 2018 01: +0,3.958,4
114,Jul 21 2018 01: +0,3.908,3
115,Jul 22 2018 01: +0,3.814,4
116,Jul 23 2018 01: +0,3.697,6
117,Jul 24 2018 01: +0,3.545,6
118,Jul 25 2018 01: +0,4.101,10
119,Jul 26 2018 01: +0,4.332,4
120,Jul 27 2018 01: +0,4.475,10
121,Jul 28 2018 01: +0,4.124,8
122,Jul 29 2018 01: +0,3.976,5
123,Jul 30 2018 01: +0,3.962,8
124,Jul 31 2018 01: +0,4.02,8
125,Aug 01 2018 01: +0,4.138,6
126,Aug 02 2018 01: +0,4.125,3
127,Aug 03 2018 01: +0,4.164,6
128,Aug 04 2018 01: +0,4.222,6
129,Aug 05 2018 01: +0,4.046,6
130,Aug 06 2018 01: +0,3.911,7
131,Aug 07 2018 01: +0,4.3,7
132,Aug 08 2018 01: +0,4.384,7
133,Aug 09 2018 01: +0,4.237,10
134,Aug 10 2018 01: +0,4.452,9
135,Aug 11 2018 01: +0,4.475,4
136,Aug 12 2018 01: +0,4.523,7
137,Aug 13 2018 01: +0,4.59,5
138,Aug 14 2018 01: +0,4.769,4
139,Aug 15 2018 01: +0,4.415,2
140,Aug 16 2018 01: +0,4.359,2
141,Aug 17 2018 01: +0,3.877,7
142,Aug 18 2018 01: +0,4.317,5
143,Aug 19 2018 01: +0,4.131,9
144,Aug 20 2018 01: +0,3.857,3
145,Aug 21 2018 01: +0,4.667,5
146,Aug 22 2018 01: +0,4.429,3
147,Aug 23 2018 01: +0,4.916,2
148,Aug 24 2018 01: +0,3.5,1
149,Aug 25 2018 01: +0,4.191,4
150,Aug 27 2018 01: +0,3.743,3
151,Aug 28 2018 01: +0,3.948,1
152,Aug 29 2018 01: +0,3.633,6
153,Aug 30 2018 01: +0,3.45,1
154,Aug 31 2018 01: +0,3.662,5
155,Sep 01 2018 01: +0,3.641,7
156,Sep 02 2018 01: +0,3.991,6
157,Sep 03 2018 01: +0,3.798,3
158,Sep 05 2018 01: +0,2.85,1
159,Sep 06 2018 01: +0,2.875,1
160,Sep 07 2018 01: +0,3.466,4
161,Sep 08 2018 01: +0,3.825,6
162,Sep 09 2018 01: +0,3.622,4
163,Sep 10 2018 01: +0,3.708,9
164,Sep 11 2018 01: +0,3.938,4
165,Sep 12 2018 01: +0,3.644,3
166,Sep 13 2018 01: +0,4.041,6
167,Sep 14 2018 01: +0,3.389,5
168,Sep 15 2018 01: +0,3.971,4
169,Sep 16 2018 01: +0,3.926,4
170,Sep 17 2018 01: +0,4.214,2
171,Sep 18 2018 01: +0,4.157,3
172,Sep 19 2018 01: +0,3.988,5
173,Sep 20 2018 01: +0,3.54,5
174,Sep 21 2018 01: +0,3.899,6
175,Sep 22 2018 01: +0,3.762,6
176,Sep 23 2018 01: +0,4.303,3
177,Sep 24 2018 01: +0,4.208,1
178,Sep 25 2018 01: +0,3.567,5
179,Sep 26 2018 01: +0,3.952,7
180,Sep 27 2018 01: +0,3.597,2
181,Sep 28 2018 01: +0,3.64,3
182,Sep 29 2018 01: +0,4.074,4
183,Sep 30 2018 01: +0,4.042,2
184,Oct 01 2018 01: +0,3.668,2
185,Oct 02 2018 01: +0,3.45,3
186,Oct 03 2018 01: +0,3.651,3
187,Oct 04 2018 01: +0,3.608,7
188,Oct 05 2018 01: +0,3.86,2
189,Oct 06 2018 01: +0,3.771,6
190,Oct 07 2018 01: +0,3.945,7
191,Oct 08 2018 01: +0,3.993,3
192,Oct 09 2018 01: +0,3.548,2
193,Oct 10 2018 01: +0,3.776,3
194,Oct 11 2018 01: +0,3.747,3
195,Oct 12 2018 01: +0,3.526,5
196,Oct 13 2018 01: +0,3.814,5
197,Oct 14 2018 01: +0,4.024,8
198,Oct 15 2018 01: +0,4.301,2
199,Oct 16 2018 01: +0,4.07,1
200,Oct 17 2018 01: +0,3.935,3
201,Oct 18 2018 01: +0,3.584,2
202,Oct 19 2018 01: +0,3.573,8
203,Oct 20 2018 01: +0,3.753,13
204,Oct 21 2018 01: +0,3.865,7
205,Oct 22 2018 01: +0,3.738,4
206,Oct 23 2018 01: +0,3.786,1
207,Oct 24 2018 01: +0,3.563,2
208,Oct 25 2018 01: +0,3.703,6
209,Oct 26 2018 01: +0,3.893,4
210,Oct 27 2018 01: +0,3.878,5
211,Oct 28 2018 01: +0,4.176,8
212,Oct 29 2018 01: +0,4.187,3
213,Oct 30 2018 01: +0,4.061,5
214,Oct 31 2018 01: +0,4.181,2
215,Nov 01 2018 01: +0,4.322,6
216,Nov 02 2018 01: +0,4.336,5
217,Nov 03 2018 01: +0,5.135,11
218,Nov 04 2018 01: +0,11.491,2
219,Nov 05 2018 01: +0,4.56,1
220,Nov 06 2018 01: +0,5.713,3
221,Nov 07 2018 01: +0,5.661,4
222,Nov 08 2018 01: +0,5.286,2
223,Nov 09 2018 01: +0,4.987,3
224,Nov 10 2018 01: +0,5.009,10
225,Nov 11 2018 01: +0,4.896,4
226,Nov 12 2018 01: +0,4.914,3
227,Nov 13 2018 01: +0,5.1,7
228,Nov 14 2018 01: +0,6.733,3
229,Nov 15 2018 01: +0,8.345,2
230,Nov 16 2018 01: +0,7.316,3
231,Nov 17 2018 01: +0,4.5,1
232,Nov 18 2018 01: +0,5.161,4
233,Nov 19 2018 01: +0,5.813,2
234,Nov 20 2018 01: +0,5.803,5
235,Nov 21 2018 01: +0,5.581,5
236,Nov 22 2018 01: +0,5.805,2
237,Nov 23 2018 01: +0,4.485,5
238,Nov 24 2018 01: +0,5.3,6
239,Nov 25 2018 01: +0,4.936,5
240,Nov 26 2018 01: +0,4.777,3
241,Nov 27 2018 01: +0,4.966,5
242,Nov 28 2018 01: +0,4.264,3
243,Nov 29 2018 01: +0,4.927,6
244,Nov 30 2018 01: +0,5.716,3
245,Dec 01 2018 01: +0,5.798,5
246,Dec 02 2018 01: +0,6.03,2
247,Dec 03 2018 01: +0,5.011,2
248,Dec 05 2018 01: +0,5.255,4
249,Dec 06 2018 01: +0,5.184,2
250,Dec 07 2018 01: +0,4.843,5
251,Dec 08 2018 01: +0,4.808,5
252,Dec 09 2018 01: +0,5.046,3
253,Dec 10 2018 01: +0,4.854,7
254,Dec 11 2018 01: +0,5.049,2
255,Dec 12 2018 01: +0,5.017,3
256,Dec 13 2018 01: +0,4.946,2
257,Dec 14 2018 01: +0,4.946,9
258,Dec 15 2018 01: +0,4.825,4
259,Dec 16 2018 01: +0,5.153,6
260,Dec 17 2018 01: +0,6.21,1
261,Dec 18 2018 01: +0,5.939,1
262,Dec 19 2018 01: +0,4.769,2
263,Dec 20 2018 01: +0,5.064,9
264,Dec 21 2018 01: +0,5.247,3
265,Dec 22 2018 01: +0,4.9,2
266,Dec 23 2018 01: +0,4.879,3
267,Dec 24 2018 01: +0,5.235,9
268,Dec 25 2018 01: +0,5.853,9
269,Dec 26 2018 01: +0,6.069,8
270,Dec 27 2018 01: +0,6.736,4
271,Dec 28 2018 01: +0,4.755,4
272,Dec 29 2018 01: +0,7.179,5
273,Dec 31 2018 01: +0,7.567,5
274,Jan 01 2019 01: +0,5.905,6
275,Jan 02 2019 01: +0,6.5,1
276,Jan 03 2019 01: +0,5.591,6
277,Jan 04 2019 01: +0,5.957,7
278,Jan 05 2019 01: +0,7.149,8
279,Jan 06 2019 01: +0,7.432,5
280,Jan 07 2019 01: +0,7.207,5
281,Jan 08 2019 01: +0,6.413,3
282,Jan 09 2019 01: +0,6.234,5
283,Jan 10 2019 01: +0,6.577,2
284,Jan 11 2019 01: +0,5.979,6
285,Jan 12 2019 01: +0,5.669,6
286,Jan 13 2019 01: +0,6.327,9
287,Jan 14 2019 01: +0,7.08,2
288,Jan 15 2019 01: +0,6.323,1
289,Jan 16 2019 01: +0,5.73,5
290,Jan 17 2019 01: +0,6.822,4
291,Jan 18 2019 01: +0,6.749,3
292,Jan 19 2019 01: +0,5.258,3
293,Jan 20 2019 01: +0,5.861,3
294,Jan 21 2019 01: +0,5.822,3
295,Jan 22 2019 01: +0,5.282,1
296,Jan 23 2019 01: +0,5.623,3
297,Jan 24 2019 01: +0,5.848,7
298,Jan 26 2019 01: +0,6.337,3
299,Jan 27 2019 01: +0,6.094,3
