,time,price,volume
0,Mar 29 2019 01: +0,2.762,173
1,Mar 30 2019 01: +0,2.849,184
2,Mar 31 2019 01: +0,3.07,130
3,Apr 01 2019 01: +0,3.083,80
4,Apr 02 2019 01: +0,3.133,90
5,Apr 03 2019 01: +0,3.025,92
6,Apr 04 2019 01: +0,2.971,140
7,Apr 05 2019 01: +0,3.353,144
8,Apr 06 2019 01: +0,4.283,119
9,Apr 07 2019 01: +0,4.191,91
10,Apr 08 2019 01: +0,4.396,80
11,Apr 09 2019 01: +0,4.491,68
12,Apr 10 2019 01: +0,4.293,48
13,Apr 11 2019 01: +0,4.092,62
14,Apr 12 2019 01: +0,3.855,108
15,Apr 13 2019 01: +0,4.109,73
16,Apr 14 2019 01: +0,4.265,77
17,Apr 15 2019 01: +0,4.396,49
18,Apr 16 2019 01: +0,4.593,42
19,Apr 17 2019 01: +0,4.31,51
20,Apr 18 2019 01: +0,4.454,45
21,Apr 19 2019 01: +0,4.15,58
22,Apr 20 2019 01: +0,4.305,50
23,Apr 21 2019 01: +0,4.313,83
24,Apr 22 2019 01: +0,4.36,54
25,Apr 23 2019 01: +0,4.286,54
26,Apr 24 2019 01: +0,4.377,45
27,Apr 25 2019 01: +0,4.237,48
28,Apr 26 2019 01: +0,3.769,59
29,Apr 27 2019 01: +0,3.92,48
30,Apr 28 2019 01: +0,3.72,55
31,Apr 29 2019 01: +0,3.823,37
32,Apr 30 2019 01: +0,3.666,44
33,May 01 2019 01: +0,3.662,31
34,May 02 2019 01: +0,3.461,47
35,May 03 2019 01: +0,3.751,50
36,May 04 2019 01: +0,3.935,75
37,May 05 2019 01: +0,4.214,71
38,May 06 2019 01: +0,4.153,44
39,May 07 2019 01: +0,4.108,49
40,May 08 2019 01: +0,4.001,55
41,May 09 2019 01: +0,3.88,39
42,May 10 2019 01: +0,3.929,37
43,May 11 2019 01: +0,3.995,44
44,May 12 2019 01: +0,4.007,52
45,May 13 2019 01: +0,4.164,36
46,May 14 2019 01: +0,4.04,32
47,May 15 2019 01: +0,4.269,36
48,May 16 2019 01: +0,4.194,20
49,May 17 2019 01: +0,3.998,52
50,May 18 2019 01: +0,4.173,33
51,May 19 2019 01: +0,4.292,39
52,May 20 2019 01: +0,4.094,35
53,May 21 2019 01: +0,4.282,39
54,May 22 2019 01: +0,4.424,30
55,May 23 2019 01: +0,4.382,26
56,May 24 2019 01: +0,4.216,39
57,May 25 2019 01: +0,4.213,36
58,May 26 2019 01: +0,4.222,34
59,May 27 2019 01: +0,4.2,41
60,May 28 2019 01: +0,4.309,26
61,May 29 2019 01: +0,4.55,28
62,May 30 2019 01: +0,4.345,27
63,May 31 2019 01: +0,4.374,37
64,Jun 01 2019 01: +0,4.746,54
65,Jun 02 2019 01: +0,4.424,35
66,Jun 03 2019 01: +0,4.694,22
67,Jun 04 2019 01: +0,4.835,23
68,Jun 05 2019 01: +0,5.057,30
69,Jun 06 2019 01: +0,5.001,49
70,Jun 07 2019 01: +0,5.019,37
71,Jun 08 2019 01: +0,5.19,45
72,Jun 09 2019 01: +0,5.569,45
73,Jun 10 2019 01: +0,5.293,37
74,Jun 11 2019 01: +0,5.352,40
75,Jun 12 2019 01: +0,5.43,34
76,Jun 13 2019 01: +0,5.381,32
77,Jun 14 2019 01: +0,5.548,43
78,Jun 15 2019 01: +0,5.786,46
79,Jun 16 2019 01: +0,7.628,29
80,Jun 17 2019 01: +0,6.331,36
81,Jun 18 2019 01: +0,6.471,24
82,Jun 19 2019 01: +0,6.377,42
83,Jun 20 2019 01: +0,6.035,24
84,Jun 21 2019 01: +0,5.95,34
85,Jun 22 2019 01: +0,5.064,35
86,Jun 23 2019 01: +0,5.057,29
